velocity_m/s,acceleration_m/s^2
12.37665814727784,-0.0002913544698603
12.979267023620602,-0.0003228173193199
8.266556930236831,-0.0001835215948061
8.544683907165515,-0.0002351826288928
8.915520302734365,-0.0002854188282643
9.888965574645995,-0.0006112685496571
10.50702594970704,-0.0001165051741244
11.573179787597653,-0.0002822200198781
7.895720960998542,-8.950184293763676e-05
8.374717421264648,-0.0002635650101195
9.672644166259758,-0.0002918819120332
9.858062150878904,-0.0001088133712553
10.012577138061534,-0.0001884329111983
10.414316957397457,-0.0002716747027386
11.1250858984375,-0.0002994234713268
11.634986208801283,-0.0003395933784233
11.990370679321297,-0.0003864216421378
11.944016609497083,-1.0188639886381906e-05
8.42107191741944,-0.0004170444998181
9.641741168823248,-0.0005825258706225
9.88896514831544,-5.393193269898874e-05
10.0898350579834,-0.0001171840924793
6.319667025909425,-0.0002033119984678
7.138597097473147,-0.0002621121786137
8.096590018005362,-0.000314623759343
9.34816269317626,-0.0003560839210793
10.800604425354004,-0.0004081100175036
11.1250858984375,-0.0004703652577857
11.80495226837159,-0.0005487221923039
7.833914966125471,-0.0001488902446085
8.05023594818115,-0.0003395933784234
8.730102318115218,-0.0005531867469847
6.968630611572259,-8.754631755715625e-05
7.23130651611329,-0.0003157394374102
5.747961147003174,-0.0001939318485696
6.829566909942626,-0.0002644102172851
7.339466580810548,-0.0001111649284089
7.710302550048837,-0.0002640098039366
5.608897445373541,-9.407305155711764e-05
5.763412645721431,-0.0002504524117598
6.211506534881607,-0.000291399856704
4.589098103637697,-0.0001355394624408
4.898128078002916,-0.0001928089961377
5.40802796203614,-0.0002446147554342
7.880269035949726,-2.2869617839743827e-05
8.034784023132335,-7.644552633064651e-05
8.699199320678705,-0.0001089842592436
5.732509435119638,-1.3749943242052172e-05
5.995185339660647,-0.0001716836151546
6.427827516937264,-0.0004710829278899
4.45003440200806,-0.0002274373558627
9.162744708557115,-0.0001529851358243
9.40996868804931,-0.0001569476761631
9.672644166259758,-0.0002153518985123
8.544683907165513,-0.0002297620627251
9.193647279663091,-0.0002527021295682
10.151641052856448,-0.0003750873380297
10.800604425354004,-0.0004233287320072
12.392110498657235,-0.0004233293809121
10.66154093688965,-0.0003303366909302
13.334652346801754,-0.0004332798425419
14.107226856384266,-0.0005277815292529
12.191240588989254,-1.7983037589570065e-05
12.253047010192883,-4.3689440296692777e-05
10.661540936889647,-9.238564256060928e-05
10.893313417663563,-0.0002359826253396
11.495922294006348,-0.0003264118306794
12.407561571044932,-0.0004550331446155
11.727695201110844,-2.717941727046012e-05
11.95946810821534,-0.0002150244886477
11.233247242126458,-0.0003736497331875
9.641741168823245,-0.000203812019367
9.796256156005857,-0.0002039801810991
10.414316957397457,-0.0003135768385238
11.27960088562013,-0.0004079603621982
9.425420186767589,-4.44327784852813e-05
9.487226181640615,-9.371644408343368e-05
9.718998662414528,-0.0002889169123874
11.665888779907236,-0.0004078708717714
8.374717421264648,-0.0002519755178283
12.99471894866944,-2.3079161640413105e-05
13.071976868591303,-0.0001440709118965
13.5200703314209,-0.0003361209846647
8.699198894348147,-0.0001358373513692
8.77645681427001,-0.000244295840056
9.641741168823248,-0.0002945246360402
10.50702594970704,-0.0003762922062286
8.142944940490734,-3.82226313376786e-05
8.235653932800297,-0.000218704865085
8.621941400756842,-0.0004454486116976
9.579935173950195,-0.0002793491293697
11.032376906127938,-0.0003926801839337
11.913112759399429,-0.0003618620185544
13.72093938842774,-0.0004892295108683
10.213447047729474,-0.0003522242375255
12.562076131896983,-0.0002511758122719
13.272846351928706,-0.0004526074225371
14.153581778869617,-0.0005825274779008
9.641741168823245,-0.0002878043998744
12.299401506347651,-0.0003495155223734
12.886558457641602,-0.0003762973974684
13.272846778259286,-0.0004940715235378
16.146825966186533,-0.0001704356101593
16.67217777526855,-0.0004787024514071
11.48047079528807,-0.0002863806440293
11.928564684448244,-0.0002909886764268
12.438464142150888,-0.0002930401735889
13.14923436218261,-0.0004416576789256
10.537928947143552,-0.0001708134358536
10.955119412536613,-0.000360951452538
11.650437281188957,-0.0002018641240159
8.034784449462872,-9.410886162626208e-05
8.251105431518553,-0.0001748401552278
9.14729320983886,-9.70419137589144e-05
9.44087168548582,-0.0001696103042619
10.676992435607906,-2.0719408271243266e-05
10.785152926635746,-0.0001112619169631
11.264149813232434,-0.0002872591995866
11.897662113342292,-0.0002999256962027
6.922275689086908,-0.0001138931109454
7.354918079528804,-0.0002007226612055
8.034784023132335,-0.00030002969263
9.641741595153803,-0.0003373428836894
11.58863171264649,-3.878631620522516e-05
7.154048169860844,-0.0001393770869098
8.142944940490734,-0.00028489748179
9.240002202148442,-0.0003243635227115
10.213447047729495,-0.0004916661806591
7.602142059020975,-7.64442080543076e-05
7.663948053894024,-9.414599776723429e-05
7.787560469970701,-0.0001982020145581
8.189299436645504,-0.0002549226433204
8.884617305297851,-0.0003195570614854
6.381473020782472,-0.0002313597950654
7.401272575683574,-0.0003051470596614
9.672644166259758,-4.040928072771991e-05
11.758598198547356,-1.3006312052404525e-05
10.18254447662354,-2.105826060409876e-05
10.33705946380615,-0.0001426919406699
10.553380445861809,-0.0002289110921224
10.846958921508794,-0.0002653756757107
8.822811736755362,-3.3086721024105914e-05
9.178196207275374,-0.0001671458988576
9.734450161132807,-0.000330513341567
7.880269035949704,-0.0001528915799718
8.235653932800297,-0.0002583077293326
9.827159153442391,-0.0005150499572754
9.100938287353507,-0.0002204257577145
4.589098103637697,-0.0002262298494621
7.0458876788330045,-0.0002510312873503
8.0038810256958,-0.0004697259020996
7.663948053894046,-0.0001724011836564
8.6219418270874,-0.0006571614833184
4.480937399444585,-0.0001385787824736
5.45438245819091,-0.0002078612016795
11.38776137664795,-5.553099269813683e-05
11.480470795288069,-7.074387254536624e-05
12.0521771005249,-0.0005703920770493
9.116390212402344,-0.0004444875575192
5.624349157257077,-0.0001973374206231
6.520536722412127,-0.0004446474451298
4.573646391754139,-0.0002592225227332
9.301808197021469,-0.0001630765036228
6.891372691650394,-0.0003497792579119
7.184951167297358,-0.0006119405432974
4.202810209350594,-0.0002924158263503
5.238061262969973,-0.0003952273888535
15.466959169921864,-0.0001820367413663
