velocity_m/s,acceleration_m/s^2
12.79384946533204,-0.0008147682939949445
12.500270563354494,-0.00025392907123052285
12.345755149841304,-0.00010711610896541308
11.990370679321295,-0.0003864216421378343
11.634986208801283,-0.000339593378423319
11.526825291442883,-0.00011661669346073454
11.403212875366204,-0.0001561414607319292
11.1250858984375,-0.0002994234713268024
10.831507422790537,-0.00019462076658180913
10.5997349420166,-0.0002511162818610383
10.414316957397457,-0.0002716747027386747
10.321607965087894,-0.00016329192833032044
10.259801970214845,-7.195109996865041e-05
10.167092551574704,-0.00013227698491943693
10.074383132934583,-0.00011661508466608734
10.012577138061534,-0.0001884329111983863
9.950771143188465,-9.779429568523845e-05
9.858062150878903,-0.00010881337125532798
