Var1,accelerator_pedal,speed,mcc_state,fr_telem,crz_pwr_mode,crz_spd_mode,crz_pwr_setpt,crz_spd_setpt,eco,main_telem,foot_brake,regen_brake,motor_current,motor_power,mc_status,driver_eStop,external_eStop,crash,discharge_enable,discharge_enabled,charge_enable,charge_enabled,isolation,mcu_hv_en,mcu_stat_fdbk,mppt_contactor,motor_controller_contactor,low_contactor,dcdc_current,dcdc_deg,use_dcdc,supplemental_current,supplemental_voltage,supplemental_deg,use_supp,est_supplemental_soc,bms_mpio1,park_brake,air_temp,brake_temp,dcdc_temp,mainIO_temp,motor_controller_temp,motor_temp,road_temp,l_turn_led_en,r_turn_led_en,brake_led_en,headlights_led_en,hazards,main_5V_bus,main_12V_bus,main_24V_bus,main_5V_current,main_12V_current,main_24V_current,bms_can_heartbeat,hv_can_heartbeat,mainIO_heartbeat,mcc_can_heartbeat,mppt_can_heartbeat,mppt_mode,mppt_current_out,string1_temp,string2_temp,string3_temp,string1_V_in,string2_V_in,string3_V_in,string1_I_in,string2_I_in,string3_I_in,pack_temp,pack_internal_temp,pack_current,pack_voltage,pack_power,populated_cells,soc,soh,pack_amphours,adaptive_total_capacity,fan_speed,pack_resistance,bms_input_voltage,bps_fault,voltage_failsafe,current_failsafe,relay_failsafe,cell_balancing_active,charge_interlock_failsafe,thermistor_b_value_table_invalid,input_power_supply_failsafe,discharge_limit_enforcement_fault,charger_safety_relay_fault,internal_hardware_fault,internal_heatsink_fault,internal_software_fault,highest_cell_voltage_too_high_fault,lowest_cell_voltage_too_low_fault,pack_too_hot_fault,high_voltage_interlock_signal_fault,precharge_circuit_malfunction,abnormal_state_of_charge_behavior,internal_communication_fault,cell_balancing_stuck_off_fault,weak_cell_fault,low_cell_voltage_fault,open_wiring_fault,current_sensor_fault,highest_cell_voltage_over_5V_fault,cell_asic_fault,weak_pack_fault,fan_monitor_fault,thermistor_fault,external_communication_fault,redundant_power_supply_fault,high_voltage_isolation_fault,input_power_supply_fault,charge_limit_enforcement_fault,cell_group1_voltage,cell_group2_voltage,cell_group3_voltage,cell_group4_voltage,cell_group5_voltage,cell_group6_voltage,cell_group7_voltage,cell_group8_voltage,cell_group9_voltage,cell_group10_voltage,cell_group11_voltage,cell_group12_voltage,cell_group13_voltage,cell_group14_voltage,cell_group15_voltage,cell_group16_voltage,cell_group17_voltage,cell_group18_voltage,cell_group19_voltage,cell_group20_voltage,cell_group21_voltage,cell_group22_voltage,cell_group23_voltage,cell_group24_voltage,cell_group25_voltage,cell_group26_voltage,cell_group27_voltage,cell_group28_voltage,cell_group29_voltage,cell_group30_voltage,cell_group31_voltage,lat,lon,elev
1713135784107,0,31.522403717041,3,0,0,0,0.0671550706028938,0,0,1,0,0.545787572860718,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.36439561843872,0,1,0.145054951310158,3.21216130256653,0,0,0,0,0,-10000,-10000,-10000,52.0559234619141,-10000,-10000,-10000,0,0,0,0,0,4.96761083602905,12.3458833694458,24.7584629058838,0.0805860832333565,0.314285725355148,0.0967033058404922,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,35,37,0.400000005960464,99,39.6000022888184,31,53.5,57,26,48.7000007629395,3,321,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.17829990386963,3.18289995193481,3.18280005455017,3.18230009078979,3.18589997291565,3.18600010871887,3.16849994659424,3.18540000915527,3.19149994850159,3.18420004844665,3.19000005722046,3.19099998474121,3.19120001792908,3.19239997863769,3.1949999332428,3.19000005722046,3.1933000087738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1001,-1001,-1001
1713135784158,0,31.522403717041,3,0,0,0,0.0671550706028938,0,0,1,0,0.545787572860718,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.36439561843872,0,1,0.145054951310158,3.21216130256653,0,0,0,0,0,-10000,-10000,-10000,51.6830291748047,-10000,-10000,-10000,0,0,0,0,0,4.9699969291687,12.4124374389648,24.6964111328125,0.13699634373188,1.8212456703186,0.0322344340384007,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,35,37,0.400000005960464,99,39.6000022888184,31,53.5,57,26,48.7000007629395,3,321,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.17829990386963,3.18289995193481,3.18280005455017,3.18230009078979,3.18589997291565,3.18600010871887,3.16849994659424,3.18540000915527,3.19149994850159,3.18420004844665,3.19000005722046,3.19099998474121,3.19120001792908,3.19239997863769,3.1949999332428,3.19000005722046,3.1933000087738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1001,-1001,-1001
1713135784208,0,31.522403717041,3,0,0,0,0.0671550706028938,0,0,1,0,0.545787572860718,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.46593427658081,0,1,0.145054951310158,3.20813202857971,0,0,0,0,0,-10000,-10000,-10000,52.0219268798828,-10000,-10000,-10000,0,0,0,0,0,4.9699969291687,12.4124374389648,24.5900363922119,1.4344322681427,0.93479859828949,0.0644688680768013,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,35,37,0.400000005960464,99,39.6000022888184,31,53.5,57,26,48.7000007629395,3,321,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.17829990386963,3.18289995193481,3.18280005455017,3.18230009078979,3.18589997291565,3.18600010871887,3.16849994659424,3.18540000915527,3.19149994850159,3.18420004844665,3.19000005722046,3.19099998474121,3.19120001792908,3.19239997863769,3.1949999332428,3.19000005722046,3.1933000087738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1001,-1001,-1001
1713135784259,0,31.522403717041,3,0,0,0,0.0671550706028938,0,0,1,0,0.545787572860718,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.46593427658081,0,1,0.145054951310158,3.20813202857971,0,0,0,0,0,-10000,-10000,-10000,51.7844848632812,-10000,-10000,-10000,0,0,0,0,0,4.9652247428894,12.4013452529907,24.6343593597412,0.169230774044991,0.120879128575325,0.0564102604985237,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,35,37,0.400000005960464,99,39.6000022888184,31,53.5,57,26,48.7000007629395,3,321,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.17829990386963,3.18289995193481,3.18280005455017,3.18230009078979,3.18589997291565,3.18600010871887,3.16849994659424,3.18540000915527,3.19149994850159,3.18420004844665,3.19000005722046,3.19099998474121,3.19120001792908,3.19239997863769,3.1949999332428,3.19000005722046,3.1933000087738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1001,-1001,-1001
1713135784309,0,31.522403717041,3,0,0,0,0.0671550706028938,0,0,1,0,0.545787572860718,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.33538460731506,0,1,0.116043962538242,3.20571446418762,0,0,0,0,0,-10000,-10000,-10000,51.9200439453125,-10000,-10000,-10000,0,0,0,0,0,4.9699969291687,12.4346227645874,24.6343593597412,0.781685054302216,2.1113555431366,0.0967033058404922,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,35,37,0.400000005960464,99,39.6000022888184,31,53.5,57,26,48.7000007629395,3,321,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.17829990386963,3.18289995193481,3.18280005455017,3.18230009078979,3.18589997291565,3.18600010871887,3.16849994659424,3.18540000915527,3.19149994850159,3.18420004844665,3.19000005722046,3.19099998474121,3.19120001792908,3.19239997863769,3.1949999332428,3.19000005722046,3.1933000087738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1001,-1001,-1001
1713135784360,0,31.522403717041,3,0,0,0,0.0676434710621834,0,0,1,0,0.545787572860718,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.33538460731506,0,1,0.116043962538242,3.20571446418762,0,0,0,0,0,-10000,-10000,-10000,51.9200439453125,-10000,-10000,-10000,0,0,0,0,0,4.96283864974976,12.3847064971924,24.6343593597412,0,0.120879128575325,0.265934079885483,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,35,37,0.400000005960464,99,39.6000022888184,31,53.5,57,26,48.7000007629395,3,321,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.17829990386963,3.18289995193481,3.18280005455017,3.18230009078979,3.18589997291565,3.18600010871887,3.16849994659424,3.18540000915527,3.19149994850159,3.18420004844665,3.19000005722046,3.19099998474121,3.19120001792908,3.19239997863769,3.1949999332428,3.19000005722046,3.1933000087738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1001,-1001,-1001
1713135784410,0,31.522403717041,3,0,0,0,0.0676434710621834,0,0,1,0,0.545787572860718,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.33538460731506,0,1,0.116043962538242,3.20571446418762,0,0,0,0,0,-10000,-10000,-10000,51.6830291748047,-10000,-10000,-10000,0,0,0,0,0,4.9699969291687,12.4124374389648,24.6077671051025,0.0805860832333565,0.838095366954803,0.0564102604985237,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,35,37,0.400000005960464,99,39.6000022888184,31,53.5,57,26,48.7000007629395,3,321,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.17829990386963,3.18289995193481,3.18280005455017,3.18230009078979,3.18589997291565,3.18600010871887,3.16849994659424,3.18540000915527,3.19149994850159,3.18420004844665,3.19000005722046,3.19099998474121,3.19120001792908,3.19239997863769,3.1949999332428,3.19000005722046,3.1933000087738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1001,-1001,-1001
1713135784461,0,31.522403717041,3,0,0,0,0.0666666701436043,0,0,1,0,0.535775363445282,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.48043966293335,0,1,0.116043962538242,3.20893788337708,0,0,0,0,0,-10000,-10000,-10000,51.9539947509766,-10000,-10000,-10000,0,0,0,0,0,4.9699969291687,12.4124374389648,24.6343593597412,0,0.51575094461441,0.0322344340384007,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,35,37,0.400000005960464,99,39.6000022888184,31,53.5,57,26,48.7000007629395,3,321,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.17829990386963,3.18289995193481,3.18280005455017,3.18230009078979,3.18589997291565,3.18600010871887,3.16849994659424,3.18540000915527,3.19149994850159,3.18420004844665,3.19000005722046,3.19099998474121,3.19120001792908,3.19239997863769,3.1949999332428,3.19000005722046,3.1933000087738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1001,-1001,-1001
1713135784511,0,31.522403717041,3,0,0,0,0.0666666701436043,0,0,1,0,0.535775363445282,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.48043966293335,0,1,0.116043962538242,3.20893788337708,0,0,0,0,0,-10000,-10000,-10000,51.8861389160156,-10000,-10000,-10000,0,0,0,0,0,4.96283864974976,12.4124374389648,24.6343593597412,0.0805860832333565,0.225641041994095,0.0805860832333565,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,35,37,0.400000005960464,99,39.6000022888184,31,53.5,57,26,48.7000007629395,3,321,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.17829990386963,3.18289995193481,3.18280005455017,3.18230009078979,3.18589997291565,3.18600010871887,3.16849994659424,3.18540000915527,3.19149994850159,3.18420004844665,3.19000005722046,3.19099998474121,3.19120001792908,3.19239997863769,3.1949999332428,3.19000005722046,3.1933000087738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1001,-1001,-1001
1713135784562,0,31.522403717041,3,0,0,0,0.0666666701436043,0,0,1,0,0.535775363445282,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.72703313827515,0,1,0.159560441970825,3.20571446418762,0,0,0,0,0,-10000,-10000,-10000,51.9879455566406,-10000,-10000,-10000,0,0,0,0,0,4.96283864974976,12.4068918228149,24.6609535217285,0.330402940511703,0.27399268746376,0.0725274831056595,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,35,37,0.400000005960464,99,39.6000022888184,31,53.5,57,26,48.7000007629395,3,321,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.17829990386963,3.18289995193481,3.18280005455017,3.18230009078979,3.18589997291565,3.18600010871887,3.16849994659424,3.18540000915527,3.19149994850159,3.18420004844665,3.19000005722046,3.19099998474121,3.19120001792908,3.19239997863769,3.1949999332428,3.19000005722046,3.1933000087738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1001,-1001,-1001
1713135784663,0,31.522403717041,3,0,0,0,0.0673992708325386,0,0,1,0,0.535775363445282,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.74153852462769,0,1,0.159560441970825,3.20571446418762,0,0,0,0,0,-10000,-10000,-10000,51.9200439453125,-10000,-10000,-10000,0,0,0,0,0,4.96761083602905,12.4124374389648,24.6077671051025,0,0.128937736153603,0.0644688680768013,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,35,37,0.400000005960464,99,39.6000022888184,31,53.5,57,26,48.7000007629395,3,321,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.17829990386963,3.18289995193481,3.18280005455017,3.18230009078979,3.18589997291565,3.18600010871887,3.16849994659424,3.18540000915527,3.19149994850159,3.18420004844665,3.19000005722046,3.19099998474121,3.19120001792908,3.19239997863769,3.1949999332428,3.19000005722046,3.1933000087738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1001,-1001,-1001
1713135784721,0,31.522403717041,3,0,0,0,0.0676434710621834,0,0,1,0,0.535775363445282,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.74153852462769,0,1,0.159560441970825,3.20571446418762,0,0,0,0,0,-10000,-10000,-10000,51.9879455566406,-10000,-10000,-10000,0,0,0,0,0,4.96283864974976,12.4124374389648,24.6343593597412,0.0483516529202461,1.69230794906616,0.0241758264601231,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,35,37,0.400000005960464,99,39.6000022888184,31,53.5,57,26,48.7000007629395,3,321,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.17829990386963,3.18289995193481,3.18280005455017,3.18230009078979,3.18589997291565,3.18600010871887,3.16849994659424,3.18540000915527,3.19149994850159,3.18420004844665,3.19000005722046,3.19099998474121,3.19120001792908,3.19239997863769,3.1949999332428,3.19000005722046,3.1933000087738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1001,-1001,-1001
1713135784764,0,31.522403717041,3,0,0,0,0.0676434710621834,0,0,1,0,0.535775363445282,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.74153852462769,0,1,0.159560441970825,3.20813202857971,0,0,0,0,0,-10000,-10000,-10000,51.9539947509766,-10000,-10000,-200.769668579102,0,0,0,0,0,4.96761083602905,12.4124374389648,24.5989017486572,0.290109932422638,0,0.0564102604985237,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,35,37,0.400000005960464,99,39.6000022888184,31,53.5,57,26,48.7000007629395,3,321,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.17829990386963,3.18289995193481,3.18280005455017,3.18230009078979,3.18589997291565,3.18600010871887,3.16849994659424,3.18540000915527,3.19149994850159,3.18420004844665,3.19000005722046,3.19099998474121,3.19120001792908,3.19239997863769,3.1949999332428,3.19000005722046,3.1933000087738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1001,-1001,-1001
1713135784814,0,31.522403717041,3,0,0,0,0.0676434710621834,0,0,1,0,0.535775363445282,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.74153852462769,0,1,0.159560441970825,3.20813202857971,0,0,0,0,0,-10000,-10000,-10000,51.8183441162109,-200.769668579102,-10000,-10000,0,0,0,0,0,4.96761083602905,12.4789924621582,24.5723075866699,1.16043972969055,1.51501846313477,0.177289381623268,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,35,37,0.400000005960464,99,39.6000022888184,31,53.5,57,26,48.7000007629395,3,321,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.17829990386963,3.18289995193481,3.18280005455017,3.18230009078979,3.18589997291565,3.18600010871887,3.16849994659424,3.18540000915527,3.19149994850159,3.18420004844665,3.19000005722046,3.19099998474121,3.19120001792908,3.19239997863769,3.1949999332428,3.19000005722046,3.1933000087738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1001,-1001,-1001
1713135784866,0,31.522403717041,3,0,0,0,0.0673992708325386,0,0,1,0,0.535775363445282,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.65450549125671,0,1,0.159560441970825,3.20893788337708,0,0,0,0,0,-10000,-10000,-10000,51.9539947509766,-10000,-10000,-10000,0,0,0,0,0,4.96761083602905,12.3957986831665,24.6609535217285,0,0.419047683477402,0.0483516529202461,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,35,37,0.400000005960464,99,39.6000022888184,31,53.5,57,26,48.7000007629395,3,321,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.17829990386963,3.18289995193481,3.18280005455017,3.18230009078979,3.18589997291565,3.18600010871887,3.16849994659424,3.18540000915527,3.19149994850159,3.18420004844665,3.19000005722046,3.19099998474121,3.19120001792908,3.19239997863769,3.1949999332428,3.19000005722046,3.1933000087738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1001,-1001,-1001
1713135784918,0,31.522403717041,3,0,0,0,0.0673992708325386,0,0,1,0,0.535775363445282,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.65450549125671,0,1,0.159560441970825,3.20893788337708,0,0,0,0,0,-10000,-10000,-10000,51.9879455566406,-10000,-10000,-10000,0,0,0,0,0,4.96761083602905,12.4124374389648,24.5723075866699,0.153113558888435,1.17655682563782,1.61172187328339,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,35,37,0.400000005960464,99,39.6000022888184,31,53.5,57,26,48.7000007629395,3,321,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.17829990386963,3.18289995193481,3.18280005455017,3.18230009078979,3.18589997291565,3.18600010871887,3.16849994659424,3.18540000915527,3.19149994850159,3.18420004844665,3.19000005722046,3.19099998474121,3.19120001792908,3.19239997863769,3.1949999332428,3.19000005722046,3.1933000087738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1001,-1001,-1001
1713135784967,0,31.522403717041,3,0,0,0,0.0673992708325386,0,0,1,0,0.535775363445282,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.65450549125671,0,1,0.159560441970825,3.20813202857971,0,0,0,0,0,-10000,-10000,-10000,51.9200439453125,-10000,-10000,-10000,0,0,0,0,0,4.9652247428894,12.3791599273682,24.6077671051025,0.0967033058404922,0.531868159770966,0.0483516529202461,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,35,37,0.400000005960464,99,39.6000022888184,31,53.5,57,26,48.7000007629395,3,321,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.17829990386963,3.18289995193481,3.18280005455017,3.18230009078979,3.18589997291565,3.18600010871887,3.16849994659424,3.18540000915527,3.19149994850159,3.18420004844665,3.19000005722046,3.19099998474121,3.19120001792908,3.19239997863769,3.1949999332428,3.19000005722046,3.1933000087738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1001,-1001,-1001
1713135785017,0,31.522403717041,3,0,0,0,0.0671550706028938,0,0,1,0,0.570695996284485,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.65450549125671,0,1,0.159560441970825,3.20813202857971,0,0,0,0,0,-10000,-10000,-10000,51.9200439453125,-10000,-10000,-10000,0,0,0,0,0,4.97476863861084,12.3514289855957,24.7939205169678,0.0322344340384007,2.93333339691162,0.0725274831056595,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,35,37,0.400000005960464,99,39.6000022888184,31,53.5,57,26,48.7000007629395,3,321,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.17829990386963,3.18289995193481,3.18280005455017,3.18230009078979,3.18589997291565,3.18600010871887,3.16849994659424,3.18540000915527,3.19149994850159,3.18420004844665,3.19000005722046,3.19099998474121,3.19120001792908,3.19239997863769,3.1949999332428,3.19000005722046,3.1933000087738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1001,-1001,-1001
