type,latitude,longitude,altitude (m),vmg (km/h),course,slope (%),distance (km),distance_interval (m),eos,name,desc
T,39.742367000,-94.887672000,247.6,,249.4,0.3,4.435,120.83,,,
T,39.742130000,-94.888579000,247.5,,251.2,-0.2,4.518,82.08,,,
T,39.741903000,-94.889528000,247.5,,252.7,0.0,4.603,85.16,,,
T,39.741561000,-94.891130000,247.6,,254.5,0.1,4.745,142.47,,,
T,39.741374000,-94.892101000,247.4,,255.9,-0.2,4.831,85.78,,,
T,39.741215000,-94.893063000,247.5,,257.9,0.1,4.915,84.33,,,
T,39.741122000,-94.893704000,247.8,,259.3,0.4,4.971,55.91,,,
T,39.741117000,-94.893742000,247.8,,260.3,1.2,4.974,3.30,,,
T,39.741092000,-94.893934000,247.7,,260.4,-0.5,4.991,16.69,,,
T,39.740983000,-94.894759000,247.6,,260.3,-0.2,5.063,71.74,,,
T,39.740849000,-94.895935000,247.4,,261.6,-0.2,5.165,101.89,,,
T,39.740746000,-94.897106000,247.6,,263.5,0.2,5.266,101.02,,,
T,39.740696000,-94.897872000,247.6,,265.1,0.1,5.332,65.89,,,
T,39.740644000,-94.898908000,247.5,,266.3,-0.1,5.421,88.99,,,
T,39.740623000,-94.899836000,247.4,,268.3,-0.1,5.500,79.58,,,
T,39.740591000,-94.902612000,247.2,,269.1,-0.1,5.738,237.97,,,
T,39.740576000,-94.906103000,247.2,,269.7,0.0,6.038,299.24,,,
T,39.740556000,-94.911208000,246.9,,269.7,-0.1,6.475,437.59,,,
T,39.740552000,-94.912547000,246.8,,269.8,-0.1,6.590,114.77,,,
T,39.740574000,-94.913246000,246.7,,272.3,-0.2,6.650,59.97,,,
T,39.740619000,-94.913818000,246.6,,275.8,-0.1,6.699,49.28,,,
T,39.740723000,-94.914658000,246.8,,279.1,0.2,6.772,72.92,,,
T,39.740880000,-94.915505000,246.5,,283.6,-0.4,6.847,74.66,,,
T,39.741048000,-94.916184000,246.5,,287.8,0.1,6.908,61.12,,,
T,39.741210000,-94.916733000,246.5,,291.0,-0.1,6.958,50.38,,,
T,39.741410000,-94.917307000,246.4,,294.4,-0.1,7.012,53.98,,,
T,39.741641000,-94.917882000,246.3,,297.6,-0.1,7.068,55.56,,,
T,39.741908000,-94.918475000,246.3,,300.4,-0.0,7.127,58.84,,,
T,39.742128000,-94.918909000,246.4,,303.4,0.1,7.171,44.50,,,
T,39.742370000,-94.919337000,246.4,,306.3,-0.0,7.217,45.47,,,
T,39.742654000,-94.919801000,246.3,,308.5,-0.1,7.267,50.75,,,
T,39.743013000,-94.920318000,246.3,,312.1,-0.0,7.327,59.60,,,
T,39.743387000,-94.920807000,246.6,,314.8,0.4,7.386,59.00,,,
T,39.743776000,-94.921228000,247.1,,320.2,1.0,7.442,56.28,,,
T,39.744165000,-94.921632000,247.5,,321.4,0.7,7.498,55.36,,,
T,39.744616000,-94.922083000,248.6,,322.4,1.7,7.561,63.26,,,
T,39.746265000,-94.923714000,252.1,,322.7,1.5,7.791,230.35,,,
T,39.747013000,-94.924441000,251.7,,323.2,-0.4,7.895,103.83,,,
T,39.747320000,-94.924776000,246.4,,320.0,-11.8,7.940,44.57,,,
T,39.747572000,-94.925064000,249.8,,318.7,9.0,7.977,37.31,,,
T,39.747958000,-94.925559000,252.6,,315.4,4.6,8.037,60.30,,,
T,39.748208000,-94.925916000,252.3,,312.3,-0.7,8.078,41.31,,,
T,39.748462000,-94.926280000,251.8,,312.2,-1.2,8.121,42.05,,,
T,39.749145000,-94.927414000,249.5,,308.1,-1.8,8.244,123.27,,,
T,39.749677000,-94.928266000,248.3,,309.1,-1.3,8.338,93.92,,,
T,39.750484000,-94.929661000,247.2,,307.0,-0.7,8.487,149.41,,,
T,39.751548000,-94.931531000,246.7,,306.5,-0.2,8.686,199.10,,,
T,39.752193000,-94.932580000,247.3,,308.7,0.5,8.801,114.94,,,
T,39.753704000,-94.935036000,248.4,,308.7,0.4,9.070,269.16,,,
T,39.754207000,-94.935853000,249.0,,308.7,0.6,9.160,89.56,,,
T,39.754223000,-94.935879000,249.0,,308.7,1.0,9.163,2.85,,,
T,39.754720000,-94.936687000,248.7,,308.7,-0.4,9.251,88.54,,,
T,39.755385000,-94.937771000,248.8,,308.6,0.1,9.370,118.67,,,
T,39.756414000,-94.939448000,248.5,,308.6,-0.1,9.554,183.59,,,
T,39.756679000,-94.939887000,248.8,,308.1,0.4,9.601,47.76,,,
T,39.757409000,-94.941092000,248.8,,308.2,0.1,9.733,131.27,,,
T,39.757514000,-94.941269000,248.9,,307.7,0.1,9.752,19.13,,,
T,39.757651000,-94.941491000,248.8,,308.8,-0.1,9.776,24.36,,,
T,39.758375000,-94.942676000,249.3,,308.5,0.4,9.906,129.51,,,
T,39.759802000,-94.945026000,249.9,,308.3,0.2,10.162,256.24,,,
T,39.760010000,-94.945346000,251.3,,310.2,4.0,10.198,35.85,,,
T,39.760345000,-94.945888000,252.6,,308.8,2.0,10.257,59.50,,,
T,39.760577000,-94.946265000,253.5,,308.7,2.2,10.299,41.32,,,
T,39.760673000,-94.946470000,253.5,,301.3,0.2,10.319,20.55,,,
T,39.760734000,-94.946616000,253.7,,298.5,1.2,10.333,14.23,,,
T,39.760775000,-94.946762000,253.8,,290.1,1.0,10.347,13.31,,,
T,39.760807000,-94.946911000,253.9,,285.6,0.4,10.360,13.25,,,
T,39.760817000,-94.947104000,253.8,,273.9,-0.2,10.376,16.58,,,
T,39.760809000,-94.947659000,253.7,,268.9,-0.3,10.424,47.57,,,
T,39.760799000,-94.948720000,253.6,,269.3,-0.1,10.515,90.93,,,
T,39.760800000,-94.948807000,253.7,,270.9,0.4,10.522,7.46,,,
T,39.760803000,-94.948965000,253.8,,271.4,0.8,10.536,13.54,,,
T,39.760822000,-94.949160000,253.8,,277.2,0.4,10.553,16.84,,,
T,39.760875000,-94.949397000,253.8,,286.2,0.1,10.574,21.14,,,
T,39.760932000,-94.949572000,253.9,,293.0,0.2,10.590,16.28,,,
T,39.761015000,-94.949778000,254.0,,297.7,0.6,10.610,19.91,,,
T,39.761166000,-94.950046000,253.4,,306.2,-2.1,10.639,28.43,,,
T,39.761522000,-94.950600000,251.6,,309.9,-2.9,10.700,61.77,,,
T,39.761718000,-94.950919000,251.1,,308.6,-1.5,10.735,34.94,,,
T,39.762339000,-94.951871000,254.2,,310.3,2.8,10.842,106.81,,,
T,39.762430000,-94.952009000,254.1,,310.6,-0.5,10.858,15.55,,,
