type,latitude,longitude,altitude (m),vmg (km/h),course,slope (%),distance (km),distance_interval (m),eos,name,desc
T,37.052959000,-88.564596000,104.2,,170.1,-0.2,5.457,24.11,,,
T,37.052669000,-88.564555000,104.2,,173.6,-0.1,5.489,32.39,,,
T,37.052521000,-88.564545000,104.2,,176.9,-0.0,5.506,16.45,,,
T,37.052221000,-88.564548000,104.2,,180.5,0.0,5.539,33.29,,,
T,37.051781000,-88.564602000,104.2,,185.6,0.1,5.588,49.07,,,
T,37.051177000,-88.564700000,104.7,,187.4,0.7,5.656,67.60,,,
T,37.050223000,-88.564855000,104.7,,187.4,0.0,5.762,106.77,,,
T,37.049998000,-88.564909000,104.8,,190.8,0.2,5.788,25.43,,,
T,37.049839000,-88.564967000,104.7,,196.2,-0.2,5.806,18.38,,,
T,37.049414000,-88.565193000,104.4,,203.0,-0.7,5.857,51.27,,,
T,37.049283000,-88.565263000,104.2,,203.1,-1.2,5.873,15.82,,,
T,37.049174000,-88.565410000,104.0,,227.1,-0.7,5.891,17.81,,,
T,37.049093000,-88.565261000,104.2,,124.3,0.9,5.907,16.02,,,
T,37.049045000,-88.565180000,104.2,,126.6,0.1,5.916,8.96,,,
T,37.048667000,-88.564451000,104.9,,123.0,0.9,5.993,77.23,,,
T,37.048413000,-88.563843000,105.4,,117.6,0.8,6.054,60.99,,,
T,37.048303000,-88.563558000,105.6,,115.8,0.8,6.082,28.14,,,
T,37.047911000,-88.562281000,106.2,,111.0,0.5,6.204,121.64,,,
T,37.047524000,-88.560590000,105.9,,106.0,-0.2,6.361,156.44,,,
T,37.047417000,-88.560136000,105.7,,106.5,-0.5,6.403,42.10,,,
T,37.047296000,-88.559617000,105.2,,106.3,-1.0,6.451,48.08,,,
T,37.047002000,-88.558346000,104.7,,106.2,-0.5,6.568,117.68,,,
T,37.046695000,-88.557014000,104.4,,106.1,-0.2,6.692,123.29,,,
T,37.045990000,-88.553978000,104.2,,106.2,-0.1,6.973,281.18,,,
T,37.045605000,-88.552368000,104.1,,106.7,-0.0,7.122,149.46,,,
T,37.045423000,-88.551609000,104.8,,106.7,1.0,7.193,70.48,,,
T,37.045125000,-88.550727000,105.4,,112.9,0.7,7.278,85.15,,,
T,37.044784000,-88.549936000,106.1,,118.4,0.9,7.358,79.90,,,
T,37.043773000,-88.548177000,103.5,,125.8,-1.4,7.550,192.55,,,
T,37.042919000,-88.546885000,106.6,,129.6,2.1,7.699,148.97,,,
T,37.038020000,-88.539400000,105.3,,129.3,-0.1,8.559,859.66,,,
T,37.037676000,-88.538866000,104.7,,128.9,-1.1,8.620,60.95,,,
T,37.037269000,-88.538240000,103.8,,129.2,-1.2,8.692,71.71,,,
T,37.036583000,-88.537209000,108.0,,129.8,3.5,8.811,119.20,,,
T,37.036432000,-88.537007000,108.8,,133.1,3.5,8.835,24.57,,,
T,37.036253000,-88.536799000,110.6,,137.2,6.7,8.863,27.15,,,
T,37.036084000,-88.536609000,112.1,,138.1,5.6,8.888,25.25,,,
T,37.035921000,-88.536442000,113.3,,140.7,5.2,8.911,23.41,,,
T,37.035687000,-88.536217000,114.4,,142.5,3.5,8.944,32.79,,,
T,37.035492000,-88.536039000,113.6,,143.9,-3.0,8.971,26.82,,,
T,37.035250000,-88.535858000,112.3,,149.2,-4.3,9.002,31.31,,,
T,37.035035000,-88.535718000,112.5,,152.5,0.6,9.029,26.92,,,
T,37.034855000,-88.535616000,115.1,,155.7,12.1,9.051,21.94,,,
T,37.034608000,-88.535498000,118.0,,159.1,10.0,9.080,29.35,,,
T,37.034239000,-88.535355000,119.4,,162.8,3.2,9.123,42.88,,,
T,37.033335000,-88.535020000,118.5,,163.5,-0.9,9.228,104.66,,,
T,37.032919000,-88.534864000,117.7,,163.3,-1.6,9.276,48.21,,,
T,37.032660000,-88.534782000,117.6,,165.8,-0.5,9.306,29.65,,,
T,37.032218000,-88.534607000,118.1,,162.5,1.1,9.357,51.46,,,
T,37.031134000,-88.534215000,119.6,,163.9,1.1,9.483,125.25,,,
T,37.029448000,-88.533592000,116.6,,163.6,-1.5,9.678,195.15,,,
T,37.028514000,-88.533242000,119.3,,163.3,2.5,9.786,108.23,,,
T,37.027882000,-88.533015000,121.1,,164.0,2.5,9.859,72.99,,,
T,37.027771000,-88.532973000,121.2,,163.2,0.6,9.872,12.87,,,
T,37.028098000,-88.531991000,120.7,,67.4,-0.5,9.966,94.61,,,
T,37.028180000,-88.531780000,120.6,,64.0,-0.4,9.987,20.86,,,
T,37.028345000,-88.531482000,120.4,,55.3,-0.7,10.019,32.22,,,
T,37.029365000,-88.529544000,116.7,,56.6,-1.8,10.226,206.27,,,
T,37.029579000,-88.529162000,115.2,,54.9,-3.5,10.267,41.46,,,
T,37.030530000,-88.527823000,109.4,,48.3,-3.7,10.426,159.16,,,
T,37.033171000,-88.524925000,97.9,,41.2,-2.9,10.817,390.37,1,,
T,37.033171000,-88.524925000,97.9,,41.2,,10.817,0.00,,,
T,37.038161000,-88.519451000,107.3,,41.2,1.3,11.554,737.47,,,
T,37.039215000,-88.518248000,107.3,,42.3,-0.0,11.713,158.55,,,
T,37.040760000,-88.516523000,105.7,,41.7,-0.7,11.943,230.11,,,
T,37.041696000,-88.515453000,105.1,,42.4,-0.4,12.084,140.90,,,
T,37.041993000,-88.515055000,104.8,,46.9,-0.5,12.132,48.37,,,
T,37.042183000,-88.514758000,104.6,,51.3,-0.6,12.166,33.80,,,
T,37.042392000,-88.514383000,104.4,,55.1,-0.6,12.207,40.63,,,
T,37.042682000,-88.513762000,104.2,,59.7,-0.3,12.271,63.94,,,
T,37.042852000,-88.513878000,105.0,,331.4,3.9,12.292,21.50,,,
T,37.045408000,-88.515506000,105.9,,333.1,0.3,12.610,318.49,,,
T,37.045515000,-88.515264000,105.8,,61.0,-0.2,12.635,24.59,,,
T,37.045590000,-88.515081000,105.8,,62.8,0.0,12.653,18.28,,,
T,37.045662000,-88.514896000,105.8,,64.0,0.0,12.672,18.29,,,
T,37.045732000,-88.514708000,105.9,,65.0,0.3,12.690,18.44,,,
T,37.045799000,-88.514518000,106.0,,66.2,0.5,12.709,18.47,,,
T,37.045863000,-88.514326000,106.0,,67.3,0.4,12.727,18.50,,,
T,37.045923000,-88.514133000,106.0,,68.7,0.0,12.745,18.41,,,
T,37.045979000,-88.513938000,106.0,,70.2,-0.0,12.764,18.43,,,
T,37.046032000,-88.513743000,106.1,,71.2,0.2,12.782,18.32,,,
T,37.046082000,-88.513545000,106.1,,72.4,0.3,12.801,18.47,,,
T,37.046129000,-88.513344000,106.3,,73.7,1.0,12.819,18.63,,,
T,37.046173000,-88.513140000,106.5,,74.9,1.2,12.838,18.79,,,
T,37.046214000,-88.512936000,106.7,,75.9,1.1,12.857,18.71,,,
T,37.046238000,-88.512804000,106.9,,77.2,1.3,12.869,12.04,,,
T,37.046252000,-88.512727000,107.0,,77.2,1.4,12.876,7.02,,,
T,37.046286000,-88.512514000,107.2,,78.7,1.0,12.895,19.32,,,
T,37.046317000,-88.512298000,107.1,,79.8,-0.5,12.915,19.52,,,
T,37.046343000,-88.512080000,106.5,,81.5,-2.9,12.934,19.61,,,
T,37.046365000,-88.511860000,105.8,,82.9,-3.6,12.954,19.72,,,
T,37.046384000,-88.511632000,105.2,,84.0,-2.6,12.974,20.39,,,
T,37.046396000,-88.511413000,104.9,,86.1,-1.7,12.994,19.53,,,
T,37.046414000,-88.510968000,104.5,,87.1,-1.0,13.034,39.64,,,
T,37.046419000,-88.510734000,104.2,,88.5,-1.7,13.054,20.82,,,
T,37.046418000,-88.510485000,103.6,,90.3,-2.4,13.077,22.15,,,
T,37.046413000,-88.510308000,103.2,,92.0,-2.8,13.092,15.76,,,
T,37.046406000,-88.510082000,102.6,,92.2,-2.7,13.112,20.12,,,
T,37.046379000,-88.509644000,102.2,,94.4,-1.2,13.152,39.08,,,
T,37.046359000,-88.509360000,103.5,,95.0,5.0,13.177,25.36,,,
T,37.046346000,-88.509213000,104.0,,96.3,4.4,13.190,13.16,,,
T,37.046328000,-88.508979000,104.5,,95.5,2.2,13.211,20.91,,,
T,37.046315000,-88.508791000,104.7,,95.0,1.3,13.228,16.79,,,
T,37.046296000,-88.508545000,104.8,,95.5,0.6,13.250,21.98,,,
T,37.046243000,-88.507855000,105.2,,95.5,0.5,13.311,61.66,,,
T,37.046170000,-88.506925000,105.7,,95.6,0.6,13.395,83.13,,,
T,37.046124000,-88.506291000,105.3,,95.2,-0.7,13.451,56.63,,,
T,37.046107000,-88.506078000,105.2,,95.7,-0.4,13.470,19.04,,,
T,37.046076000,-88.505648000,105.1,,95.2,-0.3,13.509,38.41,,,
T,37.046009000,-88.504788000,104.9,,95.6,-0.2,13.585,76.86,,,
T,37.045980000,-88.504357000,105.1,,94.8,0.4,13.624,38.48,,,
T,37.045959000,-88.503928000,105.1,,93.5,-0.0,13.662,38.23,,,
T,37.045952000,-88.503714000,105.0,,92.3,-0.4,13.681,19.05,,,
T,37.045950000,-88.503499000,104.9,,90.7,-0.4,13.700,19.13,,,
T,37.045950000,-88.503286000,104.9,,90.0,0.0,13.719,18.95,,,
T,37.045956000,-88.502861000,105.0,,89.0,0.3,13.757,37.81,,,
T,37.045974000,-88.502436000,105.0,,87.0,-0.1,13.795,37.86,,,
T,37.045987000,-88.502226000,105.0,,85.6,0.2,13.814,18.74,,,
T,37.046002000,-88.502018000,105.1,,84.8,0.2,13.832,18.58,,,
T,37.046021000,-88.501812000,105.0,,83.4,-0.1,13.851,18.45,,,
T,37.046050000,-88.501545000,105.1,,82.3,0.2,13.875,23.97,,,
T,37.046066000,-88.501397000,105.1,,82.3,0.1,13.888,13.28,,,
T,37.046092000,-88.501186000,105.1,,81.2,-0.2,13.907,18.99,,,
T,37.046121000,-88.500976000,104.9,,80.2,-0.7,13.926,18.96,,,
T,37.046159000,-88.500730000,104.6,,79.0,-1.4,13.948,22.29,,,
T,37.046187000,-88.500559000,104.5,,78.4,-0.8,13.964,15.53,,,
T,37.046224000,-88.500349000,104.4,,77.6,-0.7,13.983,19.13,,,
T,37.046265000,-88.500138000,104.2,,76.3,-1.0,14.002,19.31,,,
T,37.046309000,-88.499927000,104.0,,75.4,-1.0,14.022,19.39,,,
T,37.046356000,-88.499717000,103.8,,74.3,-1.0,14.041,19.40,,,
T,37.046406000,-88.499510000,103.7,,73.2,-0.7,14.060,19.23,,,
T,37.046459000,-88.499304000,103.6,,72.1,-0.5,14.079,19.25,,,
T,37.046517000,-88.499089000,103.5,,71.3,-0.3,14.100,20.18,,,
T,37.046572000,-88.498898000,103.6,,70.2,0.5,14.118,18.05,,,
T,37.046633000,-88.498696000,103.9,,69.3,1.4,14.137,19.20,,,
T,37.046696000,-88.498494000,104.2,,68.7,1.8,14.156,19.28,,,
T,37.046828000,-88.498095000,105.0,,67.5,2.1,14.195,38.40,,,
T,37.046974000,-88.497698000,105.7,,65.3,1.8,14.233,38.86,,,
T,37.047457000,-88.496437000,105.5,,64.4,-0.2,14.358,124.32,,,
T,37.047807000,-88.495530000,105.6,,64.2,0.1,14.447,89.55,1,,
T,37.047807000,-88.495530000,105.6,,64.2,,14.447,0.00,,,
T,37.047997000,-88.495039000,105.7,,64.1,0.2,14.496,48.50,,,
T,37.048052000,-88.494913000,105.8,,61.3,0.7,14.509,12.76,,,
T,37.048092000,-88.494793000,105.8,,67.3,0.7,14.520,11.56,,,
T,37.048135000,-88.494679000,105.9,,64.7,0.5,14.531,11.21,,,
T,37.048337000,-88.494125000,105.7,,65.4,-0.3,14.585,54.14,,,
T,37.048401000,-88.493933000,105.4,,67.3,-1.8,14.604,18.50,,,
T,37.048463000,-88.493738000,105.1,,68.3,-1.7,14.623,18.66,,,
T,37.048521000,-88.493540000,104.8,,69.8,-1.6,14.641,18.75,,,
T,37.048575000,-88.493340000,104.9,,71.3,0.9,14.660,18.77,,,
T,37.048627000,-88.493136000,105.2,,72.3,1.1,14.679,19.04,,,
T,37.048675000,-88.492930000,105.2,,73.7,0.2,14.698,19.08,,,
T,37.048721000,-88.492722000,104.7,,74.5,-2.5,14.717,19.19,,,
T,37.048750000,-88.492578000,104.0,,75.8,-5.2,14.731,13.21,,,
T,37.048799000,-88.492304000,102.8,,77.4,-5.0,14.756,24.97,,,
T,37.048834000,-88.492096000,102.7,,78.1,-0.5,14.775,18.91,,,
T,37.048864000,-88.491884000,103.4,,79.9,3.8,14.794,19.15,,,
T,37.048892000,-88.491672000,104.5,,80.6,5.6,14.813,19.11,,,
T,37.048915000,-88.491458000,105.3,,82.3,4.2,14.832,19.21,,,
T,37.048934000,-88.491246000,105.5,,83.6,1.1,14.851,18.98,,,
T,37.048949000,-88.491032000,105.5,,85.0,0.0,14.870,19.11,,,
T,37.048961000,-88.490819000,105.6,,86.0,0.5,14.889,18.99,,,
T,37.048970000,-88.490605000,105.7,,87.0,0.5,14.908,19.06,,,
T,37.048974000,-88.490391000,105.7,,88.7,0.3,14.927,19.04,,,
T,37.048974000,-88.490180000,105.8,,90.0,0.3,14.946,18.77,,,
T,37.048970000,-88.489996000,106.0,,91.6,1.0,14.962,16.37,,,
T,37.048961000,-88.489627000,106.3,,91.8,1.0,14.995,32.84,,,
T,37.048951000,-88.489486000,106.3,,95.1,0.4,15.008,12.59,,,
T,37.048920000,-88.489133000,106.4,,96.3,0.3,15.039,31.59,,,
T,37.048877000,-88.488714000,106.5,,97.3,0.3,15.077,37.58,,,
T,37.048754000,-88.487674000,106.3,,98.4,-0.2,15.170,93.51,,,
T,37.048601000,-88.486422000,106.1,,98.7,-0.2,15.283,112.66,,,
T,37.048544000,-88.485962000,105.9,,98.8,-0.3,15.325,41.41,,,
T,37.048471000,-88.485323000,106.1,,98.1,0.2,15.382,57.42,,,
T,37.048420000,-88.484915000,106.1,,98.9,0.1,15.419,36.73,,,
T,37.048367000,-88.484474000,106.0,,98.6,-0.2,15.458,39.67,,,
T,37.048343000,-88.484263000,105.9,,98.1,-0.8,15.477,18.96,,,
T,37.048236000,-88.483377000,104.5,,98.6,-1.7,15.557,79.70,,,
T,37.048115000,-88.482346000,104.9,,98.4,0.5,15.650,92.69,,,
T,37.047821000,-88.479893000,106.2,,98.5,0.6,15.870,220.63,,,
T,37.047782000,-88.479577000,105.8,,98.8,-1.6,15.899,28.44,,,
T,37.047771000,-88.479477000,105.6,,97.8,-1.7,15.908,8.98,,,
T,37.047745000,-88.479255000,105.3,,98.3,-1.7,15.928,19.96,,,
