type,latitude,longitude,altitude (m),vmg (km/h),course,slope (%),distance (km),distance_interval (m),eos,name,desc
T,38.806100000,-90.008092000,162.7,,23.2,1.7,2.031,59.24,,,
T,38.808476000,-90.006820000,160.0,,22.6,-1.0,2.317,285.97,,,
T,38.809372000,-90.006341000,157.9,,22.6,-2.0,2.425,107.82,,,
T,38.809469000,-90.006289000,157.9,,22.7,-0.1,2.437,11.68,,,
T,38.809776000,-90.006097000,156.6,,26.0,-3.4,2.475,37.94,,,
T,38.810026000,-90.005922000,155.3,,28.6,-4.2,2.506,31.64,,,
T,38.810270000,-90.005733000,154.7,,31.1,-1.9,2.538,31.67,,,
T,38.810325000,-90.005685000,154.5,,34.2,-2.1,2.546,7.39,1,,
T,38.810325000,-90.005685000,154.5,,34.2,,2.546,0.00,,,
T,38.810553000,-90.005489000,153.9,,33.8,-1.9,2.576,30.50,,,
T,38.810915000,-90.005135000,152.0,,37.3,-3.9,2.627,50.60,,,
T,38.811203000,-90.004812000,149.9,,41.2,-4.8,2.669,42.54,,,
T,38.811431000,-90.004526000,148.1,,44.3,-5.0,2.705,35.46,,,
T,38.811606000,-90.004287000,147.6,,46.8,-2.0,2.733,28.43,,,
T,38.811812000,-90.003976000,146.1,,49.6,-4.2,2.768,35.39,,,
T,38.812006000,-90.003651000,143.7,,52.5,-6.6,2.804,35.51,,,
T,38.812213000,-90.003262000,141.8,,55.7,-4.8,2.845,40.86,,,
T,38.812385000,-90.002894000,141.6,,59.0,-0.5,2.882,37.23,,,
T,38.812544000,-90.002509000,139.6,,62.1,-5.4,2.920,37.81,,,
T,38.812670000,-90.002164000,139.8,,64.9,0.6,2.953,33.07,,,
T,38.812769000,-90.001862000,138.5,,67.2,-4.6,2.981,28.44,,,
T,38.812875000,-90.001474000,139.2,,70.7,2.1,3.017,35.69,,,
T,38.812979000,-90.001024000,138.7,,73.5,-1.1,3.058,40.75,,,
T,38.813053000,-90.000624000,137.5,,76.6,-3.4,3.093,35.70,,,
T,38.813104000,-90.000279000,138.7,,79.3,3.8,3.124,30.49,,,
T,38.813121000,-90.000140000,139.5,,81.1,6.3,3.136,12.22,,,
T,38.813437000,-89.997687000,142.6,,80.6,1.4,3.352,215.92,,,
T,38.813449000,-89.997417000,143.3,,86.7,3.0,3.376,23.49,,,
T,38.813479000,-89.997058000,144.1,,83.9,2.7,3.407,31.36,,,
T,38.813575000,-89.996140000,145.3,,82.4,1.5,3.487,80.44,,,
T,38.813741000,-89.994794000,149.0,,81.0,3.1,3.606,118.35,,,
T,38.813794000,-89.994391000,149.5,,80.4,1.3,3.641,35.49,,,
T,38.813792000,-89.994376000,149.5,,99.7,3.8,3.643,1.32,,,
T,38.813803000,-89.994324000,149.6,,74.8,2.5,3.647,4.68,,,
T,38.813837000,-89.994076000,150.2,,80.0,2.5,3.669,21.87,,,
T,38.813866000,-89.993850000,150.2,,80.6,0.3,3.689,19.89,,,
T,38.813979000,-89.993846000,150.1,,1.6,-0.8,3.702,12.55,,,
T,38.814048000,-89.993844000,150.1,,1.3,-0.9,3.709,7.66,,,
T,38.814234000,-89.993839000,149.8,,1.2,-1.4,3.730,20.65,,,
T,38.818581000,-89.993869000,146.5,,359.7,-0.7,4.212,482.58,,,
T,38.818973000,-89.993871000,147.5,,359.8,2.5,4.256,43.52,,,
T,38.820453000,-89.993864000,145.0,,0.2,-1.6,4.420,164.30,,,
T,38.820504000,-89.993863000,144.8,,0.9,-3.8,4.426,5.66,,,
T,38.822923000,-89.993851000,138.1,,0.2,-2.5,4.694,268.54,,,
T,38.824289000,-89.993899000,137.5,,358.4,-0.4,4.846,151.70,,,
T,38.824520000,-89.993891000,130.8,,1.5,-26.0,4.872,25.65,,,
T,38.824796000,-89.993877000,132.7,,2.3,6.3,4.902,30.66,,,
T,38.825067000,-89.993851000,137.8,,4.3,16.7,4.933,30.17,,,
T,38.825514000,-89.993823000,139.4,,2.8,3.4,4.982,49.68,,,
T,38.825762000,-89.993809000,139.6,,2.5,0.5,5.010,27.56,,,
T,38.826106000,-89.993843000,139.3,,355.6,-0.7,5.048,38.30,,,
T,38.826383000,-89.993874000,139.4,,355.0,0.4,5.079,30.87,,,
T,38.826716000,-89.993930000,140.3,,352.5,2.4,5.116,37.29,,,
T,38.826896000,-89.993970000,140.6,,350.2,1.5,5.137,20.28,,,
T,38.827083000,-89.994014000,140.6,,349.6,-0.2,5.158,21.11,,,
T,38.827789000,-89.994204000,141.0,,348.2,0.5,5.238,80.09,,,
T,38.828162000,-89.994303000,140.9,,348.3,-0.0,5.280,42.29,,,
T,38.828427000,-89.994360000,140.9,,350.5,-0.3,5.310,29.83,,,
T,38.828714000,-89.994406000,140.8,,352.9,-0.3,5.342,32.11,,,
T,38.829048000,-89.994444000,140.7,,354.9,-0.2,5.379,37.22,,,
T,38.829170000,-89.994453000,140.7,,356.7,-0.2,5.393,13.57,,,
T,38.829353000,-89.994462000,140.6,,357.8,-0.2,5.413,20.33,,,
T,38.829659000,-89.994462000,140.7,,0.0,0.1,5.447,33.97,,,
T,38.829964000,-89.994443000,141.3,,2.8,2.0,5.481,33.90,,,
T,38.830744000,-89.994235000,143.2,,11.7,2.1,5.570,88.45,,,
T,38.830848000,-89.994207000,142.8,,11.8,-3.6,5.581,11.80,,,
T,38.830918000,-89.994179000,142.2,,17.3,-7.0,5.589,8.14,,,
T,38.830978000,-89.994156000,141.5,,16.6,-9.5,5.596,6.95,,,
T,38.831153000,-89.994098000,141.7,,14.5,0.7,5.616,20.07,,,
T,38.831274000,-89.994049000,142.0,,17.5,2.2,5.631,14.09,,,
T,38.831466000,-89.993975000,142.5,,16.7,2.5,5.653,22.26,,,
T,38.831721000,-89.993857000,142.4,,19.8,-0.4,5.683,30.11,,,
T,38.831940000,-89.993734000,142.5,,23.6,0.2,5.709,26.55,,,
T,38.832119000,-89.993615000,142.7,,27.4,1.1,5.732,22.40,,,
T,38.832290000,-89.993466000,143.5,,34.2,3.6,5.755,22.97,,,
T,38.832390000,-89.993330000,144.0,,46.7,3.1,5.771,16.21,,,
T,38.832435000,-89.993259000,144.3,,50.9,2.8,5.779,7.93,,,
T,38.832478000,-89.993180000,144.7,,55.1,4.8,5.787,8.36,,,
T,38.832517000,-89.993095000,145.4,,59.5,8.0,5.796,8.56,,,
T,38.832587000,-89.992907000,146.4,,64.5,5.6,5.814,18.08,,,
T,38.832642000,-89.992712000,147.0,,70.1,3.5,5.832,18.00,,,
T,38.832680000,-89.992534000,147.8,,74.7,5.0,5.848,16.02,,,
T,38.832713000,-89.992281000,148.5,,80.5,3.0,5.870,22.27,,,
T,38.832730000,-89.992014000,149.1,,85.3,2.6,5.894,23.26,,,
T,38.832733000,-89.991774000,149.9,,89.1,4.2,5.914,20.84,,,
T,38.832718000,-89.991578000,150.6,,95.6,3.9,5.931,17.10,,,
T,38.832691000,-89.991383000,151.1,,100.1,2.6,5.949,17.20,,,
T,38.832658000,-89.991223000,151.5,,104.8,3.2,5.963,14.37,,,
T,38.832583000,-89.990915000,152.0,,107.4,1.6,5.991,28.01,,,
T,38.832206000,-89.989858000,152.4,,114.6,0.4,6.092,100.87,,,
T,38.832039000,-89.989514000,152.5,,121.9,0.4,6.127,35.16,,,
T,38.831750000,-89.988954000,152.6,,123.5,0.2,6.185,58.26,,,
T,38.831517000,-89.988528000,152.8,,125.1,0.3,6.230,45.14,,,
T,38.831253000,-89.988071000,152.5,,126.6,-0.6,6.280,49.33,,,
T,38.830971000,-89.987612000,152.6,,128.3,0.2,6.330,50.68,,,
T,38.830634000,-89.987101000,151.8,,130.3,-1.3,6.389,58.04,,,
T,38.830328000,-89.986667000,152.1,,132.1,0.6,6.439,50.74,,,
T,38.830088000,-89.986346000,151.4,,133.8,-1.8,6.478,38.56,,,
T,38.829717000,-89.985873000,151.0,,135.2,-0.7,6.536,58.17,,,
T,38.829280000,-89.985346000,150.5,,136.8,-0.7,6.603,66.69,,,
T,38.828831000,-89.984836000,149.7,,138.5,-1.3,6.669,66.68,,,
T,38.828379000,-89.984339000,148.3,,139.4,-2.1,6.736,66.18,,,
T,38.827972000,-89.983863000,147.5,,137.7,-1.3,6.797,61.24,,,
T,38.827577000,-89.983371000,146.7,,135.9,-1.2,6.858,61.22,,,
T,38.827300000,-89.983004000,145.7,,134.1,-2.4,6.902,44.29,,,
T,38.827072000,-89.982672000,144.4,,131.4,-3.4,6.941,38.36,,,
T,38.826887000,-89.982378000,143.4,,128.9,-3.1,6.973,32.77,,,
T,38.826723000,-89.982093000,142.3,,126.5,-3.4,7.004,30.72,,,
T,38.826548000,-89.981761000,141.4,,124.1,-2.5,7.039,34.76,,,
T,38.826393000,-89.981440000,139.9,,121.8,-4.7,7.072,32.76,,,
T,38.826154000,-89.980898000,139.0,,119.5,-1.7,7.126,54.03,,,
T,38.826095000,-89.980747000,138.8,,116.6,-1.3,7.140,14.66,,,
T,38.826015000,-89.980544000,138.8,,116.8,0.1,7.160,19.74,,,
T,38.825889000,-89.980182000,138.0,,114.1,-2.5,7.194,34.41,,,
T,38.825777000,-89.979813000,138.4,,111.3,1.3,7.229,34.37,,,
T,38.825672000,-89.979411000,138.6,,108.5,0.6,7.266,36.80,,,
T,38.825312000,-89.977860000,136.6,,106.6,-1.5,7.406,140.49,,,
T,38.825264000,-89.977672000,133.8,,108.1,-16.5,7.423,17.17,,,
T,38.825083000,-89.976966000,138.1,,108.2,6.7,7.488,64.52,,,
T,38.824816000,-89.975969000,137.9,,109.0,-0.1,7.579,91.51,,,
T,38.824680000,-89.975482000,137.5,,109.7,-1.1,7.624,44.91,,,
T,38.824585000,-89.975169000,138.2,,111.3,2.6,7.653,29.16,1,,
T,38.824585000,-89.975169000,138.2,,111.3,,7.653,0.00,,,
T,38.824530000,-89.974987000,137.7,,111.2,-3.3,7.670,16.94,,,
T,38.824329000,-89.974363000,136.2,,112.5,-2.4,7.729,58.60,,,
T,38.824247000,-89.973997000,141.2,,106.0,14.9,7.762,33.06,,,
T,38.824059000,-89.973432000,142.3,,113.1,2.2,7.815,53.32,,,
T,38.823888000,-89.972897000,144.5,,112.3,4.3,7.866,50.19,,,
T,38.824148000,-89.972721000,140.3,,27.8,-12.9,7.898,32.66,,,
T,38.824614000,-89.972420000,139.1,,26.7,-2.0,7.956,57.96,,,
T,38.825606000,-89.971759000,134.8,,27.4,-3.4,8.080,124.19,,,
T,38.826260000,-89.971322000,137.1,,27.5,2.8,8.162,81.92,,,
T,38.826468000,-89.971184000,136.3,,27.3,-3.0,8.188,26.01,,,
T,38.829579000,-89.969127000,137.8,,27.3,0.4,8.577,388.82,,,
T,38.829932000,-89.968889000,138.8,,27.7,2.1,8.621,44.30,,,
T,38.831552000,-89.967820000,145.5,,27.2,3.3,8.824,202.38,,,
T,38.832625000,-89.967113000,147.5,,27.2,1.5,8.958,134.00,,,
T,38.832641000,-89.967102000,147.5,,28.2,-1.4,8.960,2.02,,,
T,38.834547000,-89.965845000,157.8,,27.2,4.3,9.198,238.08,,,
T,38.834748000,-89.965713000,157.5,,27.1,-1.0,9.223,25.08,,,
T,38.835072000,-89.965505000,157.3,,26.6,-0.6,9.263,40.25,,,
T,38.836202000,-89.964817000,156.6,,25.4,-0.5,9.402,138.94,,,
T,38.836334000,-89.964741000,156.6,,24.2,0.2,9.418,16.07,,,
T,38.836950000,-89.964397000,156.2,,23.5,-0.6,9.493,74.62,,,
T,38.837941000,-89.963866000,155.9,,22.7,-0.3,9.612,119.28,,,
T,38.838981000,-89.963348000,156.4,,21.2,0.4,9.736,123.90,,,
T,38.839604000,-89.963057000,157.4,,20.0,1.3,9.810,73.63,,,
T,38.841174000,-89.962353000,158.9,,19.3,0.8,9.994,184.70,,,
T,38.841404000,-89.962252000,159.4,,18.9,1.7,10.021,27.00,,,
T,38.842178000,-89.961913000,160.3,,18.8,1.1,10.112,90.82,,,
T,38.842215000,-89.961897000,160.3,,18.6,0.3,10.117,4.34,,,
T,38.842794000,-89.961653000,160.9,,18.2,0.8,10.184,67.68,,,
T,38.842971000,-89.961575000,160.9,,18.9,0.1,10.205,20.78,,,
T,38.842992000,-89.961565000,160.9,,20.3,0.4,10.207,2.49,,,
T,38.843809000,-89.961204000,161.9,,19.0,1.0,10.303,95.96,,,
