type,latitude,longitude,altitude (m),vmg (km/h),course,slope (%),distance (km),distance_interval (m),eos,name,desc
T,41.864600000,-103.735847000,1198.2,,359.2,-0.7,5.211,52.65,,,
T,41.865160000,-103.735868000,1197.7,,358.4,-0.7,5.273,62.22,,,
T,41.865314000,-103.735838000,1197.7,,8.3,-0.4,5.291,17.29,,,
T,41.865680000,-103.735839000,1197.3,,359.9,-0.9,5.331,40.65,,,
T,41.865703000,-103.734226000,1197.1,,88.9,-0.1,5.465,133.94,,,
T,41.865708000,-103.733871000,1197.2,,88.9,0.1,5.495,29.48,,,
T,41.865710000,-103.733749000,1197.1,,88.7,-0.1,5.505,10.13,,,
T,41.865737000,-103.733423000,1196.8,,83.7,-1.1,5.532,27.23,,,
T,41.865780000,-103.729334000,1194.7,,89.2,-0.6,5.872,339.52,,,
T,41.865821000,-103.726701000,1188.2,,88.8,-3.0,6.090,218.65,,,
T,41.865865000,-103.723912000,1188.1,,88.8,-0.0,6.322,231.61,,,
T,41.865886000,-103.722601000,1187.3,,88.8,-0.7,6.431,108.87,,,
T,41.865911000,-103.720756000,1187.5,,89.0,0.1,6.584,153.21,,,
T,41.865937000,-103.719304000,1188.0,,88.6,0.4,6.704,120.59,,,
T,41.865969000,-103.716601000,1187.3,,89.1,-0.3,6.929,224.44,,,
T,41.865978000,-103.714272000,1187.3,,89.7,-0.0,7.122,193.37,,,
T,41.866025000,-103.711590000,1186.9,,88.7,-0.1,7.345,222.73,,,
T,41.866044000,-103.709371000,1186.9,,89.3,-0.0,7.529,184.24,,,
T,41.866052000,-103.708355000,1186.8,,89.4,-0.1,7.614,84.36,,,
T,41.866091000,-103.705004000,1186.7,,89.1,-0.0,7.892,278.25,,,
T,41.866096000,-103.704575000,1186.7,,89.1,0.1,7.928,35.62,,,
T,41.866099000,-103.704192000,1186.7,,89.4,-0.2,7.959,31.80,,,
T,41.866124000,-103.701337000,1186.2,,89.3,-0.2,8.196,237.05,,,
T,41.866136000,-103.700038000,1185.9,,89.3,-0.2,8.304,107.86,1,,
T,41.866136000,-103.700038000,1185.9,,89.3,,8.304,0.00,,,
T,41.866182000,-103.695016000,1185.8,,89.3,-0.0,8.721,416.98,,,
T,41.868562000,-103.694898000,1185.9,,2.1,0.0,8.986,264.53,,,
T,41.870068000,-103.694848000,1186.2,,1.4,0.2,9.153,167.32,,,
T,41.870612000,-103.694827000,1186.1,,1.6,-0.2,9.213,60.45,,,
T,41.872922000,-103.694775000,1186.6,,1.0,0.2,9.470,256.61,,,
T,41.874005000,-103.694741000,1188.0,,1.3,1.2,9.590,120.32,,,
T,41.874097000,-103.694741000,1188.1,,0.0,1.1,9.601,10.22,,,
T,41.874254000,-103.694741000,1188.3,,0.0,0.8,9.618,17.44,,,
T,41.874392000,-103.694741000,1188.3,,0.0,0.4,9.633,15.33,,,
T,41.874454000,-103.694739000,1188.3,,1.4,0.2,9.640,6.89,,,
T,41.875349000,-103.694770000,1188.7,,358.5,0.4,9.740,99.44,,,
T,41.876108000,-103.694772000,1189.5,,359.9,0.9,9.824,84.30,,,
T,41.876586000,-103.694751000,1189.4,,1.9,-0.1,9.877,53.12,,,
T,41.877097000,-103.694717000,1189.5,,2.8,0.2,9.934,56.83,,,
T,41.877476000,-103.694686000,1189.7,,3.5,0.4,9.976,42.17,,,
T,41.877915000,-103.694626000,1190.3,,5.8,1.3,10.025,49.01,,,
T,41.878522000,-103.694527000,1191.1,,6.9,1.2,10.093,67.92,,,
T,41.879026000,-103.694435000,1191.5,,7.7,0.7,10.150,56.50,,,
T,41.879554000,-103.694321000,1193.6,,9.1,3.6,10.209,59.40,,,
T,41.880185000,-103.694161000,1194.4,,10.7,1.1,10.280,71.33,,,
T,41.880811000,-103.693981000,1196.9,,12.1,3.5,10.351,71.12,,,
T,41.881452000,-103.693793000,1190.4,,12.3,-8.9,10.424,72.89,,,
T,41.882355000,-103.693510000,1197.0,,13.1,6.4,10.527,103.01,,,
T,41.883537000,-103.693162000,1194.3,,12.4,-2.0,10.662,134.43,,,
T,41.883805000,-103.693082000,1193.0,,12.5,-4.4,10.692,30.50,,,
T,41.884013000,-103.693004000,1192.7,,15.6,-1.2,10.716,23.99,,,
T,41.884145000,-103.692936000,1192.5,,21.0,-1.0,10.732,15.71,,,
T,41.884285000,-103.692849000,1192.0,,24.8,-3.2,10.749,17.14,,,
T,41.884418000,-103.692740000,1191.4,,31.4,-3.5,10.766,17.32,,,
T,41.884554000,-103.692607000,1191.4,,36.1,0.1,10.785,18.71,,,
T,41.884688000,-103.692453000,1190.8,,40.6,-3.4,10.805,19.62,,,
T,41.884814000,-103.692285000,1190.5,,44.8,-1.5,10.825,19.76,,,
T,41.884930000,-103.692100000,1190.5,,49.9,0.4,10.845,20.04,,,
T,41.885032000,-103.691896000,1189.9,,56.1,-3.0,10.865,20.37,,,
T,41.885135000,-103.691655000,1190.0,,60.1,0.2,10.888,23.04,,,
T,41.885206000,-103.691425000,1189.9,,67.5,-0.4,10.909,20.65,,,
T,41.885262000,-103.691178000,1189.6,,73.1,-1.3,10.930,21.42,,,
T,41.885303000,-103.690927000,1189.5,,77.6,-0.7,10.951,21.32,,,
T,41.885327000,-103.690674000,1189.4,,82.7,-0.5,10.973,21.17,,,
T,41.885338000,-103.690465000,1189.3,,86.0,-0.3,10.990,17.39,,,
