type,latitude,longitude,altitude (m),vmg (km/h),course,slope (%),distance (km),distance_interval (m),eos,name,desc
T,38.586603000,-92.184866000,192.0,,300.8,-1.8,1.641,6.08,,,
T,38.586960000,-92.185592000,192.3,,302.2,0.4,1.715,74.64,,,
T,38.586984000,-92.185641000,192.4,,302.1,2.3,1.720,5.03,,,
T,38.587306000,-92.186296000,192.8,,302.2,0.6,1.788,67.34,,,
T,38.587655000,-92.187007000,191.3,,302.1,-2.0,1.861,73.06,,,
T,38.587929000,-92.187558000,191.2,,302.5,-0.2,1.917,56.83,,,
T,38.588005000,-92.187723000,191.4,,300.5,0.7,1.934,16.67,,,
T,38.588038000,-92.187817000,191.3,,294.2,-0.2,1.943,8.97,,,
T,38.588061000,-92.187948000,191.1,,282.7,-1.9,1.955,11.70,,,
T,38.588073000,-92.188074000,190.9,,276.9,-1.7,1.966,11.06,,,
T,38.588077000,-92.188224000,190.7,,272.0,-1.4,1.979,13.08,,,
T,38.588082000,-92.188867000,193.1,,270.6,4.2,2.035,56.03,,,
T,38.588090000,-92.189645000,197.4,,270.8,6.3,2.103,67.79,,,
T,38.588130000,-92.189979000,197.7,,278.7,1.0,2.132,29.44,,,
T,38.588298000,-92.191585000,197.7,,277.6,-0.0,2.273,141.16,,,
T,38.588402000,-92.192598000,197.2,,277.5,-0.5,2.362,89.01,,,
T,38.588443000,-92.193126000,197.4,,275.7,0.5,2.409,46.23,,,
T,38.588442000,-92.193184000,197.4,,268.7,0.2,2.414,5.05,,,
T,38.588417000,-92.194854000,198.8,,268.9,1.0,2.559,145.53,,,
T,38.588408000,-92.195206000,199.4,,268.1,1.8,2.590,30.68,,,
T,38.588408000,-92.195227000,199.4,,270.0,1.9,2.592,1.83,,,
T,38.588370000,-92.196431000,201.1,,267.7,1.6,2.697,104.98,,,
T,38.588334000,-92.197444000,201.6,,267.4,0.5,2.785,88.35,,,
T,38.588344000,-92.197858000,201.9,,271.8,0.9,2.821,36.09,,,
T,38.588368000,-92.198244000,202.5,,274.5,1.8,2.855,33.74,,,
T,38.588383000,-92.198381000,202.9,,278.0,2.8,2.867,12.05,,,
T,38.588412000,-92.198518000,203.2,,285.2,2.4,2.879,12.36,,,
T,38.588453000,-92.198645000,203.5,,292.4,3.0,2.891,11.96,,,
T,38.588493000,-92.198745000,203.9,,297.1,3.6,2.901,9.78,,,
T,38.588546000,-92.198847000,204.4,,303.6,4.9,2.912,10.66,,,
T,38.588629000,-92.198996000,204.8,,305.5,2.5,2.928,15.92,,,
T,38.588800000,-92.199256000,205.4,,310.1,2.0,2.957,29.55,,,
T,38.589469000,-92.200223000,204.0,,311.5,-1.3,3.069,112.31,,,
T,38.589607000,-92.200430000,203.7,,310.5,-1.1,3.093,23.66,,,
T,38.589841000,-92.200781000,202.9,,310.5,-2.0,3.133,40.12,,,
T,38.590063000,-92.201153000,201.7,,307.4,-3.0,3.174,40.72,,,
T,38.590212000,-92.201493000,200.8,,299.3,-2.5,3.208,33.93,,,
T,38.590372000,-92.201857000,201.6,,299.4,2.0,3.244,36.35,,,
T,38.590464000,-92.202083000,202.7,,297.5,5.1,3.266,22.18,,,
T,38.590630000,-92.202792000,207.0,,286.7,6.6,3.331,64.46,,,
T,38.590720000,-92.203150000,208.3,,287.8,4.2,3.364,32.75,,,
T,38.590756000,-92.203293000,209.2,,287.9,6.9,3.377,13.08,,,
T,38.590924000,-92.204015000,211.1,,286.6,2.8,3.442,65.61,,,
T,38.591130000,-92.204871000,211.6,,287.1,0.7,3.520,78.00,,,
T,38.591417000,-92.206205000,214.0,,285.4,2.0,3.641,120.51,,,
