type,latitude,longitude,altitude (m),vmg (km/h),course,slope (%),distance (km),distance_interval (m),eos,name,desc
T,39.776835000,-94.828785000,303.4,,90.8,,3.283,0.00,,,
T,39.776832000,-94.828548000,303.9,,90.9,2.8,3.304,20.31,,,
T,39.776833000,-94.828057000,305.0,,89.8,2.7,3.346,42.06,,,
T,39.776834000,-94.827240000,306.3,,89.9,1.8,3.416,69.99,,,
T,39.776834000,-94.827055000,306.0,,90.0,-1.7,3.432,15.85,,,
T,39.776832000,-94.826889000,305.6,,90.9,-2.9,3.446,14.22,,,
T,39.776818000,-94.825775000,303.0,,90.9,-2.8,3.541,95.45,,,
T,39.776823000,-94.824891000,302.7,,89.6,-0.3,3.617,75.74,,,
T,39.776835000,-94.823515000,300.7,,89.3,-1.8,3.735,117.89,,,
T,39.776844000,-94.823240000,299.7,,87.6,-4.1,3.759,23.58,,,
T,39.776847000,-94.822991000,298.9,,89.1,-3.9,3.780,21.33,,,
T,39.776850000,-94.822774000,298.2,,89.0,-3.4,3.798,18.59,,,
T,39.776856000,-94.822257000,296.6,,89.1,-3.6,3.843,44.30,,,
T,39.776858000,-94.822122000,296.0,,88.9,-5.2,3.854,11.57,,,
T,39.776857000,-94.821742000,294.6,,90.2,-4.4,3.887,32.56,,,
T,39.776856000,-94.821115000,291.8,,90.1,-5.1,3.941,53.72,,,
T,39.776861000,-94.820679000,289.9,,89.1,-5.3,3.978,37.36,,,
T,39.776866000,-94.820012000,287.1,,89.4,-4.9,4.035,57.15,,,
T,39.776867000,-94.819618000,285.4,,89.8,-5.0,4.069,33.75,,,
T,39.776878000,-94.818896000,283.4,,88.9,-3.2,4.131,61.87,,,
T,39.776879000,-94.818757000,283.1,,89.5,-2.9,4.143,11.91,,,
T,39.776880000,-94.818704000,283.0,,88.6,-1.7,4.147,4.54,,,
T,39.776898000,-94.817691000,281.7,,88.7,-1.5,4.234,86.81,,,
T,39.776899000,-94.817619000,281.6,,89.0,-1.9,4.240,6.17,,,
T,39.776909000,-94.816514000,280.7,,89.3,-1.0,4.335,94.67,,,
T,39.776914000,-94.815605000,283.6,,89.6,3.7,4.413,77.88,,,
T,39.776918000,-94.814910000,286.9,,89.6,5.6,4.472,59.54,,,
T,39.776923000,-94.813106000,295.9,,89.8,5.8,4.627,154.55,,,
T,39.776923000,-94.812451000,296.7,,90.0,1.4,4.683,56.11,,,
T,39.776923000,-94.811877000,297.3,,90.0,1.2,4.732,49.18,,,
T,39.776923000,-94.810000000,297.4,,90.0,0.1,4.893,160.80,,,
T,39.776923000,-94.809177000,299.9,,90.0,3.6,4.963,70.51,,,
T,39.776923000,-94.808814000,301.4,,90.0,4.7,4.995,31.10,1,,
T,39.776923000,-94.808814000,301.4,,90.0,,4.995,0.00,,,
T,39.776922000,-94.808211000,303.7,,90.1,4.6,5.046,51.66,,,
T,39.776922000,-94.808117000,304.1,,90.0,4.7,5.054,8.05,,,
T,39.776922000,-94.807383000,307.0,,90.0,4.6,5.117,62.88,,,
T,39.776922000,-94.807100000,307.5,,90.0,2.1,5.141,24.24,,,
T,39.776922000,-94.806653000,307.8,,90.0,0.8,5.180,38.29,,,
T,39.776922000,-94.806150000,308.1,,90.0,0.7,5.223,43.09,,,
T,39.776921000,-94.805279000,308.7,,90.1,0.7,5.297,74.62,,,
T,39.776924000,-94.804806000,307.9,,89.5,-2.0,5.338,40.52,,,
T,39.776927000,-94.804432000,307.7,,89.4,-0.7,5.370,32.04,,,
T,39.776927000,-94.804394000,307.6,,90.0,-1.6,5.373,3.26,,,
T,39.776928000,-94.804158000,308.0,,89.7,1.6,5.393,20.22,,,
T,39.776929000,-94.803919000,308.4,,89.7,2.4,5.414,20.48,,,
T,39.776930000,-94.803820000,308.5,,89.2,1.0,5.422,8.48,,,
T,39.776934000,-94.803226000,309.1,,89.5,1.1,5.473,50.89,,,
T,39.776937000,-94.802742000,309.2,,89.5,0.3,5.515,41.47,,,
T,39.776939000,-94.802385000,309.6,,89.6,1.4,5.545,30.59,,,
T,39.776945000,-94.801543000,309.3,,89.5,-0.5,5.617,72.14,,,
T,39.776954000,-94.799970000,308.8,,89.6,-0.4,5.752,134.76,,,
T,39.776962000,-94.798837000,310.6,,89.5,1.9,5.849,97.07,,,
T,39.776968000,-94.797903000,309.0,,89.5,-1.9,5.929,80.02,,,
T,39.776970000,-94.797598000,308.4,,89.5,-2.3,5.955,26.13,,,
T,39.776972000,-94.797350000,307.3,,89.4,-5.0,5.977,21.25,,,
T,39.776976000,-94.796711000,307.3,,89.5,-0.0,6.031,54.75,,,
T,39.776978000,-94.796192000,307.7,,89.7,0.9,6.076,44.46,,,
T,39.776979000,-94.795974000,307.8,,89.7,0.8,6.095,18.68,,,
T,39.776981000,-94.795446000,307.5,,89.7,-0.8,6.140,45.23,,,
T,39.776983000,-94.795205000,307.4,,89.4,-0.4,6.160,20.65,,,
T,39.776987000,-94.794869000,307.2,,89.1,-0.5,6.189,28.79,,,
T,39.776992000,-94.794325000,306.9,,89.3,-0.7,6.236,46.61,,,
T,39.776996000,-94.794146000,305.4,,88.3,-9.7,6.251,15.34,,,
T,39.777003000,-94.793239000,305.5,,89.4,0.1,6.329,77.71,,,
T,39.777003000,-94.793106000,306.5,,90.0,8.4,6.340,11.39,,,
T,39.777003000,-94.793038000,306.5,,90.0,-0.1,6.346,5.83,,,
T,39.777001000,-94.792453000,306.6,,90.3,0.2,6.396,50.12,,,
T,39.777005000,-94.792296000,306.5,,88.1,-0.3,6.410,13.46,,,
T,39.777005000,-94.792075000,306.5,,90.0,-0.4,6.429,18.93,,,
T,39.777006000,-94.792046000,306.4,,87.4,-0.5,6.431,2.49,,,
T,39.777013000,-94.791851000,306.3,,87.3,-0.6,6.448,16.72,,,
T,39.777023000,-94.791701000,306.2,,85.0,-1.0,6.461,12.90,,,
T,39.777047000,-94.791430000,305.8,,83.4,-1.7,6.484,23.37,,,
T,39.777074000,-94.791194000,305.3,,81.5,-2.5,6.505,20.44,,,
T,39.777107000,-94.790962000,304.7,,79.5,-2.9,6.525,20.21,,,
T,39.777124000,-94.790845000,304.4,,79.3,-2.9,6.535,10.20,,,
T,39.777154000,-94.790671000,304.0,,77.4,-3.1,6.550,15.27,,,
T,39.777191000,-94.790481000,303.8,,75.8,-1.2,6.567,16.79,,,
T,39.777221000,-94.790343000,303.4,,74.2,-2.6,6.579,12.28,,,
T,39.777398000,-94.789693000,302.8,,70.5,-1.0,6.638,59.05,,,
T,39.777709000,-94.788859000,300.8,,64.1,-2.5,6.718,79.36,,,
