type,latitude,longitude,altitude (m),course,slope (%),distance (km),distance_interval (m),name,desc
T,36.479564000,-86.889047000,215.9,29.9,-1.6,46.586,60.36,,
T,36.480520000,-86.888364000,217.9,29.9,1.6,46.708,122.48,,
T,36.481520000,-86.887635000,217.6,30.4,-0.3,46.837,128.77,,
T,36.482554000,-86.886788000,212.7,33.4,-3.6,46.975,137.57,,
T,36.482893000,-86.886531000,213.8,31.4,2.5,47.019,44.11,,
T,36.484623000,-86.885127000,215.3,33.1,0.7,47.248,229.53,,
T,36.485213000,-86.884665000,217.5,32.2,2.9,47.326,77.46,,
T,36.485509000,-86.884433000,218.8,32.2,3.2,47.365,38.87,,
T,36.485509000,-86.884433000,218.8,32.2,,47.365,0.00,,
T,36.485738000,-86.884254000,220.3,32.1,5.1,47.395,30.05,,
T,36.486233000,-86.883871000,223.8,31.9,5.4,47.460,64.77,,
T,36.486953000,-86.883301000,225.2,32.5,1.5,47.554,94.83,,
T,36.487302000,-86.883012000,225.7,33.7,1.1,47.601,46.59,,
T,36.487548000,-86.882805000,225.9,34.1,0.7,47.634,33.00,,
T,36.487940000,-86.882415000,226.4,38.7,0.8,47.690,55.80,,
T,36.488143000,-86.882194000,226.8,41.2,1.4,47.720,29.99,,
T,36.488358000,-86.881935000,226.9,44.1,0.4,47.753,33.28,,
T,36.488754000,-86.881423000,227.0,46.1,0.1,47.817,63.53,,
T,36.488777000,-86.881390000,227.1,49.1,1.3,47.821,3.91,,
T,36.488934000,-86.881167000,227.4,48.8,1.3,47.847,26.51,,
T,36.489111000,-86.880883000,227.9,52.2,1.5,47.879,32.15,,
T,36.489544000,-86.880183000,228.6,52.4,0.9,47.958,79.01,,
T,36.489957000,-86.879394000,229.3,56.9,0.8,48.042,84.25,,
T,36.489985000,-86.879341000,229.3,56.7,0.4,48.048,5.68,,
T,36.490397000,-86.878554000,229.0,56.9,-0.4,48.132,84.04,,
T,36.490622000,-86.878223000,229.0,49.8,0.1,48.171,38.77,,
T,36.490963000,-86.877722000,229.0,49.7,0.1,48.230,58.71,,
T,36.491380000,-86.877204000,229.1,45.0,0.1,48.295,65.54,,
T,36.491415000,-86.877161000,229.1,44.6,0.1,48.301,5.47,,
T,36.491578000,-86.876958000,229.2,45.0,0.3,48.326,25.65,,
T,36.491632000,-86.876892000,229.3,44.5,0.8,48.335,8.42,,
T,36.491784000,-86.876694000,229.6,46.3,1.4,48.359,24.48,,
T,36.492564000,-86.876025000,229.5,34.6,-0.1,48.464,105.28,,
T,36.493071000,-86.875676000,227.5,29.0,-3.0,48.529,64.37,,
T,36.493287000,-86.876165000,226.2,298.8,-2.6,48.579,49.94,,
T,36.493435000,-86.876454000,226.0,302.5,-0.8,48.609,30.66,,
T,36.493629000,-86.876833000,226.1,302.5,0.3,48.650,40.21,,
T,36.493894000,-86.877352000,226.1,302.4,0.0,48.705,55.02,,
T,36.493918000,-86.877399000,226.1,302.4,-1.2,48.710,4.98,,
T,36.494080000,-86.877711000,225.3,302.9,-2.3,48.743,33.24,,
T,36.494207000,-86.877956000,224.4,302.8,-3.4,48.769,26.09,,
T,36.494278000,-86.878091000,224.0,303.2,-2.8,48.783,14.44,,
T,36.494303000,-86.878141000,223.9,301.9,-2.6,48.789,5.27,,
T,36.494451000,-86.878427000,223.4,302.8,-1.6,48.819,30.44,,
T,36.494524000,-86.878567000,223.3,303.0,-0.8,48.834,14.93,,
T,36.494826000,-86.879150000,222.9,302.8,-0.6,48.896,62.06,,
T,36.494964000,-86.879396000,222.7,304.9,-0.7,48.923,26.84,,
T,36.495227000,-86.879816000,222.6,307.9,-0.2,48.971,47.62,,
T,36.495287000,-86.879899000,222.6,312.0,0.1,48.981,9.98,,
T,36.495505000,-86.880218000,222.8,310.4,0.4,49.018,37.44,,
T,36.495642000,-86.880361000,222.9,320.0,0.5,49.038,19.88,,
T,36.495895000,-86.880639000,223.0,318.5,0.4,49.075,37.53,,
T,36.496066000,-86.880815000,223.1,320.4,0.4,49.100,24.67,,
T,36.496081000,-86.880827000,223.1,327.3,0.2,49.102,1.98,,
T,36.496363000,-86.881051000,223.0,327.4,-0.2,49.139,37.18,,
T,36.496568000,-86.881199000,222.7,329.9,-1.3,49.166,26.33,,
T,36.496800000,-86.881367000,222.0,329.8,-2.1,49.195,29.82,,
T,36.497233000,-86.881632000,219.9,333.8,-4.0,49.249,53.60,,
T,36.497264000,-86.881651000,219.7,333.8,-4.8,49.253,3.84,,
T,36.497367000,-86.881702000,219.1,338.3,-4.9,49.265,12.31,,
T,36.497484000,-86.881754000,218.3,340.3,-5.9,49.279,13.79,,
T,36.497882000,-86.881910000,215.9,342.5,-5.3,49.325,46.32,,
T,36.498596000,-86.882097000,211.7,348.1,-5.2,49.406,80.98,,
T,36.499267000,-86.882163000,208.9,355.5,-3.7,49.481,74.69,,
T,36.499843000,-86.882125000,208.0,3.0,-1.5,49.545,64.01,,
T,36.500029000,-86.882113000,207.6,3.0,-1.8,49.566,20.67,,
T,36.500187000,-86.882080000,207.3,9.5,-1.8,49.583,17.78,,
T,36.500310000,-86.882054000,207.1,9.6,-1.8,49.597,13.85,,
T,36.500480000,-86.882019000,206.7,9.4,-1.8,49.616,19.12,,
T,36.501078000,-86.881868000,205.6,11.5,-1.6,49.684,67.72,,
T,36.501409000,-86.881785000,204.4,11.4,-3.2,49.722,37.48,,
T,36.501989000,-86.881657000,201.9,10.1,-3.8,49.787,65.38,,
T,36.502081000,-86.881636000,201.6,10.4,-2.7,49.797,10.38,,
T,36.502288000,-86.881590000,201.7,10.1,0.1,49.821,23.34,,
T,36.502338000,-86.881579000,201.7,10.0,1.3,49.826,5.64,,
T,36.502516000,-86.881540000,201.9,10.0,1.0,49.846,20.06,,
T,36.502521000,-86.881539000,201.9,9.1,1.2,49.847,0.56,,
T,36.502738000,-86.881485000,200.1,11.3,-7.5,49.871,24.56,,
T,36.502839000,-86.881462000,198.3,10.4,-15.7,49.883,11.40,,
T,36.502968000,-86.881434000,196.7,9.9,-11.0,49.897,14.53,,
T,36.503266000,-86.881380000,195.1,8.3,-4.7,49.931,33.42,,
T,36.503591000,-86.881334000,193.3,6.5,-5.1,49.967,36.30,,
T,36.503656000,-86.881330000,193.0,2.8,-3.9,49.974,7.22,,
T,36.503817000,-86.881318000,192.5,3.4,-2.8,49.992,17.90,,
T,36.504029000,-86.881301000,192.2,3.7,-1.3,50.016,23.57,,
T,36.504183000,-86.881295000,192.0,1.8,-1.2,50.033,17.10,,
T,36.505135000,-86.881355000,191.6,357.1,-0.4,50.139,105.78,,
T,36.505170000,-86.881361000,191.6,352.2,-0.2,50.143,3.92,,
T,36.505510000,-86.881425000,191.5,351.4,-0.3,50.181,38.16,,
T,36.505545000,-86.881432000,191.4,350.9,-0.6,50.185,3.93,,
T,36.506519000,-86.881617000,191.1,351.3,-0.3,50.294,109.35,,
T,36.506599000,-86.881631000,191.3,352.0,2.8,50.303,8.97,,
T,36.507114000,-86.881723000,192.1,351.8,1.3,50.361,57.74,,
T,36.507451000,-86.881783000,190.9,351.9,-3.0,50.399,37.78,,
T,36.508129000,-86.881904000,188.8,351.8,-2.8,50.475,76.01,,
T,36.508250000,-86.881925000,188.3,352.1,-4.1,50.488,13.56,,
T,36.508568000,-86.881952000,186.6,356.1,-4.6,50.523,35.37,,
T,36.508919000,-86.881983000,184.3,355.9,-5.9,50.563,39.05,,
T,36.509026000,-86.881992000,183.7,356.1,-4.9,50.574,11.90,,
T,36.509132000,-86.881996000,183.4,358.3,-2.5,50.586,11.77,,
T,36.509353000,-86.882005000,182.9,358.1,-2.2,50.611,24.54,,
T,36.510485000,-86.881954000,180.0,2.1,-2.3,50.736,125.70,,
T,36.513577000,-86.881902000,179.2,0.8,-0.2,51.080,343.15,,
T,36.514513000,-86.881915000,174.0,359.4,-5.0,51.183,103.87,,
T,36.515505000,-86.881951000,170.5,358.3,-3.2,51.294,110.13,,
T,36.516437000,-86.882093000,168.2,353.0,-2.2,51.398,104.20,,
T,36.517902000,-86.882570000,168.0,345.3,-0.1,51.566,168.09,,
T,36.518104000,-86.882634000,167.4,345.7,-2.7,51.589,23.14,,
T,36.518928000,-86.882895000,163.7,345.7,-3.9,51.683,94.38,,
T,36.519752000,-86.883156000,166.8,345.7,3.2,51.778,94.38,,
T,36.519826000,-86.883179000,166.8,346.0,0.3,51.786,8.47,,
T,36.520324000,-86.883337000,167.2,345.7,0.8,51.843,57.05,,
T,36.520568000,-86.883414000,167.2,345.8,-0.1,51.871,27.94,,
T,36.520776000,-86.883480000,167.1,345.7,-0.3,51.895,23.83,,
T,36.521196000,-86.883613000,167.1,345.7,-0.1,51.943,48.11,,
T,36.521242000,-86.883627000,167.0,346.3,-0.2,51.948,5.26,,
T,36.521459000,-86.883696000,166.7,345.7,-1.3,51.973,24.86,,
T,36.521491000,-86.883700000,166.7,354.3,-1.1,51.977,3.57,,
T,36.521929000,-86.883760000,166.2,353.7,-0.9,52.026,48.90,,
T,36.522032000,-86.883774000,166.1,353.8,-1.0,52.037,11.50,,
T,36.522118000,-86.883785000,166.1,354.1,-0.7,52.047,9.59,,
T,36.522380000,-86.883825000,166.0,353.0,-0.2,52.076,29.29,,
T,36.523027000,-86.883854000,166.9,357.9,1.3,52.148,71.84,,
T,36.524094000,-86.883911000,167.7,357.5,0.6,52.266,118.51,,
T,36.524516000,-86.883925000,169.2,358.5,3.3,52.313,46.85,,
T,36.524804000,-86.883938000,170.4,357.9,3.6,52.345,31.98,,
T,36.526469000,-86.884003000,179.6,358.2,5.0,52.530,184.85,,
T,36.526792000,-86.884015000,181.3,358.3,4.9,52.566,35.86,,
T,36.526989000,-86.884026000,183.1,357.4,7.9,52.588,21.88,,
T,36.527450000,-86.884051000,186.0,357.5,5.8,52.639,51.21,,
T,36.527547000,-86.884056000,186.5,357.6,4.3,52.650,10.77,,
T,36.527969000,-86.884079000,188.7,357.5,4.7,52.697,46.87,,
T,36.528677000,-86.884046000,193.2,2.1,5.7,52.775,78.62,,
T,36.528731000,-86.884036000,193.5,8.5,5.0,52.781,6.06,,
T,36.529392000,-86.883918000,196.9,8.2,4.6,52.856,74.11,,
T,36.529511000,-86.883887000,197.7,11.8,6.0,52.869,13.49,,
T,36.529842000,-86.883802000,200.2,11.7,6.6,52.907,37.51,,
T,36.530113000,-86.883706000,201.8,15.9,5.3,52.938,31.28,,
T,36.530243000,-86.883660000,202.4,15.9,3.7,52.953,15.00,,
T,36.530566000,-86.883545000,203.6,16.0,3.4,52.990,37.29,,
T,36.530767000,-86.883454000,204.6,20.0,3.9,53.014,23.75,,
T,36.531453000,-86.883119000,208.6,21.4,5.0,53.096,81.82,,
T,36.532111000,-86.882798000,211.4,21.4,3.6,53.174,78.47,,
T,36.532965000,-86.882381000,212.4,21.4,0.9,53.276,101.86,,
T,36.533357000,-86.882189000,213.1,21.5,1.7,53.323,46.77,,
T,36.533869000,-86.881959000,211.7,19.8,-2.3,53.383,60.43,,
T,36.535355000,-86.881202000,209.1,22.3,-1.5,53.562,178.29,,
T,36.535448000,-86.882139000,207.6,277.0,-1.8,53.646,84.54,,
T,36.535480000,-86.882345000,207.1,280.9,-2.5,53.665,18.79,,
T,36.535515000,-86.882511000,207.0,284.7,-1.0,53.680,15.36,,
T,36.535610000,-86.882710000,207.1,300.7,0.7,53.701,20.71,,
T,36.535720000,-86.882876000,207.3,309.5,1.1,53.720,19.23,,
T,36.535804000,-86.882970000,207.4,318.0,0.7,53.733,12.56,,
T,36.535888000,-86.883041000,207.6,325.8,1.6,53.744,11.28,,
T,36.537109000,-86.883671000,207.8,337.5,0.2,53.891,146.77,,
T,36.538001000,-86.884188000,208.5,335.0,0.6,54.000,109.28,,
T,36.538717000,-86.884732000,210.6,328.6,2.2,54.093,93.20,,
T,36.540000000,-86.885970000,212.1,322.2,0.8,54.274,180.44,,
T,36.541259000,-86.886988000,211.1,327.0,-0.6,54.441,166.82,,
T,36.541559000,-86.887244000,211.2,325.6,0.1,54.481,40.42,,
T,36.542101000,-86.887712000,212.0,325.2,1.1,54.554,73.30,,
T,36.542639000,-86.888243000,214.6,321.6,3.4,54.631,76.32,,
T,36.543360000,-86.888999000,219.7,319.9,4.9,54.735,104.80,,
T,36.543372000,-86.889028000,219.8,297.3,3.2,54.738,2.92,,
T,36.544012000,-86.889555000,220.2,326.5,0.5,54.824,85.27,,
T,36.544551000,-86.889897000,220.0,333.0,-0.4,54.891,67.20,,
T,36.544811000,-86.890079000,219.7,330.6,-0.9,54.924,33.14,,
T,36.545377000,-86.890520000,218.4,328.0,-1.7,54.998,74.19,,
T,36.546442000,-86.891478000,217.7,324.1,-0.5,55.144,146.03,,
T,36.546493000,-86.891523000,217.6,324.7,-0.2,55.151,6.95,,
T,36.546770000,-86.891785000,217.4,322.8,-0.5,55.190,38.67,,
T,36.546922000,-86.891930000,217.4,322.5,-0.4,55.211,21.29,,
T,36.546983000,-86.891986000,217.3,323.6,-0.9,55.219,8.42,,
T,36.547225000,-86.892210000,217.0,323.4,-0.9,55.253,33.52,,
T,36.547764000,-86.892729000,215.8,322.3,-1.5,55.329,75.74,,
T,36.548696000,-86.893574000,214.3,323.9,-1.2,55.457,128.14,,
T,36.548899000,-86.893728000,214.4,328.6,0.2,55.483,26.41,,
T,36.549186000,-86.893902000,214.5,334.0,0.4,55.519,35.45,,
T,36.549235000,-86.893924000,214.5,340.2,0.6,55.524,5.78,,
T,36.549982000,-86.894270000,214.8,339.6,0.3,55.613,88.49,,
T,36.550338000,-86.894458000,214.7,337.0,-0.4,55.656,42.94,,
T,36.550474000,-86.894546000,214.3,332.5,-2.2,55.673,17.02,,
T,36.550692000,-86.894696000,213.5,331.1,-2.9,55.701,27.67,,
T,36.550797000,-86.894785000,212.9,325.7,-4.1,55.715,14.12,,
T,36.550926000,-86.894894000,212.1,325.8,-4.6,55.732,17.33,,
T,36.551096000,-86.895090000,211.1,317.2,-3.9,55.758,25.76,,
T,36.551137000,-86.895148000,210.9,311.3,-3.8,55.765,6.90,,
T,36.551284000,-86.895367000,209.9,309.9,-3.7,55.790,25.51,,
T,36.551399000,-86.895583000,209.2,303.5,-3.1,55.813,23.17,,
T,36.551457000,-86.895693000,209.0,303.3,-2.3,55.825,11.77,,
T,36.551893000,-86.896565000,206.3,301.9,-2.9,55.917,91.85,,
T,36.551942000,-86.896662000,206.3,302.2,0.8,55.927,10.25,,
T,36.552402000,-86.897582000,206.3,301.9,-0.0,56.024,96.90,,
T,36.552673000,-86.898073000,207.1,304.5,1.4,56.077,53.26,,
T,36.553009000,-86.898509000,207.2,313.8,0.2,56.131,53.98,,
T,36.553354000,-86.898862000,207.4,320.6,0.5,56.181,49.64,,
T,36.553738000,-86.899173000,207.4,327.0,-0.1,56.232,50.90,,
T,36.554659000,-86.899831000,206.7,330.1,-0.6,56.350,117.97,,
T,36.555073000,-86.900187000,203.7,325.4,-5.3,56.406,55.91,,
T,36.555266000,-86.900370000,202.4,322.7,-4.8,56.433,26.97,,
T,36.555438000,-86.900575000,200.5,316.2,-7.1,56.459,26.48,,
T,36.555685000,-86.900868000,198.9,316.4,-4.3,56.497,37.94,,
T,36.555794000,-86.901017000,198.6,312.3,-1.5,56.515,18.01,,
T,36.556117000,-86.901457000,197.8,312.4,-1.5,56.568,53.26,,
T,36.556237000,-86.901641000,197.1,309.1,-3.4,56.590,21.18,,
T,36.556634000,-86.902238000,196.3,309.6,-1.2,56.659,69.26,,
T,36.556672000,-86.902285000,196.3,315.2,-0.3,56.665,5.96,,
T,36.557139000,-86.902793000,197.1,318.9,1.2,56.734,68.95,,
T,36.557299000,-86.902929000,197.4,325.7,1.5,56.755,21.53,,
T,36.557621000,-86.903201000,197.2,325.8,-0.4,56.799,43.24,,
T,36.558311000,-86.903491000,197.8,341.3,0.7,56.879,80.85,,
T,36.559203000,-86.903713000,197.6,348.7,-0.2,56.980,100.96,,
T,36.559259000,-86.903727000,197.6,348.6,0.4,56.987,6.34,,
T,36.559741000,-86.903922000,198.1,342.0,0.9,57.043,56.26,,
T,36.560129000,-86.904143000,198.1,335.4,0.1,57.090,47.38,,
T,36.560528000,-86.904460000,198.8,327.5,1.2,57.143,52.59,,
T,36.560901000,-86.904800000,200.1,323.8,2.6,57.194,51.38,,
T,36.561502000,-86.905333000,201.4,324.5,1.7,57.276,82.00,,
T,36.561822000,-86.905562000,202.2,330.1,1.8,57.317,41.00,,
T,36.562060000,-86.905702000,202.9,334.7,2.3,57.347,29.23,,
T,36.562478000,-86.905886000,202.9,340.5,-0.0,57.396,49.22,,
T,36.563057000,-86.906149000,202.2,340.0,-1.0,57.464,68.43,,
T,36.563332000,-86.906299000,202.8,336.3,1.7,57.498,33.34,,
T,36.563872000,-86.906744000,202.4,326.5,-0.6,57.570,71.96,,
T,36.564288000,-86.907212000,202.2,317.9,-0.3,57.632,62.34,,
T,36.564660000,-86.907657000,201.8,316.1,-0.7,57.689,57.37,,
T,36.564890000,-86.907930000,202.8,316.4,2.8,57.725,35.34,,
T,36.565123000,-86.908193000,203.4,317.8,1.8,57.760,34.97,,
T,36.565616000,-86.908539000,203.6,330.6,0.4,57.822,62.87,,
T,36.566072000,-86.908807000,202.7,334.7,-1.6,57.878,56.00,,
T,36.566243000,-86.908900000,202.3,336.4,-1.9,57.899,20.72,,
T,36.566631000,-86.909113000,201.0,336.2,-2.7,57.946,47.09,,
T,36.568047000,-86.909882000,198.8,336.4,-1.3,58.118,171.55,,
T,36.568798000,-86.910291000,200.4,336.4,1.7,58.209,91.03,,
T,36.569108000,-86.910459000,200.5,336.5,0.2,58.246,37.54,,
T,36.569178000,-86.910496000,200.5,337.0,0.1,58.255,8.44,,
T,36.569540000,-86.910690000,201.0,336.7,1.2,58.299,43.76,,
T,36.569668000,-86.910758000,201.0,336.9,-0.2,58.314,15.45,,
T,36.570061000,-86.910968000,201.6,336.8,1.4,58.361,47.49,,
T,36.570446000,-86.911174000,202.3,336.7,1.4,58.408,46.53,,
T,36.570708000,-86.911314000,202.3,336.8,-0.1,58.440,31.66,,
T,36.571314000,-86.911644000,201.2,336.4,-1.4,58.513,73.45,,
T,36.572492000,-86.912172000,198.6,340.2,-1.9,58.652,139.00,,
T,36.573029000,-86.912391000,198.1,341.9,-0.9,58.715,62.73,,
T,36.573835000,-86.912636000,198.8,346.3,0.7,58.807,92.09,,
T,36.576241000,-86.913086000,207.8,351.5,3.4,59.077,270.01,,
T,36.577483000,-86.913298000,213.2,352.2,3.8,59.216,139.12,,
T,36.578605000,-86.913489000,217.6,352.2,3.5,59.342,125.68,,
T,36.579166000,-86.913535000,218.6,356.2,1.7,59.404,62.39,,
T,36.579676000,-86.913542000,217.7,359.4,-1.7,59.461,56.60,,
T,36.582426000,-86.913490000,220.4,0.9,0.9,59.766,305.20,,
T,36.583125000,-86.913528000,220.0,357.5,-0.5,59.844,77.64,,
T,36.583414000,-86.913561000,219.8,354.8,-0.7,59.876,32.21,,
T,36.584305000,-86.913671000,217.6,354.3,-2.2,59.975,99.36,,
T,36.584937000,-86.913769000,215.8,352.9,-2.5,60.046,70.68,,
T,36.585490000,-86.913912000,215.6,348.3,-0.4,60.109,62.69,,
T,36.586103000,-86.914142000,214.7,343.2,-1.2,60.180,71.07,,
T,36.586726000,-86.914422000,212.2,340.2,-3.4,60.253,73.54,,
T,36.588049000,-86.915031000,211.3,339.7,-0.6,60.410,156.60,,
T,36.588877000,-86.915395000,210.3,340.6,-1.0,60.507,97.49,,
T,36.588976000,-86.915438000,210.5,340.8,1.9,60.519,11.64,,
T,36.589332000,-86.915594000,211.4,340.6,2.1,60.561,41.90,,
T,36.589612000,-86.915666000,211.7,348.3,1.0,60.593,31.73,,
T,36.589997000,-86.915710000,211.3,354.8,-0.9,60.635,42.90,,
T,36.590460000,-86.915675000,211.1,3.5,-0.4,60.687,51.47,,
T,36.591288000,-86.915590000,209.8,4.7,-1.4,60.779,92.20,,
T,36.591994000,-86.915518000,206.0,4.7,-4.8,60.858,78.61,,
T,36.592415000,-86.915475000,206.0,4.7,-0.1,60.905,46.88,,
T,36.592650000,-86.915465000,206.5,2.0,2.0,60.931,26.09,,
T,36.592899000,-86.915478000,206.9,357.6,1.5,60.958,27.66,,
T,36.593291000,-86.915558000,206.0,350.7,-2.1,61.002,44.09,,
T,36.593704000,-86.915704000,204.9,344.2,-2.3,61.050,47.66,,
T,36.594026000,-86.915875000,204.7,336.9,-0.5,61.089,38.87,,
T,36.594648000,-86.916237000,205.3,335.0,0.8,61.165,76.25,,
T,36.595265000,-86.916620000,204.8,333.5,-0.6,61.242,76.57,,
T,36.595422000,-86.916716000,204.4,333.9,-2.0,61.261,19.42,,
T,36.596021000,-86.917034000,202.7,336.9,-2.4,61.333,72.31,,
T,36.596336000,-86.917187000,201.7,338.7,-2.8,61.371,37.54,,
T,36.596667000,-86.917333000,201.2,340.5,-1.3,61.410,38.99,,
T,36.596979000,-86.917452000,200.9,343.0,-0.9,61.446,36.22,,
T,36.597334000,-86.917585000,201.3,343.3,1.1,61.487,41.15,,
T,36.597687000,-86.917717000,202.3,343.3,2.5,61.528,40.91,,
T,36.597714000,-86.917727000,202.4,343.4,3.7,61.531,3.13,,
T,36.598102000,-86.917869000,203.8,343.6,3.0,61.576,44.89,,
T,36.598316000,-86.917947000,204.0,343.7,0.9,61.601,24.75,,
T,36.598652000,-86.918076000,203.2,342.9,-2.2,61.640,39.03,,
T,36.599104000,-86.918244000,201.2,343.4,-3.7,61.692,52.36,,
T,36.600598000,-86.918879000,196.9,341.2,-2.5,61.868,175.26,,
T,36.601305000,-86.919182000,198.7,341.0,2.2,61.951,83.01,,
T,36.601445000,-86.919269000,199.2,333.5,2.7,61.968,17.38,,
T,36.601622000,-86.919440000,199.2,322.2,0.0,61.993,24.90,,
T,36.601994000,-86.919966000,197.3,311.4,-3.0,62.056,62.60,,
T,36.602313000,-86.920418000,196.3,311.3,-1.9,62.109,53.75,,
T,36.602755000,-86.921069000,195.6,310.2,-0.9,62.185,76.15,,
T,36.603563000,-86.922224000,194.8,311.1,-0.6,62.322,136.82,,
T,36.603956000,-86.922785000,193.4,311.1,-2.1,62.389,66.49,,
T,36.604185000,-86.923118000,192.8,310.6,-1.4,62.428,39.16,,
T,36.604196000,-86.923134000,192.8,310.6,-0.7,62.430,1.88,,
T,36.604431000,-86.923466000,192.7,311.4,-0.4,62.469,39.53,,
T,36.605264000,-86.924656000,192.5,311.1,-0.1,62.610,141.00,,
T,36.606055000,-86.925786000,195.1,311.1,1.9,62.744,133.89,,
T,36.606714000,-86.926727000,195.4,311.1,0.3,62.856,111.52,,
T,36.607076000,-86.927249000,195.0,310.8,-0.7,62.917,61.60,,
T,36.608323000,-86.929044000,196.2,310.9,0.6,63.129,211.99,,
T,36.608976000,-86.929985000,197.9,310.8,1.5,63.240,111.08,,
T,36.610047000,-86.931570000,196.3,310.1,-0.9,63.425,185.02,,
T,36.611131000,-86.933185000,193.4,309.9,-1.5,63.613,188.00,,
T,36.611837000,-86.934238000,192.7,309.9,-0.6,63.736,122.52,,
T,36.612275000,-86.934892000,192.7,309.8,0.0,63.812,76.06,,
T,36.613565000,-86.936833000,189.3,309.6,-1.5,64.037,225.04,,
T,36.613853000,-86.937259000,189.6,310.1,0.7,64.087,49.74,,
T,36.614377000,-86.938005000,192.0,311.2,2.8,64.175,88.52,,
T,36.614464000,-86.938120000,192.0,313.3,-0.5,64.189,14.11,,
T,36.614812000,-86.938579000,192.4,313.4,0.7,64.246,56.37,,
T,36.615273000,-86.939177000,193.6,313.8,1.6,64.320,74.02,,
T,36.615497000,-86.939449000,193.2,315.7,-1.0,64.355,34.78,,
T,36.615751000,-86.939743000,191.9,317.1,-3.6,64.393,38.55,,
T,36.615995000,-86.940013000,191.3,318.4,-1.4,64.429,36.28,,
T,36.618343000,-86.942516000,188.4,319.4,-0.8,64.773,343.55,,
T,36.618705000,-86.942939000,187.9,316.8,-1.0,64.828,55.19,,
T,36.618910000,-86.943209000,187.6,313.4,-1.0,64.861,33.18,,
T,36.618910000,-86.943209000,187.6,313.4,,64.861,0.00,,
T,36.618957000,-86.943270000,187.6,313.8,1.0,64.869,7.55,,
T,36.619323000,-86.943802000,188.1,310.6,0.7,64.931,62.56,,
T,36.619729000,-86.944469000,189.3,307.2,1.6,65.006,74.77,,
T,36.620169000,-86.945154000,191.9,308.7,3.4,65.085,78.35,,
T,36.620814000,-86.946218000,189.3,307.1,-2.2,65.204,119.09,,
T,36.621025000,-86.946550000,189.8,308.4,1.4,65.242,37.82,,
T,36.621829000,-86.947896000,190.3,306.7,0.4,65.391,149.86,,
T,36.622091000,-86.948301000,190.7,308.9,0.8,65.438,46.45,,
T,36.622533000,-86.948861000,190.3,314.5,-0.6,65.508,70.11,,
T,36.623148000,-86.949538000,189.9,318.5,-0.4,65.599,91.24,,
T,36.624514000,-86.951062000,190.1,318.2,0.1,65.803,203.87,,
T,36.624835000,-86.951421000,188.8,318.1,-2.8,65.851,47.96,,
T,36.625107000,-86.951754000,188.0,315.5,-1.9,65.893,42.41,,
T,36.625499000,-86.952185000,187.1,318.6,-1.5,65.952,58.12,,
T,36.625921000,-86.952587000,185.6,322.6,-2.5,66.011,59.04,,
T,36.626708000,-86.953202000,183.5,327.9,-2.0,66.114,103.21,,
T,36.627060000,-86.953465000,182.7,329.1,-1.8,66.159,45.60,,
T,36.627191000,-86.953562000,182.2,329.3,-2.8,66.176,16.93,,
T,36.627255000,-86.953610000,182.0,329.0,-2.7,66.185,8.30,,
T,36.627675000,-86.953955000,180.9,326.6,-2.1,66.241,55.90,,
T,36.627940000,-86.954207000,180.7,322.7,-0.5,66.278,37.05,,
T,36.628052000,-86.954304000,180.6,325.2,-0.4,66.293,15.16,,
T,36.628440000,-86.954770000,180.8,316.1,0.4,66.353,59.93,,
T,36.628491000,-86.954831000,180.8,316.2,-0.6,66.361,7.86,,
T,36.628530000,-86.954903000,180.7,304.0,-0.7,66.368,7.76,,
T,36.628568000,-86.954974000,180.6,303.7,-1.1,66.376,7.62,,
T,36.628797000,-86.955333000,178.3,308.5,-5.8,66.417,40.95,,
T,36.629098000,-86.955889000,176.7,304.0,-2.6,66.477,59.91,,
T,36.629214000,-86.956141000,177.0,299.8,1.1,66.503,25.96,,
T,36.629564000,-86.956835000,174.4,302.1,-3.6,66.576,73.22,,
T,36.629657000,-86.957011000,172.4,303.4,-10.8,66.595,18.82,,
T,36.629984000,-86.957859000,168.1,295.7,-5.1,66.679,84.08,,
T,36.630009000,-86.957937000,167.7,291.8,-4.4,66.686,7.51,,
T,36.630133000,-86.958331000,165.7,291.4,-5.3,66.724,37.83,,
T,36.630505000,-86.959516000,161.4,291.4,-3.8,66.838,113.74,,
T,36.630530000,-86.959602000,161.3,289.9,-0.5,66.846,8.18,,
T,36.631521000,-86.962987000,166.1,290.0,1.5,67.168,322.11,,
T,36.631872000,-86.964185000,166.0,290.1,-0.1,67.282,114.01,,
T,36.632045000,-86.964745000,164.9,291.1,-2.0,67.336,53.64,,
T,36.632331000,-86.965652000,170.0,291.5,5.8,67.423,87.11,,
T,36.632718000,-86.966741000,167.2,293.9,-2.6,67.529,106.45,,
T,36.632761000,-86.966865000,167.2,293.4,-0.5,67.541,12.07,,
T,36.633300000,-86.968270000,171.3,295.6,2.9,67.681,139.17,,
T,36.634059000,-86.970162000,170.8,296.6,-0.2,67.870,189.02,,
T,36.634232000,-86.970601000,172.3,296.2,3.3,67.913,43.70,,
T,36.634659000,-86.971726000,173.3,295.3,0.9,68.025,111.21,,
T,36.634703000,-86.971837000,172.7,296.3,-5.6,68.036,11.06,,
T,36.637101000,-86.977778000,146.4,296.7,-4.4,68.630,594.24,,
T,36.637357000,-86.978376000,146.5,298.1,0.2,68.690,60.56,,
