type,latitude,longitude,altitude (m),course,slope (%),distance (km),distance_interval (m),name,desc
T,36.148629000,-86.779118000,147.7,357.7,-3.8,1.908,29.10,,
T,36.148809000,-86.779127000,147.1,357.7,-3.0,1.928,19.99,,
T,36.148833000,-86.779128000,147.0,358.1,-3.4,1.930,2.66,,
T,36.149001000,-86.779137000,146.4,357.5,-3.5,1.949,18.66,,
T,36.149013000,-86.779138000,146.3,356.2,-3.4,1.950,1.33,,
T,36.149589000,-86.779167000,145.4,357.7,-1.4,2.014,63.97,,
T,36.149702000,-86.779171000,145.4,358.4,-0.1,2.027,12.54,,
T,36.149808000,-86.779177000,145.4,357.4,-0.1,2.039,11.77,,
T,36.149919000,-86.779183000,145.3,357.5,-0.4,2.051,12.33,,
T,36.150171000,-86.779197000,145.1,357.4,-0.9,2.079,27.99,,
T,36.150404000,-86.779210000,144.6,357.4,-2.0,2.105,25.88,,
T,36.150593000,-86.779220000,144.2,357.6,-1.6,2.126,20.99,,
T,36.150741000,-86.779228000,144.0,357.5,-1.7,2.142,16.44,,
T,36.150827000,-86.779233000,143.8,357.3,-2.1,2.152,9.55,,
T,36.151036000,-86.779240000,143.2,358.5,-2.4,2.175,23.20,,
T,36.151149000,-86.779251000,142.8,355.5,-3.2,2.188,12.58,,
T,36.151246000,-86.779256000,142.5,357.6,-3.2,2.198,10.77,,
T,36.151284000,-86.779258000,142.3,357.6,-3.6,2.203,4.22,,
T,36.151797000,-86.779286000,141.6,357.5,-1.3,2.260,56.98,,
T,36.151805000,-86.779287000,141.6,354.2,1.3,2.261,0.89,,
T,36.152008000,-86.779293000,141.7,358.6,0.5,2.283,22.53,,
T,36.152239000,-86.779306000,140.3,357.4,-5.7,2.309,25.66,,
T,36.152739000,-86.779328000,137.7,358.0,-4.6,2.364,55.52,,
T,36.152814000,-86.779331000,137.7,358.2,-0.2,2.373,8.33,,
T,36.152979000,-86.779337000,137.7,358.3,0.2,2.391,18.32,,
T,36.153390000,-86.779366000,138.3,356.7,1.2,2.437,45.68,,
T,36.153434000,-86.779369000,138.3,356.8,1.4,2.441,4.89,,
T,36.154019000,-86.779398000,140.5,357.7,3.3,2.506,64.97,,
T,36.154128000,-86.779398000,140.9,0.0,3.0,2.519,12.09,,
