type,latitude,longitude,altitude (m),vmg (km/h),course,slope (%),distance (km),distance_interval (m),eos,name,desc
T,37.095756000,-88.643848000,106.4,,280.8,0.3,4.654,83.80,,,
T,37.096017000,-88.645535000,106.3,,281.0,-0.0,4.807,152.75,1,,
T,37.096017000,-88.645535000,106.3,,281.0,,4.807,0.00,,,
T,37.096053000,-88.645768000,106.3,,281.0,-0.1,4.828,21.10,,,
T,37.096146000,-88.646090000,106.2,,289.9,-0.1,4.858,30.43,,,
T,37.096358000,-88.646643000,105.6,,295.7,-1.3,4.913,54.50,,,
T,37.097629000,-88.649692000,106.5,,297.6,0.3,5.219,305.56,,,
T,37.097798000,-88.650045000,106.7,,301.0,0.5,5.255,36.56,,,
T,37.097944000,-88.650297000,106.8,,306.0,0.4,5.283,27.65,,,
T,37.098733000,-88.651364000,106.9,,312.8,0.1,5.412,129.09,,,
T,37.098990000,-88.651767000,106.9,,308.6,0.0,5.458,45.79,,,
T,37.099114000,-88.652036000,107.1,,300.0,0.4,5.485,27.59,,,
T,37.099185000,-88.652228000,107.3,,294.9,1.1,5.504,18.80,,,
T,37.099384000,-88.652819000,108.0,,292.9,1.4,5.561,56.99,,,
T,37.099478000,-88.653154000,108.6,,289.4,1.8,5.593,31.55,,,
T,37.099848000,-88.654287000,110.0,,292.3,1.3,5.701,108.77,,,
T,37.100214000,-88.655416000,111.0,,292.1,0.9,5.810,108.27,,,
T,37.100495000,-88.656279000,109.6,,292.2,-1.7,5.892,82.81,,,
T,37.101077000,-88.658082000,108.4,,292.0,-0.7,6.065,172.80,,,
T,37.101650000,-88.659874000,107.3,,291.8,-0.6,6.237,171.52,,,
T,37.101701000,-88.660096000,107.2,,286.1,-0.7,6.257,20.53,,,
T,37.101768000,-88.660689000,106.3,,278.1,-1.6,6.310,53.24,,,
T,37.101799000,-88.661087000,106.1,,275.6,-0.7,6.346,35.55,,,
T,37.101835000,-88.661594000,105.6,,275.1,-1.0,6.391,45.25,,,
T,37.101924000,-88.662790000,105.5,,275.3,-0.1,6.498,106.77,,,
T,37.101981000,-88.663594000,105.6,,275.1,0.2,6.570,71.75,,,
T,37.102088000,-88.665027000,104.1,,275.3,-1.2,6.698,127.94,,,
T,37.102225000,-88.666927000,106.5,,275.2,1.4,6.867,169.58,,,
T,37.102224000,-88.667307000,107.2,,269.8,2.2,6.901,33.78,,,
T,37.102180000,-88.667663000,107.5,,261.2,0.7,6.933,32.02,,,
T,37.102097000,-88.668017000,107.7,,253.6,0.6,6.966,32.79,,,
T,37.101629000,-88.669700000,107.9,,250.8,0.2,7.124,158.37,,,
T,37.101138000,-88.671494000,106.7,,251.1,-0.7,7.293,168.53,,,
T,37.100573000,-88.673521000,106.5,,250.7,-0.1,7.484,190.79,,,
T,37.100073000,-88.675330000,106.7,,250.9,0.1,7.654,170.11,,,
T,37.099533000,-88.677268000,107.9,,250.7,0.7,7.836,182.40,,,
T,37.099430000,-88.677632000,108.0,,250.5,0.5,7.870,34.32,,,
T,37.099342000,-88.678022000,108.3,,254.2,0.6,7.906,36.02,,,
T,37.099240000,-88.678577000,108.3,,257.0,0.0,7.957,50.62,,,
T,37.099115000,-88.679358000,108.1,,258.7,-0.2,8.028,70.80,,,
T,37.099032000,-88.679877000,108.4,,258.7,0.5,8.075,47.05,,,
T,37.098742000,-88.681807000,106.7,,259.3,-1.0,8.249,174.56,,,
T,37.098661000,-88.682336000,106.8,,259.1,0.2,8.297,47.88,,,
T,37.098577000,-88.682889000,106.7,,259.2,-0.1,8.347,50.04,,,
T,37.098347000,-88.684491000,106.7,,259.8,-0.0,8.492,144.68,,,
T,37.098340000,-88.684615000,106.6,,266.0,-0.3,8.503,11.05,,,
T,37.098265000,-88.685095000,106.9,,258.9,0.7,8.547,43.47,,,
T,37.098207000,-88.685433000,106.8,,257.9,-0.3,8.577,30.73,,,
T,37.098109000,-88.685893000,106.6,,255.0,-0.6,8.620,42.31,,,
T,37.098012000,-88.686291000,106.2,,253.0,-1.1,8.657,36.98,,,
T,37.097897000,-88.686724000,104.5,,251.6,-4.3,8.697,40.55,,,
T,37.097670000,-88.687589000,105.6,,251.8,1.4,8.778,80.92,,,
T,37.097349000,-88.688815000,107.1,,251.8,1.2,8.893,114.66,,,
T,37.097153000,-88.689561000,107.4,,251.8,0.5,8.963,69.79,,,
T,37.097066000,-88.689889000,107.6,,251.6,0.8,8.993,30.72,,,
T,37.096727000,-88.691138000,108.5,,251.2,0.8,9.110,117.23,,,
T,37.096539000,-88.691905000,109.1,,252.9,0.8,9.182,71.31,,,
T,37.096476000,-88.691886000,109.2,,166.5,1.1,9.189,7.19,,,
T,37.095882000,-88.691717000,109.8,,167.2,0.9,9.257,67.61,,,
T,37.095595000,-88.691614000,110.2,,164.0,1.3,9.290,33.14,,,
T,37.095513000,-88.691580000,110.4,,161.7,1.8,9.299,9.59,,,
T,37.095479000,-88.691563000,110.5,,158.3,1.8,9.303,4.06,,,
T,37.095264000,-88.691487000,110.7,,164.3,1.1,9.328,24.80,,,
T,37.094662000,-88.691275000,111.3,,164.3,0.8,9.398,69.42,,,
T,37.094237000,-88.691160000,111.7,,167.8,0.8,9.446,48.26,,,
T,37.093985000,-88.691103000,112.0,,169.8,1.2,9.474,28.42,,,
T,37.093682000,-88.691075000,112.3,,175.8,0.9,9.508,33.72,,,
T,37.093418000,-88.691084000,112.5,,181.6,0.4,9.537,29.31,,,
T,37.093114000,-88.691118000,112.8,,185.1,0.9,9.571,33.87,,,
T,37.092632000,-88.691229000,114.7,,190.4,3.5,9.626,54.39,,,
T,37.091877000,-88.691436000,113.4,,192.3,-1.5,9.711,85.79,,,
T,37.091467000,-88.691562000,114.3,,193.8,1.9,9.758,46.86,,,
T,37.089793000,-88.692073000,115.7,,193.7,0.7,9.950,191.25,,,
T,37.089023000,-88.692309000,115.5,,193.7,-0.2,10.037,87.99,,,
T,37.087953000,-88.692637000,116.1,,193.7,0.5,10.160,122.28,,,
T,37.087462000,-88.692810000,115.8,,195.7,-0.5,10.216,56.62,,,
T,37.086702000,-88.693098000,115.9,,196.8,0.1,10.305,88.15,,,
T,37.085269000,-88.693734000,118.0,,199.5,1.2,10.473,168.79,,,
T,37.085049000,-88.693836000,118.4,,200.3,1.6,10.499,26.05,,,
T,37.084737000,-88.693980000,118.7,,200.2,0.8,10.536,36.92,,,
T,37.084350000,-88.694159000,118.9,,200.3,0.5,10.582,45.80,,,
T,37.083904000,-88.694368000,119.6,,200.5,1.3,10.635,52.87,,,
T,37.083721000,-88.694454000,119.8,,200.6,0.7,10.657,21.70,,,
T,37.083337000,-88.694635000,119.8,,200.6,-0.0,10.702,45.55,,,
T,37.083023000,-88.694782000,119.5,,200.5,-0.6,10.739,37.22,,,
T,37.082896000,-88.694842000,119.5,,200.7,-0.2,10.755,15.07,,,
T,37.082708000,-88.694930000,119.5,,200.5,0.0,10.777,22.28,,,
T,37.082558000,-88.694995000,119.5,,199.1,0.0,10.794,17.62,,,
T,37.082461000,-88.695033000,119.5,,197.4,0.0,10.806,11.28,,,
T,37.082339000,-88.695071000,119.5,,194.0,0.0,10.820,13.95,,,
T,37.082232000,-88.695099000,119.5,,191.8,0.0,10.832,12.13,,,
T,37.082094000,-88.695126000,119.5,,188.9,0.0,10.847,15.50,,,
T,37.081948000,-88.695137000,119.4,,183.4,-0.9,10.864,16.23,,,
T,37.081755000,-88.695138000,119.2,,180.2,-0.6,10.885,21.42,,,
T,37.081606000,-88.695122000,119.3,,175.1,0.6,10.902,16.60,,,
T,37.081457000,-88.695095000,119.4,,171.8,0.3,10.918,16.71,,,
T,37.081312000,-88.695058000,119.4,,168.5,0.0,10.935,16.42,,,
T,37.081178000,-88.695006000,119.4,,162.8,-0.3,10.950,15.57,,,
T,37.081052000,-88.694944000,119.3,,158.6,-0.4,10.965,15.03,,,
T,37.080706000,-88.694703000,119.0,,150.9,-0.6,11.009,43.97,,,
T,37.080441000,-88.694504000,118.5,,149.1,-1.5,11.044,34.32,,,
T,37.080177000,-88.694280000,117.9,,145.9,-1.7,11.079,35.43,,,
T,37.079921000,-88.694068000,117.0,,146.5,-2.7,11.113,34.10,,,
T,37.078543000,-88.692894000,113.8,,145.8,-1.7,11.298,185.16,,,
T,37.078387000,-88.692767000,113.4,,147.0,-1.5,11.319,20.67,,,
T,37.078081000,-88.692509000,112.9,,146.1,-1.3,11.360,40.98,,,
T,37.078067000,-88.692496000,112.9,,143.5,-0.8,11.362,1.94,,,
T,37.077971000,-88.692416000,112.8,,146.4,-0.5,11.375,12.81,,,
T,37.077658000,-88.692144000,113.3,,145.3,1.2,11.417,42.33,,,
T,37.077517000,-88.692021000,113.6,,145.2,1.7,11.436,19.09,,,
T,37.077358000,-88.691883000,114.1,,145.3,2.3,11.458,21.49,,,
T,37.077114000,-88.691670000,115.0,,145.1,2.6,11.491,33.05,,,
T,37.076952000,-88.691390000,115.5,,125.9,1.8,11.521,30.71,,,
T,37.076839000,-88.691232000,115.9,,131.9,1.9,11.540,18.83,,,
T,37.076736000,-88.691068000,116.1,,128.2,1.3,11.559,18.53,,,
T,37.076667000,-88.690952000,116.3,,126.7,1.3,11.572,12.85,,,
T,37.076523000,-88.690783000,116.4,,136.9,0.7,11.593,21.94,,,
T,37.076476000,-88.690749000,116.5,,150.0,0.8,11.599,6.03,,,
T,37.076373000,-88.690662000,116.6,,146.0,0.8,11.613,13.80,,,
T,37.076237000,-88.690579000,116.7,,154.0,0.9,11.630,16.80,1,,
T,37.076237000,-88.690579000,116.7,,154.0,,11.630,0.00,,,
T,37.076159000,-88.690528000,116.8,,152.5,1.0,11.640,9.77,,,
T,37.076053000,-88.690468000,116.9,,155.7,0.9,11.653,12.92,,,
T,37.075676000,-88.690273000,117.3,,157.6,0.9,11.698,45.29,,,
T,37.075377000,-88.691234000,117.1,,248.7,-0.3,11.790,91.67,,,
T,37.075284000,-88.691319000,117.0,,216.1,-0.1,11.803,12.79,,,
T,37.074974000,-88.692339000,116.1,,249.1,-0.9,11.900,97.01,,,
T,37.074881000,-88.692643000,116.9,,249.0,2.6,11.928,28.94,,,
T,37.074779000,-88.692979000,117.9,,249.2,3.1,11.960,31.95,,,
T,37.074684000,-88.693312000,118.3,,250.3,1.3,11.992,31.43,,,
T,37.074576000,-88.693649000,118.5,,248.1,0.7,12.024,32.28,,,
T,37.074496000,-88.693912000,118.8,,249.1,1.0,12.049,25.02,,,
