type,latitude,longitude,altitude (m),vmg (km/h),course,slope (%),distance (km),distance_interval (m),eos,name,desc
T,41.821502000,-103.669663000,1202.6,,89.1,-1.5,3.513,36.48,,,
T,41.821503000,-103.669565000,1202.5,,89.2,-1.6,3.521,8.14,,,
T,41.821509000,-103.668992000,1201.9,,89.2,-1.3,3.569,47.61,,,
T,41.821517000,-103.668185000,1201.0,,89.2,-1.3,3.636,67.05,,,
T,41.821524000,-103.667496000,1200.3,,89.2,-1.1,3.693,57.25,,,
T,41.821531000,-103.666783000,1199.5,,89.2,-1.4,3.752,59.24,,,
T,41.821539000,-103.665957000,1198.6,,89.3,-1.3,3.821,68.63,,,
T,41.821542000,-103.665735000,1198.4,,89.0,-1.3,3.840,18.45,,,
T,41.821546000,-103.665407000,1197.9,,89.1,-1.7,3.867,27.25,,,
T,41.821546000,-103.665215000,1197.8,,90.0,-0.9,3.883,15.95,,,
T,41.821552000,-103.664524000,1197.0,,89.3,-1.2,3.940,57.41,,,
T,41.821554000,-103.664256000,1196.8,,89.4,-1.3,3.962,22.27,,,
T,41.821558000,-103.663800000,1196.3,,89.3,-1.3,4.000,37.89,,,
T,41.821564000,-103.663117000,1195.5,,89.3,-1.4,4.057,56.75,,,
T,41.821564000,-103.663014000,1195.4,,90.0,-0.8,4.066,8.56,,,
T,41.821570000,-103.662361000,1194.6,,89.3,-1.4,4.120,54.26,,,
T,41.821576000,-103.661719000,1194.1,,89.3,-0.9,4.173,53.34,,,
T,41.821579000,-103.661033000,1193.6,,89.7,-1.0,4.230,57.00,,,
T,41.821586000,-103.660458000,1193.0,,89.1,-1.3,4.278,47.78,,,
T,41.821588000,-103.660297000,1192.8,,89.0,-1.2,4.291,13.38,,,
T,41.821589000,-103.660144000,1192.6,,89.5,-1.3,4.304,12.71,,,
T,41.821598000,-103.658862000,1191.7,,89.5,-0.9,4.411,106.52,,,
T,41.821613000,-103.657464000,1190.6,,89.2,-1.0,4.527,116.16,,,
T,41.821637000,-103.655406000,1189.0,,89.1,-0.9,4.698,171.00,,,
T,41.821639000,-103.655214000,1188.9,,89.2,-0.5,4.714,15.95,,,
T,41.821643000,-103.654755000,1188.6,,89.3,-0.7,4.752,38.14,,,
T,41.821644000,-103.654642000,1188.6,,89.3,-0.6,4.761,9.39,,,
T,41.821651000,-103.654052000,1188.1,,89.1,-0.9,4.810,49.02,,,
T,41.821652000,-103.653941000,1188.1,,89.3,-0.6,4.819,9.22,,,
T,41.821656000,-103.653602000,1187.9,,89.1,-0.4,4.848,28.17,,,
T,41.821666000,-103.653239000,1187.8,,87.9,-0.4,4.878,30.18,,,
T,41.821670000,-103.652576000,1187.6,,89.5,-0.5,4.933,55.08,,,
T,41.821680000,-103.651968000,1187.2,,88.7,-0.7,4.983,50.53,,,
T,41.821691000,-103.651109000,1186.9,,89.0,-0.5,5.055,71.38,,,
T,41.821696000,-103.650595000,1186.6,,89.3,-0.6,5.098,42.71,,,
T,41.821705000,-103.649836000,1186.4,,89.1,-0.3,5.161,63.07,,,
T,41.821723000,-103.648277000,1186.1,,89.1,-0.3,5.290,129.54,,,
T,41.821751000,-103.645899000,1186.7,,89.1,0.3,5.488,197.59,,,
T,41.821749000,-103.645783000,1186.7,,91.3,-0.8,5.497,9.64,,,
T,41.821736000,-103.645165000,1186.4,,91.6,-0.6,5.549,51.36,,,
T,41.821737000,-103.645082000,1186.3,,89.1,-0.7,5.556,6.90,,,
T,41.821766000,-103.643344000,1184.6,,88.7,-1.2,5.700,144.43,,,
T,41.821789000,-103.642104000,1184.0,,88.6,-0.6,5.803,103.05,,,
T,41.821807000,-103.640925000,1183.4,,88.8,-0.5,5.901,97.97,,,
T,41.821807000,-103.640895000,1183.4,,90.0,-1.3,5.904,2.49,,,
T,41.821816000,-103.640140000,1183.2,,89.1,-0.4,5.966,62.73,,,
T,41.821827000,-103.639150000,1183.3,,89.1,0.1,6.049,82.26,,,
T,41.821835000,-103.638460000,1183.3,,89.1,0.1,6.106,57.33,,,
T,41.821843000,-103.637355000,1184.2,,89.4,0.9,6.198,91.81,,,
T,41.821855000,-103.636211000,1185.5,,89.2,1.3,6.293,95.05,,,
T,41.821857000,-103.635585000,1185.4,,89.8,-0.1,6.345,52.01,,,
T,41.821857000,-103.635412000,1185.4,,90.0,-0.1,6.359,14.37,,,
T,41.821823000,-103.635048000,1185.3,,97.1,-0.4,6.390,30.48,,,
T,41.821781000,-103.634715000,1184.9,,99.6,-1.3,6.418,28.06,,,
