type,latitude,longitude,course,distance (km),distance_interval (m),name,desc
T,36.446426000,-86.898410000,357.4,42.761,55.43,,
T,36.447308000,-86.898459000,357.4,42.859,97.97,,
T,36.448179000,-86.898521000,356.7,42.956,96.81,,
T,36.449593000,-86.898622000,356.7,43.113,157.17,,
T,36.450760000,-86.898673000,358.0,43.243,129.58,,
T,36.451651000,-86.898716000,357.8,43.342,98.95,,
T,36.452962000,-86.898742000,359.1,43.487,145.50,,
T,36.454274000,-86.898613000,4.5,43.633,146.05,,
T,36.455607000,-86.898253000,12.3,43.785,151.40,,
T,36.456987000,-86.897678000,18.5,43.946,161.58,,
T,36.458292000,-86.897051000,21.1,44.101,155.34,,
T,36.459139000,-86.896610000,22.7,44.203,101.96,,
T,36.460936000,-86.895738000,21.3,44.418,214.18,,
T,36.462046000,-86.895190000,21.7,44.550,132.61,,
T,36.462241000,-86.895094000,21.6,44.574,23.29,,
T,36.462351000,-86.895042000,20.8,44.587,13.07,,
T,36.462875000,-86.894795000,20.8,44.649,62.22,,
T,36.463468000,-86.894515000,20.8,44.719,70.43,,
T,36.463531000,-86.894485000,21.0,44.727,7.49,,
T,36.463764000,-86.894375000,20.8,44.754,27.67,,
T,36.463877000,-86.894322000,20.7,44.768,13.41,,
T,36.463993000,-86.894267000,20.9,44.782,13.78,,
T,36.464643000,-86.893961000,20.7,44.859,77.17,,
T,36.465374000,-86.893687000,16.8,44.944,84.75,,
T,36.466051000,-86.893515000,11.5,45.020,76.69,,
T,36.466787000,-86.893417000,6.1,45.102,82.14,,
T,36.467880000,-86.893266000,6.3,45.224,122.04,,
T,36.468253000,-86.893232000,4.2,45.266,41.50,,
T,36.468964000,-86.893146000,5.6,45.345,79.27,,
T,36.469616000,-86.893067000,5.6,45.418,72.70,,
T,36.469675000,-86.893060000,5.5,45.424,6.58,,
T,36.470273000,-86.892993000,5.1,45.491,66.63,,
T,36.470669000,-86.892949000,5.1,45.535,44.12,,
T,36.470756000,-86.892933000,8.4,45.545,9.76,,
T,36.471448000,-86.892811000,8.1,45.623,77.56,,
T,36.471849000,-86.892691000,13.5,45.668,45.78,,
T,36.473664000,-86.891966000,17.8,45.880,211.63,,
T,36.474639000,-86.891525000,20.0,45.995,115.19,,
T,36.475847000,-86.890977000,20.0,46.138,142.76,,
T,36.476246000,-86.890797000,19.9,46.185,47.12,,
T,36.476762000,-86.890563000,20.0,46.246,60.98,,
T,36.476839000,-86.890528000,20.1,46.255,9.10,,
T,36.477048000,-86.890433000,20.1,46.280,24.71,,
T,36.477992000,-86.890006000,20.0,46.391,111.52,,
T,36.478381000,-86.889786000,24.5,46.439,47.46,,
T,36.478631000,-86.889652000,23.3,46.469,30.23,,
T,36.479093000,-86.889384000,25.0,46.526,56.61,,
T,36.479564000,-86.889047000,29.9,46.586,60.36,,
T,36.480520000,-86.888364000,29.9,46.708,122.48,,
T,36.481520000,-86.887635000,30.4,46.837,128.77,,
T,36.482554000,-86.886788000,33.4,46.975,137.57,,
T,36.482893000,-86.886531000,31.4,47.019,44.11,,
T,36.484623000,-86.885127000,33.1,47.248,229.53,,
T,36.485213000,-86.884665000,32.2,47.326,77.46,,
T,36.485509000,-86.884433000,32.2,47.365,38.87,,
T,36.485509000,-86.884433000,32.2,47.365,0.00,,
T,36.485738000,-86.884254000,32.1,47.395,30.05,,
T,36.486233000,-86.883871000,31.9,47.460,64.77,,
T,36.486953000,-86.883301000,32.5,47.554,94.83,,
T,36.487302000,-86.883012000,33.7,47.601,46.59,,
T,36.487548000,-86.882805000,34.1,47.634,33.00,,
T,36.487940000,-86.882415000,38.7,47.690,55.80,,
T,36.488143000,-86.882194000,41.2,47.720,29.99,,
T,36.488358000,-86.881935000,44.1,47.753,33.28,,
T,36.488754000,-86.881423000,46.1,47.817,63.53,,
T,36.488777000,-86.881390000,49.1,47.821,3.91,,
T,36.488934000,-86.881167000,48.8,47.847,26.51,,
T,36.489111000,-86.880883000,52.2,47.879,32.15,,
T,36.489544000,-86.880183000,52.4,47.958,79.01,,
T,36.489957000,-86.879394000,56.9,48.042,84.25,,
T,36.489985000,-86.879341000,56.7,48.048,5.68,,
T,36.490397000,-86.878554000,56.9,48.132,84.04,,
T,36.490622000,-86.878223000,49.8,48.171,38.77,,
T,36.490963000,-86.877722000,49.7,48.230,58.71,,
T,36.491380000,-86.877204000,45.0,48.295,65.54,,
T,36.491415000,-86.877161000,44.6,48.301,5.47,,
T,36.491578000,-86.876958000,45.0,48.326,25.65,,
T,36.491632000,-86.876892000,44.5,48.335,8.42,,
T,36.491784000,-86.876694000,46.3,48.359,24.48,,
T,36.492564000,-86.876025000,34.6,48.464,105.28,,
T,36.493071000,-86.875676000,29.0,48.529,64.37,,
T,36.493287000,-86.876165000,298.8,48.579,49.94,,
T,36.493435000,-86.876454000,302.5,48.609,30.66,,
T,36.493629000,-86.876833000,302.5,48.650,40.21,,
T,36.493894000,-86.877352000,302.4,48.705,55.02,,
T,36.493918000,-86.877399000,302.4,48.710,4.98,,
T,36.494080000,-86.877711000,302.9,48.743,33.24,,
T,36.494207000,-86.877956000,302.8,48.769,26.09,,
T,36.494278000,-86.878091000,303.2,48.783,14.44,,
T,36.494303000,-86.878141000,301.9,48.789,5.27,,
T,36.494451000,-86.878427000,302.8,48.819,30.44,,
T,36.494524000,-86.878567000,303.0,48.834,14.93,,
T,36.494826000,-86.879150000,302.8,48.896,62.06,,
T,36.494964000,-86.879396000,304.9,48.923,26.84,,
T,36.495227000,-86.879816000,307.9,48.971,47.62,,
T,36.495287000,-86.879899000,312.0,48.981,9.98,,
T,36.495505000,-86.880218000,310.4,49.018,37.44,,
T,36.495642000,-86.880361000,320.0,49.038,19.88,,
T,36.495895000,-86.880639000,318.5,49.075,37.53,,
T,36.496066000,-86.880815000,320.4,49.100,24.67,,
T,36.496081000,-86.880827000,327.3,49.102,1.98,,
T,36.496363000,-86.881051000,327.4,49.139,37.18,,
T,36.496568000,-86.881199000,329.9,49.166,26.33,,
T,36.496800000,-86.881367000,329.8,49.195,29.82,,
T,36.497233000,-86.881632000,333.8,49.249,53.60,,
T,36.497264000,-86.881651000,333.8,49.253,3.84,,
T,36.497367000,-86.881702000,338.3,49.265,12.31,,
T,36.497484000,-86.881754000,340.3,49.279,13.79,,
T,36.497882000,-86.881910000,342.5,49.325,46.32,,
T,36.498596000,-86.882097000,348.1,49.406,80.98,,
T,36.499267000,-86.882163000,355.5,49.481,74.69,,
T,36.499843000,-86.882125000,3.0,49.545,64.01,,
T,36.500029000,-86.882113000,3.0,49.566,20.67,,
T,36.500187000,-86.882080000,9.5,49.583,17.78,,
T,36.500310000,-86.882054000,9.6,49.597,13.85,,
T,36.500480000,-86.882019000,9.4,49.616,19.12,,
T,36.501078000,-86.881868000,11.5,49.684,67.72,,
T,36.501409000,-86.881785000,11.4,49.722,37.48,,
T,36.501989000,-86.881657000,10.1,49.787,65.38,,
T,36.502081000,-86.881636000,10.4,49.797,10.38,,
T,36.502288000,-86.881590000,10.1,49.821,23.34,,
T,36.502338000,-86.881579000,10.0,49.826,5.64,,
T,36.502516000,-86.881540000,10.0,49.846,20.06,,
T,36.502521000,-86.881539000,9.1,49.847,0.56,,
T,36.502738000,-86.881485000,11.3,49.871,24.56,,
T,36.502839000,-86.881462000,10.4,49.883,11.40,,
T,36.502968000,-86.881434000,9.9,49.897,14.53,,
T,36.503266000,-86.881380000,8.3,49.931,33.42,,
T,36.503591000,-86.881334000,6.5,49.967,36.30,,
T,36.503656000,-86.881330000,2.8,49.974,7.22,,
T,36.503817000,-86.881318000,3.4,49.992,17.90,,
T,36.504029000,-86.881301000,3.7,50.016,23.57,,
T,36.504183000,-86.881295000,1.8,50.033,17.10,,
T,36.505135000,-86.881355000,357.1,50.139,105.78,,
T,36.505170000,-86.881361000,352.2,50.143,3.92,,
T,36.505510000,-86.881425000,351.4,50.181,38.16,,
T,36.505545000,-86.881432000,350.9,50.185,3.93,,
T,36.506519000,-86.881617000,351.3,50.294,109.35,,
T,36.506599000,-86.881631000,352.0,50.303,8.97,,
T,36.507114000,-86.881723000,351.8,50.361,57.74,,
T,36.507451000,-86.881783000,351.9,50.399,37.78,,
T,36.508129000,-86.881904000,351.8,50.475,76.01,,
T,36.508250000,-86.881925000,352.1,50.488,13.56,,
T,36.508568000,-86.881952000,356.1,50.523,35.37,,
T,36.508919000,-86.881983000,355.9,50.563,39.05,,
T,36.509026000,-86.881992000,356.1,50.574,11.90,,
T,36.509132000,-86.881996000,358.3,50.586,11.77,,
T,36.509353000,-86.882005000,358.1,50.611,24.54,,
T,36.510485000,-86.881954000,2.1,50.736,125.70,,
T,36.513577000,-86.881902000,0.8,51.080,343.15,,
T,36.514513000,-86.881915000,359.4,51.183,103.87,,
T,36.515505000,-86.881951000,358.3,51.294,110.13,,
T,36.516437000,-86.882093000,353.0,51.398,104.20,,
T,36.517902000,-86.882570000,345.3,51.566,168.09,,
T,36.518104000,-86.882634000,345.7,51.589,23.14,,
T,36.518928000,-86.882895000,345.7,51.683,94.38,,
T,36.519752000,-86.883156000,345.7,51.778,94.38,,
T,36.519826000,-86.883179000,346.0,51.786,8.47,,
T,36.520324000,-86.883337000,345.7,51.843,57.05,,
T,36.520568000,-86.883414000,345.8,51.871,27.94,,
T,36.520776000,-86.883480000,345.7,51.895,23.83,,
T,36.521196000,-86.883613000,345.7,51.943,48.11,,
T,36.521242000,-86.883627000,346.3,51.948,5.26,,
T,36.521459000,-86.883696000,345.7,51.973,24.86,,
T,36.521491000,-86.883700000,354.3,51.977,3.57,,
T,36.521929000,-86.883760000,353.7,52.026,48.90,,
T,36.522032000,-86.883774000,353.8,52.037,11.50,,
T,36.522118000,-86.883785000,354.1,52.047,9.59,,
T,36.522380000,-86.883825000,353.0,52.076,29.29,,
T,36.523027000,-86.883854000,357.9,52.148,71.84,,
T,36.524094000,-86.883911000,357.5,52.266,118.51,,
T,36.524516000,-86.883925000,358.5,52.313,46.85,,
T,36.524804000,-86.883938000,357.9,52.345,31.98,,
T,36.526469000,-86.884003000,358.2,52.530,184.85,,
T,36.526792000,-86.884015000,358.3,52.566,35.86,,
T,36.526989000,-86.884026000,357.4,52.588,21.88,,
T,36.527450000,-86.884051000,357.5,52.639,51.21,,
T,36.527547000,-86.884056000,357.6,52.650,10.77,,
T,36.527969000,-86.884079000,357.5,52.697,46.87,,
T,36.528677000,-86.884046000,2.1,52.775,78.62,,
T,36.528731000,-86.884036000,8.5,52.781,6.06,,
T,36.529392000,-86.883918000,8.2,52.856,74.11,,
T,36.529511000,-86.883887000,11.8,52.869,13.49,,
T,36.529842000,-86.883802000,11.7,52.907,37.51,,
T,36.530113000,-86.883706000,15.9,52.938,31.28,,
T,36.530243000,-86.883660000,15.9,52.953,15.00,,
T,36.530566000,-86.883545000,16.0,52.990,37.29,,
T,36.530767000,-86.883454000,20.0,53.014,23.75,,
T,36.531453000,-86.883119000,21.4,53.096,81.82,,
T,36.532111000,-86.882798000,21.4,53.174,78.47,,
T,36.532965000,-86.882381000,21.4,53.276,101.86,,
T,36.533357000,-86.882189000,21.5,53.323,46.77,,
T,36.533869000,-86.881959000,19.8,53.383,60.43,,
T,36.535355000,-86.881202000,22.3,53.562,178.29,,
T,36.535448000,-86.882139000,277.0,53.646,84.54,,
T,36.535480000,-86.882345000,280.9,53.665,18.79,,
T,36.535515000,-86.882511000,284.7,53.680,15.36,,
T,36.535610000,-86.882710000,300.7,53.701,20.71,,
T,36.535720000,-86.882876000,309.5,53.720,19.23,,
T,36.535804000,-86.882970000,318.0,53.733,12.56,,
T,36.535888000,-86.883041000,325.8,53.744,11.28,,
T,36.537109000,-86.883671000,337.5,53.891,146.77,,
T,36.538001000,-86.884188000,335.0,54.000,109.28,,
T,36.538717000,-86.884732000,328.6,54.093,93.20,,
T,36.540000000,-86.885970000,322.2,54.274,180.44,,
T,36.541259000,-86.886988000,327.0,54.441,166.82,,
T,36.541559000,-86.887244000,325.6,54.481,40.42,,
T,36.542101000,-86.887712000,325.2,54.554,73.30,,
T,36.542639000,-86.888243000,321.6,54.631,76.32,,
T,36.543360000,-86.888999000,319.9,54.735,104.80,,
T,36.543372000,-86.889028000,297.3,54.738,2.92,,
T,36.544012000,-86.889555000,326.5,54.824,85.27,,
T,36.544551000,-86.889897000,333.0,54.891,67.20,,
T,36.544811000,-86.890079000,330.6,54.924,33.14,,
T,36.545377000,-86.890520000,328.0,54.998,74.19,,
T,36.546442000,-86.891478000,324.1,55.144,146.03,,
T,36.546493000,-86.891523000,324.7,55.151,6.95,,
T,36.546770000,-86.891785000,322.8,55.190,38.67,,
T,36.546922000,-86.891930000,322.5,55.211,21.29,,
T,36.546983000,-86.891986000,323.6,55.219,8.42,,
T,36.547225000,-86.892210000,323.4,55.253,33.52,,
T,36.547764000,-86.892729000,322.3,55.329,75.74,,
T,36.548696000,-86.893574000,323.9,55.457,128.14,,
T,36.548899000,-86.893728000,328.6,55.483,26.41,,
T,36.549186000,-86.893902000,334.0,55.519,35.45,,
T,36.549235000,-86.893924000,340.2,55.524,5.78,,
T,36.549982000,-86.894270000,339.6,55.613,88.49,,
T,36.550338000,-86.894458000,337.0,55.656,42.94,,
T,36.550474000,-86.894546000,332.5,55.673,17.02,,
T,36.550692000,-86.894696000,331.1,55.701,27.67,,
T,36.550797000,-86.894785000,325.7,55.715,14.12,,
T,36.550926000,-86.894894000,325.8,55.732,17.33,,
T,36.551096000,-86.895090000,317.2,55.758,25.76,,
T,36.551137000,-86.895148000,311.3,55.765,6.90,,
T,36.551284000,-86.895367000,309.9,55.790,25.51,,
T,36.551399000,-86.895583000,303.5,55.813,23.17,,
T,36.551457000,-86.895693000,303.3,55.825,11.77,,
T,36.551893000,-86.896565000,301.9,55.917,91.85,,
T,36.551942000,-86.896662000,302.2,55.927,10.25,,
T,36.552402000,-86.897582000,301.9,56.024,96.90,,
T,36.552673000,-86.898073000,304.5,56.077,53.26,,
T,36.553009000,-86.898509000,313.8,56.131,53.98,,
T,36.553354000,-86.898862000,320.6,56.181,49.64,,
T,36.553738000,-86.899173000,327.0,56.232,50.90,,
T,36.554659000,-86.899831000,330.1,56.350,117.97,,
T,36.555073000,-86.900187000,325.4,56.406,55.91,,
T,36.555266000,-86.900370000,322.7,56.433,26.97,,
T,36.555438000,-86.900575000,316.2,56.459,26.48,,
T,36.555685000,-86.900868000,316.4,56.497,37.94,,
T,36.555794000,-86.901017000,312.3,56.515,18.01,,
T,36.556117000,-86.901457000,312.4,56.568,53.26,,
T,36.556237000,-86.901641000,309.1,56.590,21.18,,
T,36.556634000,-86.902238000,309.6,56.659,69.26,,
T,36.556672000,-86.902285000,315.2,56.665,5.96,,
T,36.557139000,-86.902793000,318.9,56.734,68.95,,
T,36.557299000,-86.902929000,325.7,56.755,21.53,,
T,36.557621000,-86.903201000,325.8,56.799,43.24,,
T,36.558311000,-86.903491000,341.3,56.879,80.85,,
T,36.559203000,-86.903713000,348.7,56.980,100.96,,
T,36.559259000,-86.903727000,348.6,56.987,6.34,,
T,36.559741000,-86.903922000,342.0,57.043,56.26,,
T,36.560129000,-86.904143000,335.4,57.090,47.38,,
T,36.560528000,-86.904460000,327.5,57.143,52.59,,
T,36.560901000,-86.904800000,323.8,57.194,51.38,,
T,36.561502000,-86.905333000,324.5,57.276,82.00,,
T,36.561822000,-86.905562000,330.1,57.317,41.00,,
T,36.562060000,-86.905702000,334.7,57.347,29.23,,
T,36.562478000,-86.905886000,340.5,57.396,49.22,,
T,36.563057000,-86.906149000,340.0,57.464,68.43,,
T,36.563332000,-86.906299000,336.3,57.498,33.34,,
T,36.563872000,-86.906744000,326.5,57.570,71.96,,
T,36.564288000,-86.907212000,317.9,57.632,62.34,,
T,36.564660000,-86.907657000,316.1,57.689,57.37,,
T,36.564890000,-86.907930000,316.4,57.725,35.34,,
T,36.565123000,-86.908193000,317.8,57.760,34.97,,
T,36.565616000,-86.908539000,330.6,57.822,62.87,,
T,36.566072000,-86.908807000,334.7,57.878,56.00,,
T,36.566243000,-86.908900000,336.4,57.899,20.72,,
T,36.566631000,-86.909113000,336.2,57.946,47.09,,
T,36.568047000,-86.909882000,336.4,58.118,171.55,,
T,36.568798000,-86.910291000,336.4,58.209,91.03,,
T,36.569108000,-86.910459000,336.5,58.246,37.54,,
T,36.569178000,-86.910496000,337.0,58.255,8.44,,
T,36.569540000,-86.910690000,336.7,58.299,43.76,,
T,36.569668000,-86.910758000,336.9,58.314,15.45,,
T,36.570061000,-86.910968000,336.8,58.361,47.49,,
T,36.570446000,-86.911174000,336.7,58.408,46.53,,
T,36.570708000,-86.911314000,336.8,58.440,31.66,,
T,36.571314000,-86.911644000,336.4,58.513,73.45,,
T,36.572492000,-86.912172000,340.2,58.652,139.00,,
T,36.573029000,-86.912391000,341.9,58.715,62.73,,
T,36.573835000,-86.912636000,346.3,58.807,92.09,,
T,36.576241000,-86.913086000,351.5,59.077,270.01,,
T,36.577483000,-86.913298000,352.2,59.216,139.12,,
T,36.578605000,-86.913489000,352.2,59.342,125.68,,
T,36.579166000,-86.913535000,356.2,59.404,62.39,,
T,36.579676000,-86.913542000,359.4,59.461,56.60,,
T,36.582426000,-86.913490000,0.9,59.766,305.20,,
T,36.583125000,-86.913528000,357.5,59.844,77.64,,
T,36.583414000,-86.913561000,354.8,59.876,32.21,,
T,36.584305000,-86.913671000,354.3,59.975,99.36,,
T,36.584937000,-86.913769000,352.9,60.046,70.68,,
T,36.585490000,-86.913912000,348.3,60.109,62.69,,
T,36.586103000,-86.914142000,343.2,60.180,71.07,,
T,36.586726000,-86.914422000,340.2,60.253,73.54,,
T,36.588049000,-86.915031000,339.7,60.410,156.60,,
T,36.588877000,-86.915395000,340.6,60.507,97.49,,
T,36.588976000,-86.915438000,340.8,60.519,11.64,,
T,36.589332000,-86.915594000,340.6,60.561,41.90,,
T,36.589612000,-86.915666000,348.3,60.593,31.73,,
T,36.589997000,-86.915710000,354.8,60.635,42.90,,
T,36.590460000,-86.915675000,3.5,60.687,51.47,,
T,36.591288000,-86.915590000,4.7,60.779,92.20,,
T,36.591994000,-86.915518000,4.7,60.858,78.61,,
T,36.592415000,-86.915475000,4.7,60.905,46.88,,
T,36.592650000,-86.915465000,2.0,60.931,26.09,,
T,36.592899000,-86.915478000,357.6,60.958,27.66,,
T,36.593291000,-86.915558000,350.7,61.002,44.09,,
T,36.593704000,-86.915704000,344.2,61.050,47.66,,
T,36.594026000,-86.915875000,336.9,61.089,38.87,,
T,36.594648000,-86.916237000,335.0,61.165,76.25,,
T,36.595265000,-86.916620000,333.5,61.242,76.57,,
T,36.595422000,-86.916716000,333.9,61.261,19.42,,
T,36.596021000,-86.917034000,336.9,61.333,72.31,,
T,36.596336000,-86.917187000,338.7,61.371,37.54,,
T,36.596667000,-86.917333000,340.5,61.410,38.99,,
T,36.596979000,-86.917452000,343.0,61.446,36.22,,
T,36.597334000,-86.917585000,343.3,61.487,41.15,,
T,36.597687000,-86.917717000,343.3,61.528,40.91,,
T,36.597714000,-86.917727000,343.4,61.531,3.13,,
T,36.598102000,-86.917869000,343.6,61.576,44.89,,
T,36.598316000,-86.917947000,343.7,61.601,24.75,,
T,36.598652000,-86.918076000,342.9,61.640,39.03,,
T,36.599104000,-86.918244000,343.4,61.692,52.36,,
T,36.600598000,-86.918879000,341.2,61.868,175.26,,
T,36.601305000,-86.919182000,341.0,61.951,83.01,,
T,36.601445000,-86.919269000,333.5,61.968,17.38,,
T,36.601622000,-86.919440000,322.2,61.993,24.90,,
T,36.601994000,-86.919966000,311.4,62.056,62.60,,
T,36.602313000,-86.920418000,311.3,62.109,53.75,,
T,36.602755000,-86.921069000,310.2,62.185,76.15,,
T,36.603563000,-86.922224000,311.1,62.322,136.82,,
T,36.603956000,-86.922785000,311.1,62.389,66.49,,
T,36.604185000,-86.923118000,310.6,62.428,39.16,,
T,36.604196000,-86.923134000,310.6,62.430,1.88,,
T,36.604431000,-86.923466000,311.4,62.469,39.53,,
T,36.605264000,-86.924656000,311.1,62.610,141.00,,
T,36.606055000,-86.925786000,311.1,62.744,133.89,,
T,36.606714000,-86.926727000,311.1,62.856,111.52,,
T,36.607076000,-86.927249000,310.8,62.917,61.60,,
T,36.608323000,-86.929044000,310.9,63.129,211.99,,
T,36.608976000,-86.929985000,310.8,63.240,111.08,,
T,36.610047000,-86.931570000,310.1,63.425,185.02,,
T,36.611131000,-86.933185000,309.9,63.613,188.00,,
T,36.611837000,-86.934238000,309.9,63.736,122.52,,
T,36.612275000,-86.934892000,309.8,63.812,76.06,,
T,36.613565000,-86.936833000,309.6,64.037,225.04,,
T,36.613853000,-86.937259000,310.1,64.087,49.74,,
T,36.614377000,-86.938005000,311.2,64.175,88.52,,
T,36.614464000,-86.938120000,313.3,64.189,14.11,,
T,36.614812000,-86.938579000,313.4,64.246,56.37,,
T,36.615273000,-86.939177000,313.8,64.320,74.02,,
T,36.615497000,-86.939449000,315.7,64.355,34.78,,
T,36.615751000,-86.939743000,317.1,64.393,38.55,,
T,36.615995000,-86.940013000,318.4,64.429,36.28,,
T,36.618343000,-86.942516000,319.4,64.773,343.55,,
T,36.618705000,-86.942939000,316.8,64.828,55.19,,
T,36.618910000,-86.943209000,313.4,64.861,33.18,,
T,36.618910000,-86.943209000,313.4,64.861,0.00,,
T,36.618957000,-86.943270000,313.8,64.869,7.55,,
T,36.619323000,-86.943802000,310.6,64.931,62.56,,
T,36.619729000,-86.944469000,307.2,65.006,74.77,,
T,36.620169000,-86.945154000,308.7,65.085,78.35,,
T,36.620814000,-86.946218000,307.1,65.204,119.09,,
T,36.621025000,-86.946550000,308.4,65.242,37.82,,
T,36.621829000,-86.947896000,306.7,65.391,149.86,,
T,36.622091000,-86.948301000,308.9,65.438,46.45,,
T,36.622533000,-86.948861000,314.5,65.508,70.11,,
T,36.623148000,-86.949538000,318.5,65.599,91.24,,
T,36.624514000,-86.951062000,318.2,65.803,203.87,,
T,36.624835000,-86.951421000,318.1,65.851,47.96,,
T,36.625107000,-86.951754000,315.5,65.893,42.41,,
T,36.625499000,-86.952185000,318.6,65.952,58.12,,
T,36.625921000,-86.952587000,322.6,66.011,59.04,,
T,36.626708000,-86.953202000,327.9,66.114,103.21,,
T,36.627060000,-86.953465000,329.1,66.159,45.60,,
T,36.627191000,-86.953562000,329.3,66.176,16.93,,
T,36.627255000,-86.953610000,329.0,66.185,8.30,,
T,36.627675000,-86.953955000,326.6,66.241,55.90,,
T,36.627940000,-86.954207000,322.7,66.278,37.05,,
T,36.628052000,-86.954304000,325.2,66.293,15.16,,
T,36.628440000,-86.954770000,316.1,66.353,59.93,,
T,36.628491000,-86.954831000,316.2,66.361,7.86,,
T,36.628530000,-86.954903000,304.0,66.368,7.76,,
T,36.628568000,-86.954974000,303.7,66.376,7.62,,
T,36.628797000,-86.955333000,308.5,66.417,40.95,,
T,36.629098000,-86.955889000,304.0,66.477,59.91,,
T,36.629214000,-86.956141000,299.8,66.503,25.96,,
T,36.629564000,-86.956835000,302.1,66.576,73.22,,
T,36.629657000,-86.957011000,303.4,66.595,18.82,,
T,36.629984000,-86.957859000,295.7,66.679,84.08,,
T,36.630009000,-86.957937000,291.8,66.686,7.51,,
T,36.630133000,-86.958331000,291.4,66.724,37.83,,
T,36.630505000,-86.959516000,291.4,66.838,113.74,,
T,36.630530000,-86.959602000,289.9,66.846,8.18,,
T,36.631521000,-86.962987000,290.0,67.168,322.11,,
T,36.631872000,-86.964185000,290.1,67.282,114.01,,
T,36.632045000,-86.964745000,291.1,67.336,53.64,,
T,36.632331000,-86.965652000,291.5,67.423,87.11,,
T,36.632718000,-86.966741000,293.9,67.529,106.45,,
T,36.632761000,-86.966865000,293.4,67.541,12.07,,
T,36.633300000,-86.968270000,295.6,67.681,139.17,,
T,36.634059000,-86.970162000,296.6,67.870,189.02,,
T,36.634232000,-86.970601000,296.2,67.913,43.70,,
T,36.634659000,-86.971726000,295.3,68.025,111.21,,
T,36.634703000,-86.971837000,296.3,68.036,11.06,,
T,36.637101000,-86.977778000,296.7,68.630,594.24,,
T,36.637357000,-86.978376000,298.1,68.690,60.56,,
T,36.637482000,-86.978585000,306.7,68.714,23.28,,
T,36.637759000,-86.978956000,312.9,68.759,45.23,,
T,36.638063000,-86.979272000,320.2,68.803,44.01,,
T,36.638409000,-86.979519000,330.2,68.847,44.30,,
T,36.638683000,-86.979664000,337.0,68.880,33.06,,
T,36.639068000,-86.979760000,348.7,68.924,43.58,,
T,36.639402000,-86.979803000,354.1,68.961,37.26,,
T,36.639785000,-86.979825000,357.4,69.004,42.55,,
T,36.639818000,-86.979826000,358.6,69.007,3.66,,
T,36.641053000,-86.979849000,359.1,69.144,137.06,,
T,36.641138000,-86.979851000,358.9,69.154,9.43,,
T,36.641625000,-86.979867000,358.5,69.208,54.06,,
T,36.641926000,-86.979945000,348.3,69.242,34.12,,
T,36.642287000,-86.980029000,349.4,69.283,40.76,,
T,36.642638000,-86.980149000,344.7,69.323,40.40,,
T,36.643155000,-86.980353000,342.4,69.383,60.20,,
T,36.644201000,-86.980808000,340.8,69.506,123.00,,
T,36.644370000,-86.980882000,340.6,69.526,19.89,,
T,36.645855000,-86.981529000,340.7,69.701,174.65,,
T,36.646518000,-86.981832000,339.9,69.779,78.40,,
T,36.647276000,-86.982160000,340.9,69.868,89.08,,
T,36.647318000,-86.982179000,340.1,69.873,4.96,,
T,36.647544000,-86.982280000,340.3,69.900,26.66,,
T,36.648077000,-86.982520000,340.1,69.963,62.92,,
T,36.648536000,-86.982736000,339.3,70.017,54.47,,
T,36.648708000,-86.982838000,334.6,70.039,21.15,,
T,36.648871000,-86.982959000,329.2,70.060,21.08,,
T,36.649024000,-86.983105000,322.6,70.081,21.42,,
T,36.649164000,-86.983271000,316.4,70.103,21.49,,
T,36.649293000,-86.983454000,311.3,70.124,21.74,,
T,36.649409000,-86.983648000,306.7,70.146,21.60,,
T,36.649512000,-86.983853000,302.1,70.168,21.60,,
T,36.649586000,-86.984039000,296.4,70.186,18.55,,
T,36.649597000,-86.984068000,295.3,70.189,2.87,,
T,36.649664000,-86.984295000,290.2,70.211,21.62,,
T,36.649712000,-86.984533000,284.1,70.232,21.94,,
T,36.649739000,-86.984778000,277.8,70.255,22.11,,
T,36.649746000,-86.985031000,272.0,70.277,22.64,,
T,36.649737000,-86.985290000,267.5,70.300,23.18,,
T,36.649695000,-86.985822000,264.4,70.348,47.80,,
T,36.649438000,-86.988630000,263.5,70.601,252.70,,
T,36.649111000,-86.992310000,263.7,70.932,331.06,,
T,36.648909000,-86.994524000,263.5,71.131,199.24,,
T,36.648890000,-86.994819000,265.4,71.158,26.46,,
T,36.648882000,-86.995113000,268.1,71.184,26.30,,
T,36.648884000,-86.995405000,270.5,71.210,26.11,,
T,36.648899000,-86.995695000,273.7,71.236,25.98,,
T,36.648928000,-86.995984000,277.1,71.262,26.04,,
T,36.648974000,-86.996270000,281.3,71.288,26.08,,
T,36.649033000,-86.996554000,284.5,71.314,26.23,,
T,36.649099000,-86.996839000,286.1,71.341,26.52,,
T,36.650749000,-87.003668000,286.8,71.978,637.50,,
T,36.651048000,-87.004877000,287.1,72.092,113.08,,
T,36.651170000,-87.005411000,285.9,72.141,49.63,,
T,36.651223000,-87.005679000,283.8,72.166,24.67,,
T,36.651270000,-87.005949000,282.2,72.191,24.70,,
T,36.651351000,-87.006488000,280.6,72.240,49.03,,
T,36.651418000,-87.007029000,278.8,72.288,48.94,,
T,36.651549000,-87.008189000,278.0,72.393,104.74,,
T,36.651657000,-87.009218000,277.5,72.486,92.79,,
T,36.651851000,-87.010805000,278.7,72.630,143.53,,
T,36.652149000,-87.013073000,279.3,72.835,205.47,,
T,36.652209000,-87.013470000,280.7,72.871,36.12,,
