type,latitude,longitude,altitude (m),vmg (km/h),course,slope (%),distance (km),distance_interval (m),eos,name,desc
T,39.100586000,-94.422652000,293.0,,302.2,2.6,1.665,12.96,,,
T,39.100705000,-94.422957000,294.1,,296.7,3.9,1.694,29.51,,,
T,39.100813000,-94.423138000,294.6,,307.6,2.6,1.714,19.72,,,
T,39.100932000,-94.423263000,294.5,,320.8,-0.6,1.731,17.07,,,
T,39.101066000,-94.423361000,294.1,,330.4,-2.7,1.748,17.12,,,
T,39.101206000,-94.423413000,293.2,,343.9,-5.3,1.764,16.18,,,
T,39.101350000,-94.423405000,292.8,,2.5,-2.8,1.780,16.00,,,
T,39.101429000,-94.423470000,292.7,,327.4,-0.7,1.791,10.42,,,
T,39.101586000,-94.423474000,292.4,,358.9,-1.8,1.808,17.43,,,
T,39.101603000,-94.423473000,292.3,,2.6,-2.7,1.810,1.89,,,
T,39.101783000,-94.423467000,291.9,,1.5,-2.3,1.830,19.99,,,
T,39.101936000,-94.423462000,290.9,,1.5,-5.6,1.847,16.99,,,
T,39.102034000,-94.423458000,290.2,,1.8,-6.1,1.858,10.89,,,
T,39.102030000,-94.423558000,290.6,,267.0,4.5,1.867,8.66,,,
T,39.102027000,-94.423603000,290.9,,265.1,5.6,1.871,3.91,,,
T,39.102018000,-94.423741000,291.6,,265.2,5.9,1.883,11.98,,,
T,39.102016000,-94.423795000,291.8,,267.3,5.8,1.887,4.68,1,,
T,39.102016000,-94.423795000,291.8,,267.3,,1.887,0.00,,,
T,39.101997000,-94.424388000,294.1,,267.6,4.4,1.939,51.34,,,
T,39.101893000,-94.426089000,301.2,,265.5,4.8,2.086,147.59,,,
T,39.101870000,-94.426284000,302.0,,261.4,4.9,2.103,17.06,,,
T,39.101840000,-94.426394000,302.5,,250.6,4.7,2.113,10.08,,,
T,39.101812000,-94.426521000,303.0,,254.1,4.0,2.125,11.42,,,
T,39.101828000,-94.426864000,303.6,,273.4,2.2,2.154,29.72,,,
T,39.101831000,-94.426925000,303.7,,273.6,0.5,2.160,5.29,,,
T,39.101838000,-94.427098000,303.7,,273.0,0.4,2.175,14.99,,,
T,39.101841000,-94.427152000,303.7,,274.1,-0.5,2.179,4.68,,,
T,39.101846000,-94.427254000,303.7,,273.6,-0.5,2.188,8.84,,,
T,39.101850000,-94.427355000,303.6,,272.9,-0.5,2.197,8.75,,,
T,39.101862000,-94.427657000,303.0,,272.9,-2.2,2.223,26.16,,,
T,39.101871000,-94.427920000,302.4,,272.5,-2.9,2.246,22.77,,,
T,39.101880000,-94.428148000,301.6,,272.9,-4.1,2.266,19.75,,,
T,39.101882000,-94.428214000,301.3,,272.2,-4.3,2.271,5.71,,,
T,39.101896000,-94.428721000,299.2,,272.0,-4.9,2.315,43.88,,,
T,39.101908000,-94.429091000,297.5,,272.4,-5.3,2.347,32.03,,,
T,39.101923000,-94.429505000,295.3,,272.7,-6.1,2.383,35.85,,,
T,39.101995000,-94.431441000,284.6,,272.7,-6.4,2.551,167.66,,,
T,39.102046000,-94.432830000,281.0,,272.7,-3.0,2.671,120.28,,,
T,39.102072000,-94.433594000,284.4,,272.5,5.1,2.737,66.15,,,
T,39.102107000,-94.434671000,290.8,,272.4,6.9,2.831,93.24,,,
T,39.102114000,-94.434962000,292.4,,271.8,6.1,2.856,25.18,,,
T,39.102127000,-94.435264000,294.2,,273.2,6.8,2.882,26.16,,,
T,39.102132000,-94.435505000,295.6,,271.5,6.7,2.903,20.85,,,
T,39.102132000,-94.435524000,295.6,,270.0,5.7,2.904,1.64,,,
T,39.102141000,-94.435762000,296.7,,272.8,5.2,2.925,20.61,,,
T,39.102145000,-94.435863000,297.1,,272.9,3.8,2.934,8.75,,,
T,39.102157000,-94.436177000,297.9,,272.8,3.2,2.961,27.19,,,
T,39.102168000,-94.436419000,298.3,,273.4,1.6,2.982,20.97,,,
T,39.102183000,-94.436777000,298.4,,273.1,0.4,3.013,31.01,,,
T,39.102200000,-94.437175000,298.0,,273.2,-1.1,3.047,34.48,,,
T,39.102210000,-94.437389000,297.7,,273.4,-1.6,3.066,18.54,,,
T,39.102231000,-94.437823000,297.4,,273.6,-0.7,3.104,37.61,,,
T,39.102240000,-94.438164000,297.3,,271.9,-0.7,3.133,29.51,,,
T,39.102247000,-94.438387000,297.0,,272.3,-1.3,3.152,19.31,,,
T,39.102264000,-94.438912000,295.8,,272.4,-2.6,3.198,45.45,,,
T,39.102274000,-94.439247000,295.1,,272.2,-2.5,3.227,29.00,,,
T,39.102278000,-94.439370000,294.8,,272.4,-2.4,3.237,10.65,,,
T,39.102289000,-94.439703000,294.2,,272.4,-2.3,3.266,28.83,,,
T,39.102297000,-94.439975000,293.6,,272.2,-2.5,3.290,23.55,,,
T,39.102307000,-94.440275000,292.9,,272.5,-2.5,3.316,25.97,,,
T,39.102308000,-94.440299000,292.9,,273.1,-2.3,3.318,2.08,,,
T,39.102338000,-94.441235000,290.6,,272.4,-2.9,3.399,81.03,1,,
T,39.102338000,-94.441235000,290.6,,272.4,,3.399,0.00,,,
T,39.102390000,-94.442818000,282.9,,272.4,-5.6,3.536,137.05,,,
T,39.102394000,-94.443015000,281.8,,271.5,-6.7,3.553,17.05,,,
