type,latitude,longitude,altitude (m),vmg (km/h),course,slope (%),distance (km),distance_interval (m),eos,name,desc
T,40.275446000,-96.778385000,383.2,,124.8,-0.1,4.308,124.92,,,
T,40.275264000,-96.778062000,383.0,,126.4,-0.6,4.342,34.10,,,
T,40.275121000,-96.777826000,383.2,,128.5,0.9,4.367,25.59,,,
T,40.274983000,-96.777621000,383.2,,131.4,0.1,4.391,23.21,,,
T,40.274807000,-96.777377000,383.5,,133.4,1.0,4.419,28.51,,,
T,40.274606000,-96.777135000,383.9,,137.4,1.2,4.449,30.36,,,
T,40.274502000,-96.777021000,383.9,,140.1,0.1,4.465,15.08,,,
T,40.274328000,-96.776832000,384.1,,140.4,0.5,4.490,25.13,,,
T,40.274118000,-96.776626000,383.8,,143.2,-0.8,4.519,29.17,,,
T,40.273907000,-96.776441000,383.7,,146.2,-0.5,4.547,28.22,,,
T,40.273705000,-96.776281000,383.6,,148.9,-0.4,4.573,26.24,,,
T,40.273509000,-96.776138000,383.6,,150.9,-0.1,4.598,24.93,,,
T,40.273262000,-96.775987000,383.7,,155.0,0.3,4.628,30.28,,,
T,40.272970000,-96.775830000,383.5,,157.7,-0.4,4.664,35.07,,,
T,40.272723000,-96.775714000,383.7,,160.3,0.7,4.693,29.15,,,
T,40.272422000,-96.775593000,383.8,,162.9,0.2,4.728,34.97,,,
T,40.272264000,-96.775544000,383.8,,166.7,0.2,4.746,18.03,,,
T,40.272168000,-96.775514000,383.9,,166.6,0.5,4.757,10.96,,,
T,40.271943000,-96.775460000,384.1,,169.6,0.9,4.782,25.40,,,
T,40.271714000,-96.775417000,384.4,,171.8,1.2,4.808,25.69,,,
T,40.271497000,-96.775391000,384.6,,174.8,0.9,4.832,24.20,,,
T,40.271274000,-96.775375000,384.9,,176.9,1.2,4.857,24.80,,,
T,40.270980000,-96.775365000,385.3,,178.5,1.2,4.889,32.66,,,
T,40.269557000,-96.775357000,388.9,,179.8,2.3,5.047,158.01,,,
T,40.268425000,-96.775349000,391.4,,179.7,2.0,5.173,125.70,,,
T,40.267707000,-96.775337000,393.4,,179.3,2.4,5.253,79.73,,,
T,40.267120000,-96.775329000,394.8,,179.4,2.1,5.318,65.18,,,
T,40.266915000,-96.775322000,394.9,,178.5,0.8,5.341,22.77,,,
T,40.266683000,-96.775309000,395.1,,177.6,0.7,5.367,25.78,,,
T,40.266329000,-96.775272000,395.3,,175.4,0.4,5.406,39.43,,,
T,40.266083000,-96.775231000,395.2,,172.8,-0.4,5.434,27.54,,,
T,40.265930000,-96.775199000,395.1,,170.9,-0.5,5.451,17.21,,,
T,40.265930000,-96.775346000,395.2,,270.0,1.3,5.463,12.50,,,
T,40.265932000,-96.776534000,396.1,,270.1,0.9,5.564,101.05,,,
T,40.265939000,-96.778631000,396.4,,270.3,0.1,5.743,178.38,,,
T,40.265948000,-96.782093000,396.8,,270.2,0.1,6.037,294.49,,,
T,40.265950000,-96.782791000,396.9,,270.2,0.1,6.097,59.37,,,
T,40.265942000,-96.783010000,396.9,,267.3,-0.2,6.115,18.65,,,
T,40.265931000,-96.783194000,396.8,,265.5,-0.5,6.131,15.70,,,
T,40.265900000,-96.783386000,396.8,,258.1,-0.2,6.148,16.69,,,
T,40.265843000,-96.783576000,396.8,,248.5,0.0,6.165,17.36,,,
T,40.265774000,-96.783744000,396.9,,241.7,0.7,6.181,16.21,,,
T,40.265707000,-96.783889000,397.1,,238.8,1.5,6.196,14.40,,,
T,40.265626000,-96.784017000,397.2,,230.3,0.9,6.210,14.12,,,
T,40.265543000,-96.784140000,397.2,,228.5,0.2,6.224,13.94,,,
T,40.265401000,-96.784298000,397.4,,220.3,0.7,6.244,20.72,,,
T,40.265264000,-96.784414000,397.4,,212.9,-0.1,6.262,18.13,,,
T,40.265111000,-96.784520000,397.5,,207.9,0.7,6.282,19.23,,,
T,40.264994000,-96.784583000,397.5,,202.3,0.4,6.296,14.05,,,
T,40.264878000,-96.784623000,397.6,,194.7,0.1,6.309,13.32,,,
T,40.264725000,-96.784648000,397.6,,187.1,0.2,6.326,17.12,,,
T,40.264575000,-96.784662000,397.6,,184.1,0.1,6.343,16.70,,,
T,40.262869000,-96.784659000,398.7,,179.9,0.6,6.532,189.43,,,
T,40.261319000,-96.784634000,400.5,,179.3,1.0,6.704,172.12,,,
T,40.259906000,-96.784637000,402.2,,180.1,1.1,6.861,156.90,,,
T,40.259143000,-96.784627000,402.9,,179.4,0.8,6.946,84.73,,,
T,40.258057000,-96.784612000,402.6,,179.4,-0.3,7.067,120.60,,,
T,40.256825000,-96.784554000,402.7,,177.9,0.1,7.204,136.89,,,
T,40.254431000,-96.784517000,403.2,,179.3,0.2,7.469,265.85,,,
T,40.248446000,-96.784386000,413.1,,179.0,1.5,8.134,664.66,,,
T,40.245419000,-96.784379000,409.6,,179.9,-1.0,8.470,336.12,,,
T,40.240438000,-96.784374000,412.9,,180.0,0.6,9.023,553.09,,,
T,40.235433000,-96.784358000,414.9,,179.9,0.4,9.579,555.75,,,
T,40.233968000,-96.784355000,413.7,,179.9,-0.8,9.742,162.67,,,
T,40.232239000,-96.784350000,413.1,,179.9,-0.3,9.934,191.99,,,
T,40.229873000,-96.784338000,416.6,,179.8,1.3,10.196,262.72,,,
T,40.229507000,-96.784343000,417.5,,180.6,2.2,10.237,40.64,,,
T,40.229197000,-96.784356000,418.5,,181.8,2.8,10.272,34.44,,,
T,40.228973000,-96.784377000,419.2,,184.1,2.7,10.296,24.94,,,
T,40.228718000,-96.784416000,419.7,,186.7,1.7,10.325,28.51,,,
T,40.228432000,-96.784472000,419.9,,188.5,0.8,10.357,32.11,,,
T,40.228202000,-96.784527000,420.0,,190.3,0.4,10.383,25.96,,,
T,40.227910000,-96.784606000,420.2,,191.7,0.4,10.416,33.11,,,
T,40.227573000,-96.784713000,420.0,,193.6,-0.5,10.455,38.51,,,
T,40.227050000,-96.784929000,419.4,,197.5,-1.0,10.516,60.91,,,
T,40.226814000,-96.785036000,419.0,,199.1,-1.2,10.543,27.74,,,
T,40.226640000,-96.785127000,419.1,,201.8,0.0,10.564,20.82,,,
T,40.226372000,-96.785269000,418.7,,202.0,-1.2,10.596,32.12,,,
T,40.226085000,-96.785438000,418.3,,204.2,-0.9,10.631,34.96,,,
T,40.225817000,-96.785625000,417.9,,208.0,-1.4,10.665,33.75,,,
T,40.225528000,-96.785841000,417.2,,209.7,-2.0,10.702,36.98,,,
T,40.225226000,-96.786081000,416.1,,211.2,-2.6,10.741,39.27,,,
T,40.224937000,-96.786337000,416.3,,214.1,0.4,10.780,38.79,,,
T,40.224670000,-96.786593000,417.0,,216.2,1.9,10.817,36.79,,,
T,40.224366000,-96.786917000,417.8,,219.1,1.9,10.860,43.59,,,
T,40.224100000,-96.787230000,418.5,,221.9,1.8,10.900,39.78,,,
T,40.223826000,-96.787572000,419.1,,223.6,1.4,10.942,42.11,,,
T,40.223591000,-96.787900000,419.4,,226.8,0.7,10.980,38.21,,,
T,40.223365000,-96.788236000,419.6,,228.6,0.6,11.019,38.05,,,
T,40.223133000,-96.788624000,420.2,,231.9,1.5,11.060,41.88,,,
T,40.222926000,-96.788987000,421.2,,233.2,2.6,11.099,38.51,,,
