type,latitude,longitude,altitude (m),vmg (km/h),course,slope (%),distance (km),distance_interval (m),eos,name,desc
T,40.291958000,-96.836556000,386.9,,270.0,-0.1,1.782,7.06,,,
T,40.291962000,-96.837093000,386.7,,270.6,-0.5,1.828,45.66,,,
T,40.291956000,-96.837675000,386.6,,269.2,-0.0,1.877,49.49,,,
T,40.291944000,-96.837937000,386.5,,266.6,-0.4,1.899,22.32,,,
T,40.291915000,-96.838434000,386.5,,265.6,-0.2,1.942,42.38,,,
T,40.291914000,-96.839023000,386.6,,269.9,0.2,1.992,50.08,,,
T,40.291914000,-96.841314000,387.3,,270.0,0.4,2.187,194.80,,,
T,40.291914000,-96.841501000,387.7,,270.0,2.5,2.203,15.90,,,
T,40.292116000,-96.841501000,387.8,,0.0,0.5,2.225,22.43,,,
T,40.292689000,-96.841500000,388.5,,0.1,1.1,2.289,63.63,,,
T,40.292748000,-96.841500000,388.6,,0.0,1.6,2.295,6.55,,,
T,40.292936000,-96.841501000,388.9,,359.8,1.5,2.316,20.88,,,
T,40.293793000,-96.841504000,390.4,,359.8,1.5,2.411,95.16,,,
T,40.294339000,-96.841505000,391.6,,359.9,2.1,2.472,60.63,,,
T,40.295630000,-96.841498000,394.0,,0.2,1.6,2.615,143.35,,,
T,40.296801000,-96.841497000,392.7,,0.0,-1.0,2.745,130.03,,,
T,40.298379000,-96.841495000,391.4,,0.1,-0.7,2.920,175.22,,,
T,40.299949000,-96.841481000,394.5,,0.4,1.8,3.095,174.34,,,
T,40.301044000,-96.841485000,398.1,,359.8,2.9,3.216,121.59,1,,
T,40.301044000,-96.841485000,398.1,,359.8,,3.216,0.00,,,
T,40.302413000,-96.841489000,399.9,,359.9,1.2,3.368,152.01,,,
T,40.304374000,-96.841492000,399.7,,359.9,-0.1,3.586,217.75,,,
T,40.305775000,-96.841488000,399.5,,0.1,-0.1,3.742,155.57,,,
T,40.306447000,-96.841486000,399.1,,0.1,-0.5,3.816,74.62,,,
T,40.307372000,-96.841482000,396.9,,0.2,-2.2,3.919,102.71,,,
T,40.308860000,-96.841486000,393.5,,359.9,-2.0,4.084,165.23,,,
T,40.309284000,-96.841482000,392.8,,0.4,-1.4,4.131,47.08,,,
T,40.309994000,-96.841484000,391.8,,359.9,-1.3,4.210,78.84,,,
T,40.312403000,-96.841479000,390.7,,0.1,-0.4,4.478,267.50,,,
T,40.313976000,-96.841480000,390.6,,360.0,-0.1,4.652,174.67,,,
