type,latitude,longitude,altitude (m),vmg (km/h),course,slope (%),distance (km),distance_interval (m),eos,name,desc
T,38.556891000,-92.151866000,186.6,,148.7,5.0,3.600,73.71,,,
T,38.556220000,-92.151448000,190.6,,154.0,4.8,3.683,82.92,,,
T,38.555423000,-92.151013000,195.8,,156.9,5.4,3.779,96.26,,,
T,38.553778000,-92.150187000,205.6,,158.6,5.0,3.975,196.29,,,
T,38.552856000,-92.149731000,210.5,,158.9,4.4,4.085,109.80,,,
T,38.552682000,-92.149632000,211.7,,156.0,6.0,4.106,21.16,,,
T,38.552323000,-92.149425000,213.9,,155.7,4.8,4.150,43.75,,,
T,38.551711000,-92.149065000,216.8,,155.3,4.0,4.225,74.83,,,
T,38.551158000,-92.148681000,218.4,,151.5,2.2,4.295,69.92,,,
T,38.550673000,-92.148279000,220.5,,147.0,3.3,4.359,64.24,,,
T,38.550368000,-92.147988000,222.1,,143.3,3.9,4.401,42.31,,,
T,38.549650000,-92.147183000,222.8,,138.8,0.7,4.507,106.19,,,
T,38.549302000,-92.146719000,222.3,,133.8,-1.0,4.563,55.93,,,
T,38.548967000,-92.146240000,221.1,,131.8,-2.2,4.619,55.91,,,
T,38.548479000,-92.145294000,219.5,,123.4,-1.6,4.718,98.67,,,
T,38.547939000,-92.143951000,215.5,,117.2,-3.1,4.849,131.53,,,
T,38.547649000,-92.142949000,212.3,,110.3,-3.4,4.942,93.09,,,
T,38.547462000,-92.141932000,208.4,,103.2,-4.3,5.034,91.06,,,
T,38.547019000,-92.139133000,198.3,,101.4,-4.1,5.282,248.91,,,
T,38.546541000,-92.135741000,201.4,,100.2,1.0,5.583,300.43,,,
T,38.545951000,-92.131670000,218.9,,100.5,4.9,5.944,360.89,,,
T,38.545609000,-92.129794000,220.7,,103.1,1.1,6.112,167.89,,,
T,38.543994000,-92.124182000,219.4,,110.2,-0.3,6.633,521.06,,,
T,38.543030000,-92.120638000,216.1,,109.2,-1.0,6.960,326.97,,,
T,38.542971000,-92.120422000,215.0,,109.3,-5.5,6.980,19.94,,,
T,38.541179000,-92.113807000,182.1,,109.1,-5.4,7.590,610.05,,,
T,38.540949000,-92.112454000,175.1,,102.3,-5.8,7.710,120.69,,,
T,38.540743000,-92.110537000,171.7,,97.8,-2.0,7.879,168.69,,,
T,38.540406000,-92.107397000,169.5,,97.8,-0.8,8.155,276.30,,,
T,38.540174000,-92.105568000,166.1,,99.2,-2.1,8.317,161.53,,,
T,38.539992000,-92.103933000,173.1,,98.1,4.9,8.461,143.97,,,
T,38.539969000,-92.103728000,172.9,,98.2,-1.3,8.479,18.05,,,
T,38.538978000,-92.094837000,204.7,,98.1,4.1,9.262,782.93,,,
T,38.538868000,-92.093851000,209.3,,98.1,5.3,9.349,86.83,,,
T,38.538780000,-92.093091000,211.4,,98.4,3.0,9.416,66.98,,,
T,38.538690000,-92.092316000,212.0,,98.4,0.9,9.484,68.30,,,
T,38.538648000,-92.091890000,211.9,,97.2,-0.2,9.521,37.43,,,
T,38.537346000,-92.080228000,180.2,,98.1,-3.1,10.548,1026.99,,,
T,38.536902000,-92.076146000,174.5,,97.9,-1.6,10.908,359.30,,,
T,38.536796000,-92.075081000,178.8,,97.3,4.6,11.001,93.60,,,
T,38.536767000,-92.074910000,179.9,,102.2,7.6,11.017,15.25,,,
T,38.536729000,-92.074686000,181.1,,102.2,5.6,11.036,19.98,,,
T,38.536612000,-92.074003000,181.6,,102.4,0.9,11.097,60.95,,,
T,38.536475000,-92.073471000,183.0,,108.2,3.0,11.146,48.81,,,
T,38.536203000,-92.072515000,185.5,,110.0,2.7,11.235,88.65,,,
T,38.535483000,-92.070933000,187.8,,120.2,1.5,11.394,159.42,,,
T,38.533899000,-92.068464000,182.1,,129.4,-2.0,11.672,277.96,,,
T,38.527431000,-92.058481000,189.5,,129.6,0.6,12.801,1128.38,,,
T,38.526764000,-92.057525000,195.2,,131.7,5.2,12.912,111.50,,,
T,38.526291000,-92.056943000,197.9,,136.1,3.6,12.985,73.02,,,
T,38.525776000,-92.056402000,195.8,,140.6,-2.8,13.059,74.12,,,
T,38.525486000,-92.056116000,194.9,,142.3,-2.0,13.100,40.72,,,
T,38.525338000,-92.055969000,195.1,,142.2,0.9,13.121,20.84,,,
T,38.524579000,-92.055360000,195.6,,147.9,0.5,13.220,99.59,,,
T,38.524212000,-92.055021000,196.9,,144.1,2.6,13.271,50.33,,,
T,38.522565000,-92.053564000,204.7,,145.3,3.5,13.493,222.64,,,
T,38.521628000,-92.053069000,207.2,,157.5,2.2,13.606,112.61,,,
T,38.520215000,-92.052371000,212.8,,158.9,3.4,13.774,168.25,,,
T,38.519687000,-92.052121000,214.9,,159.7,3.4,13.837,62.53,,,
T,38.519295000,-92.051848000,216.6,,151.4,3.5,13.886,49.60,,,
T,38.518966000,-92.051578000,218.1,,147.3,3.2,13.930,43.45,,,
T,38.518899000,-92.051519000,218.3,,145.4,2.9,13.939,9.04,1,,
T,38.518899000,-92.051519000,218.3,,145.4,,13.939,0.00,,,
T,38.518798000,-92.051430000,218.8,,145.4,3.2,13.953,13.64,,,
T,38.518673000,-92.051279000,219.6,,136.6,4.7,13.972,19.13,,,
T,38.518195000,-92.051802000,219.3,,220.6,-0.5,14.042,69.97,,,
T,38.516997000,-92.053139000,216.6,,221.1,-1.5,14.219,176.86,,,
T,38.516697000,-92.053559000,217.8,,227.6,2.3,14.268,49.50,,,
T,38.516460000,-92.054016000,216.9,,236.5,-1.7,14.316,47.76,,,
T,38.516263000,-92.054526000,216.2,,243.7,-1.5,14.365,49.56,,,
T,38.516116000,-92.055196000,215.1,,254.3,-1.8,14.426,60.67,,,
T,38.516010000,-92.055997000,213.0,,260.4,-3.0,14.497,70.84,,,
T,38.515905000,-92.056963000,215.8,,262.1,3.2,14.582,85.05,,,
T,38.515794000,-92.057654000,219.5,,258.4,6.1,14.643,61.51,,,
T,38.515784000,-92.057691000,219.5,,250.9,-0.8,14.647,3.41,,,
T,38.515653000,-92.058139000,218.4,,249.5,-2.6,14.689,41.69,,,
T,38.515473000,-92.058667000,215.9,,246.5,-4.9,14.739,50.20,,,
T,38.515218000,-92.059166000,213.6,,236.9,-4.6,14.791,51.92,,,
T,38.514860000,-92.059739000,214.0,,231.4,0.6,14.854,63.85,,,
T,38.514322000,-92.060433000,215.4,,225.3,1.7,14.940,85.03,,,
T,38.514156000,-92.060635000,215.0,,223.6,-1.8,14.965,25.49,,,
T,38.514038000,-92.060788000,214.4,,225.4,-3.1,14.984,18.70,,,
T,38.513926000,-92.060920000,213.9,,222.7,-3.2,15.001,16.94,,,
T,38.513488000,-92.061438000,213.0,,222.8,-1.2,15.067,66.37,,,
T,38.513178000,-92.061870000,213.3,,227.5,0.5,15.118,51.03,,,
T,38.512986000,-92.062251000,213.7,,237.2,1.0,15.158,39.48,,,
T,38.512966000,-92.062297000,213.8,,240.9,2.7,15.162,4.59,,,
T,38.512713000,-92.062881000,216.9,,241.0,5.2,15.220,58.16,,,
T,38.512700000,-92.062912000,217.1,,241.8,7.7,15.223,3.06,,,
T,38.512500000,-92.063298000,218.0,,236.5,2.3,15.264,40.33,,,
T,38.512400000,-92.063493000,218.5,,236.8,2.1,15.284,20.31,,,
T,38.512334000,-92.063585000,218.4,,227.5,-0.2,15.295,10.87,,,
T,38.512164000,-92.063825000,218.8,,227.8,1.3,15.323,28.18,,,
T,38.511949000,-92.064127000,219.4,,227.7,1.8,15.359,35.54,,,
T,38.511887000,-92.064214000,219.3,,227.7,-0.9,15.369,10.24,,,
T,38.511760000,-92.064392000,218.8,,227.6,-2.4,15.390,20.97,,,
T,38.511137000,-92.065258000,216.4,,227.4,-2.3,15.492,102.41,,,
T,38.510570000,-92.066400000,221.2,,237.6,4.1,15.610,117.82,,,
T,38.510378000,-92.066698000,223.4,,230.5,6.7,15.644,33.61,,,
T,38.510356000,-92.066732000,223.7,,230.4,5.9,15.647,3.84,,,
T,38.509975000,-92.067153000,224.0,,220.8,0.6,15.703,56.01,,,
T,38.509925000,-92.067193000,224.0,,212.0,0.9,15.710,6.56,,,
T,38.509289000,-92.067697000,221.1,,211.8,-3.6,15.793,83.17,,,
T,38.508469000,-92.068388000,225.6,,213.4,4.1,15.902,109.17,,,
T,38.507631000,-92.069289000,225.4,,220.1,-0.1,16.024,121.78,,,
T,38.507594000,-92.069329000,225.1,,220.2,-5.6,16.030,5.39,,,
T,38.507510000,-92.069433000,224.5,,224.1,-4.6,16.043,13.01,,,
T,38.507358000,-92.069618000,224.3,,223.6,-1.1,16.066,23.35,,,
T,38.507125000,-92.069916000,223.6,,225.0,-1.9,16.103,36.67,,,
T,38.506587000,-92.070739000,221.9,,230.1,-1.9,16.196,93.38,,,
T,38.506312000,-92.071243000,223.4,,235.1,2.8,16.249,53.52,,,
T,38.506171000,-92.071844000,228.1,,253.3,8.7,16.304,54.71,,,
T,38.506062000,-92.072354000,231.3,,254.7,6.9,16.350,46.10,,,
T,38.505955000,-92.072921000,233.3,,256.4,4.0,16.401,50.86,,,
T,38.505857000,-92.073787000,234.2,,261.8,1.2,16.477,76.32,,,
T,38.505856000,-92.074682000,236.8,,269.9,3.3,16.556,78.07,,,
T,38.505880000,-92.075175000,237.9,,273.6,2.6,16.599,43.08,,,
T,38.505912000,-92.075854000,237.3,,273.4,-1.0,16.658,59.33,,,
T,38.505948000,-92.076548000,238.3,,273.8,1.7,16.719,60.67,,,
T,38.505881000,-92.077255000,239.5,,263.1,1.9,16.781,62.12,,,
T,38.505764000,-92.078444000,239.2,,262.8,-0.3,16.885,104.52,,,
T,38.505647000,-92.078988000,240.1,,254.6,1.8,16.934,49.20,,,
T,38.505634000,-92.079028000,240.1,,247.4,-0.7,16.938,3.78,,,
T,38.505489000,-92.079476000,240.2,,247.5,0.2,16.980,42.26,,,
T,38.505211000,-92.080058000,241.5,,238.6,2.1,17.040,59.41,,,
T,38.505126000,-92.080204000,242.0,,233.4,3.3,17.056,15.85,,,
T,38.504896000,-92.080524000,243.0,,227.4,2.7,17.094,37.83,,,
T,38.504527000,-92.080987000,244.0,,224.5,1.8,17.151,57.52,,,
T,38.503880000,-92.081754000,245.2,,222.9,1.1,17.249,98.15,,,
T,38.503350000,-92.082369000,242.9,,222.2,-2.8,17.329,79.62,,,
T,38.503129000,-92.082679000,241.4,,227.7,-4.3,17.365,36.51,,,
T,38.502908000,-92.082987000,241.1,,227.5,-0.7,17.402,36.38,,,
T,38.502695000,-92.083393000,241.9,,236.2,1.7,17.444,42.58,,,
T,38.502381000,-92.084161000,241.7,,242.4,-0.2,17.520,75.52,,,
T,38.502034000,-92.085109000,243.9,,244.9,2.4,17.611,91.23,,,
T,38.501832000,-92.085521000,244.6,,237.9,1.5,17.653,42.36,,,
T,38.501756000,-92.085674000,244.8,,237.6,1.7,17.669,15.79,,,
T,38.501748000,-92.085691000,244.9,,239.0,1.2,17.671,1.73,,,
T,38.501454000,-92.086187000,245.1,,232.9,0.5,17.725,54.19,,,
T,38.501019000,-92.086738000,244.8,,224.7,-0.4,17.793,68.13,,,
T,38.499453000,-92.088337000,246.0,,218.6,0.5,18.016,222.88,,,
T,38.496237000,-92.090872000,246.4,,211.7,0.1,18.436,419.94,,,
T,38.495767000,-92.091052000,246.3,,196.7,-0.2,18.491,54.48,,,
