Distance [m],Altitude [m],Slope [rad],Interval [m],Latitude [deg],Longitude [deg],Altitude [ft],Slope [%],Distance [mi],Interval [ft]
6226.551936,1625.74224,0.0119994240497613,83.067144,42.856123,-106.405543,5333.8,1.2,3.869,272.53
6321.503232,1622.35896,-0.0359844600820516,93.4212,42.855631,-106.40647,5322.7,-3.6,3.928,306.5
6403.579776,1627.1748,0.057935093623417,82.545936,42.855269,-106.407352,5338.5,5.8,3.979,270.82
6500.140416,1628.51592,0.0139990854408831,97.273872,42.854868,-106.40841,5342.9,1.4,4.039,319.14
6632.106624,1628.57688,0,132.109464,42.854347,-106.409863,5343.1,0,4.121,433.43
6784.994304,1633.39272,0.0319890840393151,152.473152,42.853708,-106.411514,5358.9,3.2,4.216,500.24
6884.773632,1637.9952,0.0469654381300841,99.023424,42.853188,-106.412498,5374,4.7,4.278,324.88
7016.73984,1631.19816,-0.0509558518771075,131.999736,42.852425,-106.413736,5351.7,-5.1,4.36,433.07
7132.612608,1627.41864,-0.0329880288209954,115.753896,42.851645,-106.414675,5339.3,-3.3,4.432,379.77
7219.517184,1626.108,-0.0149988751518506,87.886032,42.851028,-106.415348,5335,-1.5,4.486,288.34
7316.077824,1620.22536,-0.060924508138259,96.188784,42.850288,-106.415959,5315.7,-6.1,4.546,315.58
7446.434688,1615.01328,-0.03997868712329,129.985008,42.849261,-106.416721,5298.6,-4,4.627,426.46
7771.522176,1602.66888,-0.0379817251640402,324.974712,42.846708,-106.418662,5258.1,-3.8,4.829,1066.19
7917.97248,1604.55864,0.0129992677409163,146.438112,42.845606,-106.419645,5264.3,1.3,4.92,480.44
8008.095744,1597.24344,-0.0808235471053552,90.20556,42.845001,-106.420381,5240.3,-8.1,4.976,295.95
8098.219008,1597.03008,-0.00199999733333973,90.117168,42.844458,-106.4212,5239.6,-0.2,5.032,295.66
8186.732928,1593.40296,-0.0409770494767878,88.294464,42.843983,-106.422066,5227.7,-4.1,5.087,289.68
8249.497344,1593.15912,-0.00399997866687146,63.33744,42.843666,-106.42271,5226.9,-0.4,5.126,207.8
8357.323392,1588.008,-0.0469654381300841,108.639864,42.843219,-106.423892,5210,-4.7,5.193,356.43
8457.10272,1593.9516,0.0599281551212079,99.160584,42.842908,-106.425029,5229.5,6,5.255,325.33
8608.381056,1591.87896,-0.0139990854408831,151.257,42.842569,-106.426821,5222.7,-1.4,5.349,496.25
8857.829376,1591.42176,-0.00199999733333973,250.070112,42.842129,-106.429821,5221.2,-0.2,5.504,820.44
8976.920832,1590.47688,-0.00799982933988663,118.768368,42.841917,-106.431245,5218.1,-0.8,5.578,389.66
9042.903936,1591.72656,0.0189977141617588,65.535048,42.841869,-106.432044,5222.2,1.9,5.619,215.01
9150.729984,1588.9224,-0.0259941437084617,107.271312,42.841885,-106.433356,5213,-2.6,5.686,351.94
9459.724032,1592.67144,0.0119994240497613,309.893208,42.841941,-106.437146,5225.3,1.2,5.878,1016.71
9545.019264,1599.83424,0.084796174523203,84.280248,42.841853,-106.43817,5248.8,8.5,5.931,276.51
9644.798592,1603.00416,0.0319890840393151,100.70592,42.841645,-106.439369,5259.2,3.2,5.993,330.4
9744.57792,1602.05928,-0.00999966668666524,99.721416,42.841318,-106.440505,5256.1,-1,6.055,327.17
9823.435776,1600.07808,-0.0249947936189202,78.586584,42.840974,-106.441345,5249.6,-2.5,6.104,257.83
9903.902976,1602.97368,0.0369831295219108,80.013048,42.840558,-106.442144,5259.1,3.7,6.154,262.51
10269.224064,1599.83424,-0.00899975701180912,365.689896,42.838719,-106.445854,5248.8,-0.9,6.381,1199.77
10396.36224,1596.0852,-0.0289918744331005,127.744728,42.838007,-106.447081,5236.5,-2.9,6.46,419.11
10478.438784,1593.12864,-0.0359844600820516,81.948528,42.837463,-106.447758,5226.8,-3.6,6.511,268.86
