type	latitude	longitude	altitude (ft)	vmg (mph)	course	slope (%)	distance (mi)	distance_interval (ft)	color	opacity	width	scale	sym	name	desc	kml_folder
T	40.868582000	-98.339826000	1871.3		182.2	3.0	3.522	233.71								
T	40.867390000	-98.339815000	1859.6		179.6	-2.7	3.604	434.31								
T	40.866002000	-98.339805000	1862.3		179.7	0.5	3.700	505.71								
T	40.865710000	-98.339815000	1863.5		181.5	1.1	3.720	106.42								
T	40.864566000	-98.339847000	1867.2		181.2	0.9	3.799	416.90								
T	40.863576000	-98.339837000	1865.3		179.6	-0.5	3.868	360.71								
T	40.861786000	-98.339894000	1879.9		181.4	2.2	3.991	652.36								
T	40.861093000	-98.339903000	1876.6		180.6	-1.3	4.039	252.50								
T	40.860311000	-98.339904000	1876.4		180.1	-0.1	4.093	284.92								
T	40.860021000	-98.339902000	1876.6		179.7	0.2	4.113	105.66								
T	40.858659000	-98.339923000	1880.8		180.7	0.8	4.207	496.27								
T	40.858528000	-98.339923000	1880.6		180.0	-0.6	4.216	47.73								
T	40.858213000	-98.339923000	1878.1		180.0	-2.1	4.238	114.77								
T	40.856399000	-98.339966000	1882.7		181.0	0.7	4.363	661.02								
T	40.854330000	-98.339939000	1872.6		179.4	-1.3	4.506	753.86								
T	40.854184000	-98.339934000	1872.6		178.5	-0.1	4.516	53.21								
T	40.852263000	-98.339925000	1873.8		179.8	0.2	4.648	699.90								
T	40.850481000	-98.339919000	1869.2		179.9	-0.7	4.771	649.26								
T	40.849699000	-98.339907000	1872.0		179.3	1.0	4.825	284.93								
T	40.849061000	-98.339898000	1869.8		179.4	-0.9	4.869	232.46								
T	40.848620000	-98.339891000	1877.7		179.3	4.9	4.900	160.69								
T	40.847955000	-98.339891000	1878.6		180.0	0.4	4.946	242.29								
T	40.847156000	-98.339880000	1873.4		179.4	-1.8	5.001	291.12								
T	40.844855000	-98.339859000	1880.7		179.6	0.9	5.160	838.37								
T	40.844567000	-98.339875000	1879.1		182.4	-1.5	5.180	105.02								
T	40.840462000	-98.339931000	1882.9		180.6	0.3	5.463	1495.70								
T	40.836380000	-98.340078000	1876.5		181.6	-0.4	5.745	1487.79								
T	40.835345000	-98.340119000	1872.9		181.7	-0.9	5.816	377.26								
T	40.835101000	-98.340135000	1875.4		182.8	2.9	5.833	89.01								
T	40.834532000	-98.340158000	1877.6		181.8	1.0	5.872	207.41								
T	40.834054000	-98.340178000	1887.8		181.8	5.9	5.905	174.24								
T	40.832718000	-98.340242000	1872.7		182.1	-3.1	5.997	487.08								
T	40.831288000	-98.340284000	1874.6		181.3	0.4	6.096	521.14								
T	40.830333000	-98.340313000	1880.4		181.3	1.7	6.162	348.04								
T	40.829716000	-98.340324000	1879.9		180.8	-0.2	6.205	224.82								
T	40.829049000	-98.340346000	1879.3		181.4	-0.2	6.251	243.09								
T	40.827695000	-98.340389000	1880.0		181.4	0.1	6.344	493.46								
T	40.827458000	-98.340396000	1879.0		181.3	-1.1	6.360	86.37								
T	40.827234000	-98.340403000	1881.6		181.4	3.1	6.376	81.63								
T	40.826282000	-98.340435000	1881.9		181.5	0.1	6.442	346.96								
T	40.825271000	-98.340459000	1886.6		181.0	1.3	6.511	368.41								
T	40.824153000	-98.340464000	1879.8		180.2	-1.7	6.589	407.33								
T	40.823860000	-98.340457000	1877.5		179.0	-2.2	6.609	106.77								
T	40.823731000	-98.340444000	1876.1		175.6	-2.9	6.618	47.14								
T	40.822627000	-98.340340000	1884.6		175.9	2.1	6.694	403.26								
