type	latitude	longitude	altitude (ft)	vmg (mph)	course	slope (%)	distance (mi)	distance_interval (ft)	color	opacity	width	scale	sym	name	desc	kml_folder
T	40.900840000	-98.401017000	1885.5		216.5	-1.3	4.069	433.16								
T	40.900461000	-98.401476000	1891.9		222.5	3.5	4.105	187.53								
T	40.900171000	-98.401863000	1892.1		225.2	0.1	4.133	150.37								
T	40.899811000	-98.402448000	1895.9		230.8	1.8	4.172	208.23								
T	40.899501000	-98.402988000	1890.9		232.8	-2.7	4.208	187.20								
T	40.898872000	-98.404299000	1891.3		237.6	0.1	4.289	428.81								
T	40.895239000	-98.412306000	1905.3		239.0	0.5	4.778	2579.20								
T	40.893981000	-98.415052000	1901.4		238.8	-0.4	4.946	886.82								
T	40.893262000	-98.416565000	1900.1		237.8	-0.3	5.039	493.57								
T	40.892500000	-98.418312000	1899.9		240.0	-0.0	5.145	557.12								
T	40.889480000	-98.424891000	1903.3		238.7	0.2	5.547	2125.92								
T	40.887957000	-98.428276000	1894.7		239.2	-0.8	5.753	1088.07								
T	40.887432000	-98.429380000	1902.9		237.8	2.3	5.822	360.24								
T	40.884955000	-98.434797000	1906.5		238.8	0.2	6.153	1748.72								
T	40.884522000	-98.435777000	1905.7		239.7	-0.3	6.212	313.56								
T	40.874210000	-98.458369000	1912.4		238.9	0.1	7.593	7290.22								
T	40.871425000	-98.464471000	1926.6		238.9	0.7	7.966	1969.16								
T	40.870641000	-98.466368000	1922.6		241.3	-0.7	8.079	597.37								
T	40.868547000	-98.470977000	1925.9		239.0	0.2	8.360	1485.61								
T	40.867554000	-98.473126000	1922.4		238.6	-0.5	8.492	695.83								
T	40.866952000	-98.474300000	1921.0		235.9	-0.3	8.566	391.85								
T	40.867020000	-98.474300000	1921.4		0.0	1.6	8.571	24.78								
T	40.866952000	-98.474300000	1921.0		180.0	-1.6	8.576	24.78								
T	40.865696000	-98.477000000	1924.2		238.4	0.4	8.742	875.85								
T	40.849589000	-98.512226000	1937.3		238.9	0.1	10.896	11375.12								
T	40.845302000	-98.521568000	1944.2		238.8	0.2	11.468	3019.94								
T	40.844694000	-98.522926000	1948.5		239.4	1.0	11.551	436.17								
T	40.843982000	-98.524465000	1939.9		238.6	-1.7	11.645	498.61								
T	40.841142000	-98.530698000	1955.6		238.9	0.8	12.026	2011.20								
T	40.840767000	-98.531539000	1948.0		239.5	-2.8	12.077	269.85								
T	40.840289000	-98.532736000	1939.1		242.2	-2.4	12.148	374.20								
T	40.839937000	-98.533726000	1940.8		244.8	0.6	12.205	302.47								
T	40.839531000	-98.534959000	1940.4		246.5	-0.1	12.276	371.86								
T	40.826829000	-98.577777000	1965.2		248.6	0.2	14.685	12720.66								
T	40.825649000	-98.581786000	1959.1		248.7	-0.5	14.910	1189.90								
T	40.824491000	-98.585649000	1970.1		248.4	1.0	15.128	1149.37								
T	40.824208000	-98.586640000	1965.0		249.3	-1.8	15.183	293.02								
T	40.823858000	-98.587929000	1960.8		250.3	-1.1	15.255	378.86								
T	40.822656000	-98.592305000	1961.5		250.1	0.1	15.499	1287.89								
T	40.822530000	-98.592721000	1961.3		248.2	-0.1	15.522	123.95								
T	40.822135000	-98.594099000	1972.7		249.3	2.8	15.600	407.64								
T	40.820831000	-98.598860000	1981.2		250.1	0.6	15.865	1400.77								
T	40.819852000	-98.602129000	1973.5		248.4	-0.8	16.049	972.57								
T	40.819559000	-98.602960000	1981.3		245.0	3.1	16.097	253.57								
T	40.819009000	-98.604363000	1979.8		242.6	-0.4	16.180	436.99								
T	40.818862000	-98.604776000	1977.1		244.8	-2.1	16.204	126.24								
T	40.818623000	-98.605496000	1971.9		246.3	-2.4	16.245	217.48								
T	40.818084000	-98.607302000	1984.1		248.5	2.3	16.347	537.07								
T	40.815112000	-98.617229000	1978.4		248.4	-0.2	16.906	2953.43								
T	40.812369000	-98.626556000	1984.0		248.8	0.2	17.430	2768.48								
T	40.811806000	-98.628370000	1975.1		247.7	-1.6	17.533	542.43								
T	40.801025000	-98.664648000	1992.3		248.6	0.2	19.576	10784.00								
T	40.786500000	-98.713430000	2011.2		248.5	0.1	22.323	14507.05								
T	40.786335000	-98.714131000	2008.8		252.7	-1.2	22.362	203.22								
T	40.786186000	-98.714928000	2012.7		256.1	1.7	22.405	227.29								
T	40.786128000	-98.715365000	2014.2		260.1	1.3	22.428	122.85								
T	40.786040000	-98.716224000	2022.0		262.3	3.2	22.473	240.03								
T	40.786004000	-98.717166000	2014.5		267.1	-2.9	22.523	261.19								
T	40.786002000	-98.719083000	2009.9		269.9	-0.9	22.623	530.87								
T	40.785973000	-98.720025000	2016.1		267.7	2.4	22.673	261.08								
T	40.785919000	-98.720537000	2013.6		262.1	-1.8	22.700	143.14								
T	40.785833000	-98.721081000	2011.5		258.2	-1.3	22.729	153.87								
T	40.785720000	-98.721616000	2023.1		254.4	7.5	22.758	153.77								
T	40.785576000	-98.722203000	2024.0		252.0	0.6	22.791	170.81								
T	40.785425000	-98.722635000	2021.9		245.2	-1.6	22.816	131.68								
T	40.785227000	-98.723128000	2016.5		242.1	-3.5	22.845	154.41								
T	40.785003000	-98.723645000	2011.2		240.2	-3.2	22.876	164.80								
T	40.784786000	-98.724047000	2013.7		234.5	1.8	22.902	136.54								
T	40.784650000	-98.724286000	2014.9		233.1	1.5	22.918	82.68								
T	40.784440000	-98.724613000	2014.5		229.7	-0.4	22.940	118.55								
T	40.784144000	-98.725029000	2018.0		226.8	2.2	22.970	157.80								
T	40.783329000	-98.726072000	2021.0		224.1	0.7	23.048	414.25								
T	40.783074000	-98.726414000	2017.7		225.4	-2.4	23.073	132.67								
T	40.782858000	-98.726734000	2018.5		228.3	0.7	23.096	118.52								
T	40.782615000	-98.727169000	2019.1		233.6	0.4	23.124	149.50								
T	40.782446000	-98.727514000	2017.7		237.1	-1.2	23.146	113.67								
T	40.782259000	-98.727959000	2017.7		241.0	0.0	23.172	140.82								
T	40.782134000	-98.728314000	2020.8		245.1	2.8	23.193	108.35								
T	40.781970000	-98.728872000	2021.3		248.8	0.3	23.224	165.68								
T	40.780594000	-98.733975000	2031.7		250.4	0.7	23.508	1499.53								
T	40.779986000	-98.736170000	2022.6		249.9	-1.4	23.631	647.00								
T	40.779351000	-98.738316000	2022.0		248.7	-0.1	23.752	637.78								
T	40.778974000	-98.739519000	2021.6		247.5	-0.1	23.820	360.38								
T	40.778628000	-98.740705000	2026.0		248.9	1.3	23.887	351.83								
T	40.777000000	-98.746640000	2021.8		250.1	-0.2	24.217	1747.49								
T	40.774755000	-98.754937000	2031.5		250.3	0.4	24.679	2439.22								
T	40.771830000	-98.765506000	2030.5		249.9	-0.0	25.269	3115.32								
T	40.769400000	-98.774406000	2040.2		250.2	0.4	25.766	2619.36								
T	40.768174000	-98.778936000	2036.8		250.3	-0.3	26.018	1331.93								
T	40.765576000	-98.788391000	2044.0		250.1	0.3	26.545	2784.87								
T	40.762936000	-98.798062000	2047.3		250.2	0.1	27.084	2846.45								
T	40.757733000	-98.817041000	2053.2		250.1	0.1	28.143	5589.07								
T	40.755654000	-98.824572000	2059.1		250.0	0.3	28.563	2219.68								
T	40.753601000	-98.832098000	2055.4		250.2	-0.2	28.983	2215.22								
T	40.752521000	-98.835987000	2063.4		249.9	0.7	29.200	1147.09								
