type	latitude	longitude	altitude (ft)	vmg (mph)	course	slope (%)	distance (mi)	distance_interval (ft)	color	opacity	width	scale	sym	name	desc	kml_folder
T	39.069882000	-95.671861000	892.2		13.1	4.3	2.726	61.33								
T	39.070364000	-95.671641000	891.9		19.5	-0.2	2.761	186.34								
T	39.070435000	-95.671611000	891.4		18.2	-1.6	2.766	27.23								
T	39.070490000	-95.671588000	891.2		18.0	-1.0	2.770	21.07								
T	39.070623000	-95.671522000	891.1		21.1	-0.3	2.780	51.94								
T	39.071020000	-95.671351000	889.9		18.5	-0.8	2.809	152.53								
T	39.071146000	-95.671297000	888.7		18.4	-2.5	2.818	48.39								
T	39.071286000	-95.671244000	887.0		16.4	-3.1	2.828	53.17								
T	39.071439000	-95.671171000	885.8		20.3	-2.0	2.839	59.46								
T	39.071528000	-95.671135000	885.8		17.4	0.0	2.846	33.99								
T	39.071581000	-95.671109000	885.9		20.8	0.2	2.850	20.67								
T	39.071824000	-95.671010000	892.4		17.6	7.1	2.867	92.86								
T	39.071951000	-95.670956000	895.7		18.3	6.7	2.876	48.73								
T	39.072177000	-95.670857000	895.9		18.8	0.2	2.893	86.98								
T	39.072291000	-95.670800000	895.2		21.2	-1.6	2.901	44.56								
T	39.072408000	-95.670750000	894.0		18.4	-2.6	2.910	44.92								
T	39.072791000	-95.670563000	892.5		20.8	-1.0	2.938	149.26								
T	39.073026000	-95.670483000	893.2		14.8	0.8	2.955	88.56								
T	39.073620000	-95.670222000	887.9		18.8	-2.3	2.998	228.69								
T	39.073689000	-95.670200000	889.2		13.9	5.2	3.003	25.90								
T	39.073811000	-95.670146000	891.7		19.0	5.3	3.012	47.01								
T	39.075099000	-95.669596000	892.9		18.3	0.2	3.106	494.43								
T	39.076378000	-95.669050000	894.4		18.3	0.3	3.199	490.96								
T	39.076508000	-95.668990000	893.1		19.7	-2.6	3.208	50.32								
T	39.076691000	-95.668912000	892.9		18.3	-0.2	3.221	70.24								
T	39.078928000	-95.667947000	885.1		18.5	-0.9	3.384	859.60								
T	39.079841000	-95.667554000	888.0		18.5	0.8	3.451	350.76								
T	39.080223000	-95.667389000	885.3		18.5	-1.8	3.478	146.81								
T	39.080364000	-95.667328000	884.7		18.6	-1.2	3.489	54.20								
T	39.080852000	-95.667117000	890.5		18.6	3.1	3.524	187.57								
T	39.080956000	-95.667072000	893.3		18.6	7.0	3.532	39.98								
T	39.081154000	-95.666986000	899.0		18.6	7.4	3.546	76.14								
T	39.081367000	-95.666894000	900.0		18.5	1.3	3.562	81.86								
T	39.081414000	-95.666874000	900.2		18.3	1.3	3.565	18.04								
T	39.081996000	-95.666622000	895.7		18.6	-2.0	3.608	223.73								
T	39.082190000	-95.666538000	895.7		18.6	0.0	3.622	74.58								
T	39.082784000	-95.666284000	892.5		18.4	-1.4	3.665	228.05								
T	39.082915000	-95.666228000	894.9		18.4	4.9	3.674	50.29								
T	39.083231000	-95.666093000	898.6		18.3	3.0	3.697	121.31								
T	39.083371000	-95.666033000	897.5		18.4	-2.0	3.708	53.76								
T	39.083481000	-95.665983000	897.7		19.4	0.3	3.716	42.51								
T	39.083539000	-95.665957000	897.7		19.2	0.3	3.720	22.38								
T	39.083704000	-95.665892000	897.9		17.0	0.3	3.732	62.87								
T	39.084007000	-95.665758000	896.2		18.9	-1.5	3.754	116.73								
T	39.084217000	-95.665664000	893.1		19.2	-3.8	3.769	81.01								
T	39.084231000	-95.665658000	892.8		18.4	-4.4	3.770	5.38								
T	39.084286000	-95.665635000	891.9		18.0	-4.4	3.774	21.07								
T	39.084407000	-95.665605000	890.1		10.9	-4.0	3.783	44.89								
T	39.084484000	-95.665573000	889.8		17.9	-1.3	3.788	29.48								
T	39.084767000	-95.665452000	893.9		18.4	3.9	3.809	108.65								
T	39.084898000	-95.665375000	895.2		24.5	2.5	3.819	52.48								
T	39.085033000	-95.665292000	895.7		25.5	0.8	3.829	54.52								
T	39.085331000	-95.665175000	894.2		16.9	-1.3	3.851	113.51								
T	39.085516000	-95.665129000	892.4		10.9	-2.6	3.864	68.64								
T	39.085790000	-95.665032000	889.9		15.4	-2.5	3.883	103.53								
T	39.085837000	-95.665016000	889.5		14.8	-1.9	3.887	17.71								
T	39.086108000	-95.664938000	892.4		12.6	2.8	3.906	101.16								
T	39.086257000	-95.664895000	893.0		12.6	1.2	3.916	55.63								
T	39.086490000	-95.664844000	894.8		9.6	2.0	3.933	86.09								
T	39.086547000	-95.664831000	895.1		10.0	1.7	3.937	21.09								
T	39.086587000	-95.664822000	895.3		9.9	1.5	3.939	14.79								
T	39.086702000	-95.664796000	895.4		10.0	0.1	3.947	42.53								
T	39.086774000	-95.664780000	894.7		9.8	-2.6	3.952	26.61								
T	39.086792000	-95.664776000	894.5		9.8	-2.9	3.954	6.65								
T	39.086932000	-95.664777000	893.2		359.7	-2.6	3.963	50.99								
T	39.087045000	-95.664752000	893.8		9.7	1.5	3.971	41.77								
T	39.087098000	-95.664740000	894.3		10.0	2.5	3.975	19.60								
T	39.087480000	-95.664692000	898.4		5.6	2.9	4.001	139.80								
T	39.087635000	-95.664659000	896.6		9.4	-3.1	4.012	57.23								
T	39.087802000	-95.664621000	894.3		10.0	-3.8	4.024	61.78								
T	39.088260000	-95.664608000	892.4		1.3	-1.1	4.056	166.86								
T	39.088330000	-95.664616000	892.4		354.9	0.0	4.060	25.60								
T	39.088350000	-95.664618000	892.4		355.6	0.0	4.062	7.31								
T	39.088435000	-95.664626000	892.4		355.8	0.0	4.068	31.04								
T	39.088591000	-95.664628000	892.4		359.4	0.0	4.078	56.82								
T	39.088735000	-95.664629000	892.9		359.7	0.9	4.088	52.45								
T	39.088839000	-95.664630000	893.3		359.6	1.1	4.096	37.88								
T	39.089039000	-95.664623000	892.4		1.6	-1.2	4.109	72.87								
T	39.089096000	-95.664625000	891.9		358.4	-2.3	4.113	20.77								
T	39.089192000	-95.664588000	892.1		16.7	0.5	4.120	36.51								
T	39.089359000	-95.664524000	892.2		16.6	0.1	4.132	63.48								
T	39.089463000	-95.664510000	891.6		6.0	-1.5	4.139	38.09								
T	39.089554000	-95.664477000	892.0		15.7	1.1	4.146	34.44								
T	39.089642000	-95.664433000	892.6		21.2	1.7	4.153	34.40								
T	39.089720000	-95.664372000	894.1		31.3	4.5	4.159	33.27								
