type	latitude	longitude	altitude (ft)	vmg (mph)	course	slope (%)	distance (mi)	distance_interval (ft)	color	opacity	width	scale	sym	name	desc	kml_folder
T	42.903019000	-112.502726000	4426.8		299.7	0.2	3.895	335.62								
T	42.903270000	-112.503366000	4410.0		298.2	-8.6	3.931	194.36								
T	42.903327000	-112.503511000	4409.4		298.2	-1.3	3.940	44.06								
T	42.903465000	-112.503863000	4412.6		298.2	2.9	3.960	106.89								
T	42.903522000	-112.503998000	4413.9		300.0	3.2	3.968	41.71								
T	42.903698000	-112.504418000	4421.1		299.8	5.6	3.992	129.53								
T	42.904104000	-112.505455000	4404.5		298.1	-5.3	4.052	314.80								
T	42.905094000	-112.507874000	4406.2		299.2	0.2	4.193	741.81								
T	42.905294000	-112.508351000	4409.4		299.8	2.2	4.220	147.13								
T	42.905465000	-112.508760000	4408.3		299.7	-0.9	4.244	126.07								
T	42.905746000	-112.509516000	4407.0		296.9	-0.6	4.287	226.98								
T	42.906309000	-112.510927000	4400.7		298.6	-1.5	4.369	430.15								
T	42.906701000	-112.511873000	4403.6		299.5	1.0	4.424	290.95								
T	42.906854000	-112.512256000	4401.3		298.6	-2.0	4.446	116.79								
T	42.907269000	-112.513276000	4410.9		299.1	3.1	4.505	312.35								
T	42.907728000	-112.514413000	4409.1		298.9	-0.5	4.571	347.54								
T	42.907898000	-112.514857000	4411.9		297.6	2.1	4.596	134.13								
T	42.908077000	-112.515335000	4415.1		297.1	2.2	4.624	143.73								
T	42.908249000	-112.515834000	4411.7		295.2	-2.3	4.652	147.66								
T	42.908442000	-112.516452000	4417.5		293.1	3.2	4.686	179.90								
T	42.908601000	-112.516992000	4409.2		291.9	-5.3	4.715	155.85								
T	42.908766000	-112.517601000	4402.3		290.3	-4.0	4.748	173.89								
T	42.908966000	-112.518433000	4419.9		288.2	7.5	4.792	234.52								
T	42.909294000	-112.519794000	4425.6		288.2	1.5	4.865	383.73								
T	42.909664000	-112.521349000	4436.4		288.0	2.5	4.948	437.89								
T	42.909844000	-112.522097000	4435.5		288.2	-0.4	4.988	210.87								
T	42.910253000	-112.523827000	4430.0		287.9	-1.1	5.080	486.87								
T	42.910509000	-112.524892000	4439.9		288.2	3.3	5.137	300.19								
T	42.910644000	-112.525457000	4430.8		288.1	-5.7	5.167	159.17								
T	42.910770000	-112.526192000	4434.9		283.2	2.0	5.205	202.20								
T	42.910904000	-112.527040000	4433.7		282.2	-0.5	5.250	232.38								
T	42.910635000	-112.527210000	4434.9		204.8	1.1	5.270	108.11								
T	42.910581000	-112.527295000	4434.6		229.1	-1.0	5.276	30.10								
T	42.910552000	-112.527413000	4433.5		251.5	-3.3	5.282	33.33								
T	42.910541000	-112.527460000	4433.2		252.3	-2.3	5.285	13.21								
T	42.910538000	-112.527711000	4432.7		269.1	-0.8	5.297	67.25								
T	42.910672000	-112.528714000	4432.6		280.3	-0.0	5.349	273.12								
T	42.910693000	-112.529153000	4438.7		273.7	5.2	5.371	117.86								
T	42.910689000	-112.530024000	4443.7		269.6	2.1	5.415	233.35								
T	42.910639000	-112.531137000	4442.3		266.5	-0.5	5.472	298.74								
T	42.910572000	-112.531917000	4442.0		263.3	-0.1	5.512	210.39								
T	42.910478000	-112.532767000	4448.8		261.4	2.9	5.556	230.29								
T	42.910349000	-112.533558000	4453.2		257.4	2.0	5.597	217.07								
T	42.910269000	-112.533941000	4459.3		254.1	5.6	5.617	106.67								
T	42.910088000	-112.535046000	4459.9		257.4	0.2	5.674	303.30								
T	42.909927000	-112.535732000	4465.8		252.2	3.0	5.711	192.93								
T	42.909706000	-112.536676000	4458.6		252.3	-2.7	5.761	265.43								
T	42.909445000	-112.537738000	4464.8		251.5	2.1	5.818	300.01								
T	42.909237000	-112.538593000	4471.6		251.6	2.8	5.864	241.29								
T	42.909089000	-112.539265000	4469.1		253.3	-1.3	5.899	187.95								
T	42.908827000	-112.540410000	4465.8		252.7	-1.0	5.960	321.28								
T	42.908592000	-112.541391000	4455.6		251.9	-3.7	6.012	276.43								
T	42.908388000	-112.542285000	4461.3		252.7	2.3	6.060	250.79								
T	42.908112000	-112.543553000	4468.4		253.4	2.0	6.127	354.30								
T	42.907767000	-112.544935000	4455.7		251.2	-3.2	6.201	391.04								
T	42.907264000	-112.547058000	4468.5		252.1	2.1	6.314	597.62								
T	42.906841000	-112.548831000	4455.0		252.0	-2.7	6.409	499.42								
T	42.906508000	-112.550269000	4459.9		252.5	1.2	6.485	403.94								
T	42.906483000	-112.550379000	4459.8		252.8	-0.5	6.491	30.85								
T	42.906219000	-112.551497000	4453.4		252.1	-2.0	6.551	314.62								
T	42.906093000	-112.552100000	4452.5		254.1	-0.5	6.583	167.96								
T	42.905732000	-112.553593000	4449.9		251.7	-0.6	6.662	421.10								
T	42.905652000	-112.553956000	4454.8		253.3	4.8	6.682	101.54								
T	42.905335000	-112.555252000	4456.1		251.5	0.3	6.751	365.96								
T	42.905301000	-112.555399000	4455.7		252.5	-1.0	6.759	41.29								
T	42.904994000	-112.556724000	4452.2		252.4	-0.9	6.829	372.23								
T	42.904616000	-112.558475000	4444.5		253.6	-1.6	6.922	488.97								
T	42.904281000	-112.559845000	4444.1		251.5	-0.1	6.995	386.85								
T	42.904103000	-112.560655000	4443.0		253.3	-0.5	7.038	226.52								
T	42.903265000	-112.564288000	4446.0		252.5	0.3	7.231	1020.22								
T	42.903071000	-112.565091000	4445.4		251.7	-0.3	7.274	226.48								
T	42.902778000	-112.566382000	4445.5		252.8	0.1	7.343	362.02								
T	42.902610000	-112.567097000	4443.7		252.2	-0.9	7.381	201.13								
T	42.902437000	-112.567832000	4442.5		252.2	-0.6	7.420	206.79								
T	42.902301000	-112.568361000	4439.0		250.7	-2.4	7.448	150.16								
T	42.902118000	-112.569202000	4441.0		253.5	0.9	7.493	235.01								
T	42.901780000	-112.570649000	4439.0		252.3	-0.5	7.570	406.82								
T	42.900947000	-112.574194000	4450.0		252.2	1.1	7.759	997.22								
T	42.900496000	-112.576140000	4461.9		252.4	2.2	7.862	546.73								
T	42.900083000	-112.577935000	4457.1		252.6	-0.9	7.958	503.98								
T	42.899551000	-112.580218000	4474.4		252.4	2.7	8.079	641.74								
T	42.899118000	-112.582076000	4475.8		252.4	0.3	8.178	522.28								
T	42.898983000	-112.582671000	4477.6		252.8	1.1	8.210	166.86								
T	42.898910000	-112.582966000	4477.9		251.3	0.4	8.226	83.41								
T	42.898592000	-112.584343000	4470.2		252.5	-2.0	8.299	386.76								
T	42.897956000	-112.587125000	4460.6		252.7	-1.2	8.447	780.68								
T	42.897858000	-112.587533000	4461.7		251.8	0.9	8.469	115.02								
T	42.897746000	-112.587940000	4459.6		249.4	-1.8	8.491	116.45								
T	42.897647000	-112.588273000	4458.0		247.9	-1.7	8.509	96.25								
T	42.897510000	-112.588709000	4455.4		246.8	-2.0	8.533	127.06								
T	42.897412000	-112.589009000	4459.4		246.0	4.5	8.550	87.97								
T	42.897278000	-112.589403000	4463.1		245.1	3.2	8.572	116.33								
T	42.897173000	-112.589711000	4461.4		245.0	-1.9	8.589	90.98								
T	42.897066000	-112.590038000	4460.1		245.9	-1.3	8.607	95.91								
T	42.896965000	-112.590370000	4458.8		247.4	-1.3	8.625	96.28								
T	42.896859000	-112.590756000	4461.3		249.5	2.3	8.646	110.42								
T	42.896744000	-112.591189000	4464.3		250.1	2.4	8.669	123.37								
T	42.896634000	-112.591646000	4465.2		251.8	0.7	8.694	128.86								
T	42.896320000	-112.592995000	4459.4		252.4	-1.5	8.766	379.18								
