type	latitude	longitude	altitude (ft)	vmg (mph)	course	slope (%)	distance (mi)	distance_interval (ft)	color	opacity	width	scale	sym	name	desc	kml_folder
T	42.324937000	-111.244190000	6185.4		58.2	1.1	3.128	1997.50								
T	42.325228000	-111.243550000	6186.4		58.4	0.5	3.166	202.98								
T	42.325459000	-111.243127000	6186.8		53.5	0.3	3.193	142.03								
T	42.325583000	-111.242917000	6187.6		51.4	1.2	3.207	72.58								
T	42.325949000	-111.242363000	6193.4		48.2	2.9	3.245	200.59								
T	42.326212000	-111.241973000	6196.3		47.6	2.0	3.272	142.51								
T	42.326540000	-111.241574000	6203.8		42.0	4.7	3.302	161.03								
T	42.326742000	-111.241360000	6213.1		38.1	9.9	3.320	93.64								
T	42.327387000	-111.240765000	6223.0		34.3	3.5	3.374	284.86								
T	42.327689000	-111.240546000	6213.9		28.2	-7.3	3.398	124.98								
T	42.328222000	-111.240107000	6221.1		31.3	3.2	3.441	227.65								
T	42.328415000	-111.239913000	6213.5		36.6	-8.6	3.457	87.75								
T	42.328605000	-111.239699000	6207.0		39.8	-7.2	3.474	90.24								
T	42.328752000	-111.239523000	6213.5		41.5	9.1	3.488	71.66								
T	42.328853000	-111.239394000	6214.7		43.4	2.3	3.498	50.71								
T	42.329293000	-111.238857000	6219.8		42.1	2.4	3.539	216.33								
T	42.329392000	-111.238744000	6220.8		40.2	2.1	3.548	47.28								
T	42.329649000	-111.238347000	6228.6		48.8	5.5	3.575	142.47								
T	42.329715000	-111.238212000	6227.5		56.5	-2.5	3.583	43.72								
T	42.329786000	-111.238044000	6226.5		60.2	-2.0	3.593	52.28								
T	42.329898000	-111.237747000	6237.5		63.0	12.2	3.610	90.09								
T	42.329988000	-111.237471000	6246.4		66.2	10.9	3.625	81.52								
T	42.330008000	-111.237373000	6249.1		74.6	9.8	3.630	27.48								
T	42.330122000	-111.236818000	6248.1		74.5	-0.6	3.660	155.72								
T	42.330298000	-111.236292000	6229.1		65.6	-12.2	3.689	156.03								
T	42.330445000	-111.235916000	6228.8		62.1	-0.3	3.711	114.92								
T	42.330592000	-111.235537000	6231.8		62.3	2.6	3.733	115.64								
T	42.330854000	-111.234842000	6239.3		63.0	3.6	3.773	210.80								
T	42.330922000	-111.234642000	6241.2		65.3	3.2	3.784	59.49								
T	42.331042000	-111.234321000	6242.6		63.2	1.5	3.803	97.19								
T	42.331218000	-111.233865000	6242.7		62.4	0.0	3.829	138.99								
T	42.331542000	-111.232979000	6253.0		63.7	3.9	3.880	267.10								
T	42.331749000	-111.232422000	6257.6		63.3	2.7	3.912	168.45								
T	42.331832000	-111.232217000	6257.1		61.3	-0.8	3.923	63.15								
T	42.332050000	-111.231636000	6252.4		63.1	-2.7	3.957	176.05								
T	42.332488000	-111.230467000	6248.9		63.1	-1.0	4.024	354.12								
T	42.332845000	-111.229498000	6253.8		63.5	1.7	4.079	292.54								
T	42.333222000	-111.228481000	6256.3		63.4	0.8	4.138	307.41								
T	42.333428000	-111.227914000	6259.4		63.8	1.8	4.170	170.71								
T	42.333603000	-111.227478000	6259.3		61.5	-0.0	4.195	134.04								
T	42.333969000	-111.226464000	6286.0		64.0	8.8	4.253	304.90								
T	42.334147000	-111.225908000	6287.3		66.6	0.8	4.284	163.74								
T	42.334207000	-111.225686000	6287.1		69.9	-0.2	4.296	63.89								
T	42.334316000	-111.225285000	6282.4		69.8	-4.1	4.318	115.48								
T	42.334362000	-111.225041000	6278.0		75.7	-6.5	4.331	68.07								
T	42.334372000	-111.224988000	6276.9		75.7	-7.1	4.334	14.79								
T	42.334419000	-111.224602000	6277.3		80.6	0.4	4.354	105.77								
T	42.334466000	-111.224142000	6275.4		82.1	-1.5	4.377	125.55								
T	42.334544000	-111.223270000	6262.0		83.1	-5.6	4.422	237.49								
T	42.334638000	-111.222309000	6281.1		82.5	7.3	4.472	262.09								
T	42.334683000	-111.221856000	6285.4		82.3	3.5	4.496	123.58								
T	42.334745000	-111.221572000	6291.0		73.5	6.9	4.511	80.05								
T	42.334827000	-111.221291000	6294.8		68.5	4.6	4.526	81.65								
T	42.334983000	-111.220870000	6292.5		63.4	-1.8	4.550	127.24								
T	42.335097000	-111.220632000	6295.8		57.1	4.3	4.565	76.60								
T	42.335220000	-111.220438000	6302.4		49.4	9.5	4.578	69.00								
T	42.335358000	-111.220235000	6306.3		47.4	5.3	4.592	74.45								
T	42.335546000	-111.220013000	6312.4		41.1	6.7	4.609	91.09								
T	42.335735000	-111.219857000	6323.6		31.4	13.9	4.624	80.77								
T	42.335991000	-111.219666000	6333.8		28.9	9.5	4.645	106.64								
T	42.336259000	-111.219460000	6335.0		29.6	1.1	4.666	112.43								
T	42.336532000	-111.219234000	6344.6		31.5	8.2	4.688	116.76								
T	42.336716000	-111.219030000	6352.0		39.3	8.5	4.704	86.83								
T	42.336862000	-111.218827000	6352.4		45.8	0.6	4.719	76.44								
T	42.336992000	-111.218621000	6342.0		49.5	-14.2	4.733	73.12								
T	42.337103000	-111.218402000	6339.6		55.6	-3.4	4.746	71.71								
T	42.337221000	-111.218131000	6332.3		59.5	-8.6	4.762	84.96								
T	42.337319000	-111.217799000	6336.4		68.2	4.2	4.781	96.61								
T	42.337390000	-111.217492000	6341.3		72.6	5.6	4.797	86.95								
T	42.337424000	-111.217240000	6343.1		79.7	2.7	4.810	69.25								
T	42.337451000	-111.216931000	6344.5		83.3	1.6	4.826	84.12								
T	42.337444000	-111.216618000	6355.6		91.7	13.2	4.842	84.67								
T	42.337416000	-111.215901000	6377.7		93.0	11.4	4.879	194.13								
T	42.337406000	-111.215485000	6371.4		91.9	-5.6	4.900	112.54								
T	42.337430000	-111.215189000	6365.5		83.7	-7.3	4.916	80.51								
T	42.337465000	-111.214959000	6353.3		78.4	-19.2	4.928	63.48								
T	42.337515000	-111.214738000	6339.6		73.0	-22.0	4.940	62.47								
T	42.337601000	-111.214462000	6337.3		67.1	-2.8	4.955	80.94								
T	42.337731000	-111.214138000	6348.8		61.5	11.5	4.974	99.59								
T	42.337888000	-111.213847000	6363.4		53.9	15.1	4.992	97.28								
T	42.338062000	-111.213557000	6368.9		50.9	5.4	5.011	100.84								
T	42.338284000	-111.213306000	6368.3		39.9	-0.5	5.031	105.60								
T	42.338492000	-111.213071000	6367.3		39.9	-1.0	5.050	98.91								
T	42.339055000	-111.212573000	6367.4		33.2	0.0	5.096	245.41								
T	42.339514000	-111.212179000	6374.1		32.4	3.4	5.134	198.32								
T	42.339780000	-111.211922000	6358.1		35.5	-13.4	5.157	119.27								
T	42.340332000	-111.211427000	6353.5		33.5	-1.9	5.202	241.62								
T	42.340636000	-111.211119000	6366.4		36.8	9.3	5.229	138.59								
T	42.340944000	-111.210774000	6369.3		39.6	2.0	5.256	145.94								
T	42.341255000	-111.210344000	6359.6		45.6	-6.0	5.287	162.36								
T	42.341628000	-111.209802000	6369.4		47.0	4.9	5.325	199.88								
T	42.342479000	-111.208606000	6395.4		46.1	5.8	5.410	448.04								
T	42.343749000	-111.206885000	6395.4		45.0	0.0	5.534	656.28								
T	42.343984000	-111.206400000	6407.8		56.8	7.9	5.564	156.61								
T	42.344026000	-111.206313000	6410.0		56.8	7.9	5.569	28.06								
T	42.344324000	-111.205633000	6421.3		59.3	5.3	5.609	213.52								
T	42.344386000	-111.205423000	6423.7		68.2	4.0	5.621	61.10								
T	42.344513000	-111.204989000	6434.1		68.4	8.2	5.645	126.13								
T	42.344656000	-111.204390000	6433.0		72.1	-0.6	5.677	170.12								
T	42.344717000	-111.203710000	6410.5		83.1	-12.2	5.712	185.18								
T	42.344739000	-111.203464000	6403.6		83.1	-10.2	5.725	66.99								
T	42.344740000	-111.202565000	6405.2		89.9	0.7	5.771	243.04								
T	42.344594000	-111.201493000	6404.8		100.4	-0.1	5.827	294.66								
T	42.344320000	-111.200257000	6386.1		106.7	-5.4	5.893	348.75								
T	42.344032000	-111.199148000	6411.9		109.4	8.1	5.953	317.66								
T	42.343965000	-111.198693000	6420.6		101.3	6.9	5.977	125.41								
T	42.343933000	-111.198130000	6418.2		94.4	-1.6	6.006	152.65								
T	42.343987000	-111.197503000	6418.9		83.4	0.4	6.038	170.65								
T	42.344182000	-111.196824000	6435.8		68.8	8.6	6.075	196.84								
T	42.344338000	-111.196389000	6441.3		64.1	4.2	6.100	130.62								
T	42.344533000	-111.195675000	6444.5		69.7	1.5	6.139	205.70								
T	42.344585000	-111.195101000	6444.3		83.0	-0.1	6.168	156.33								
T	42.344518000	-111.194007000	6427.4		94.7	-5.7	6.225	296.77								
T	42.344513000	-111.193918000	6423.9		94.3	-14.6	6.229	24.13								
T	42.344379000	-111.193037000	6408.2		101.6	-6.4	6.275	243.13								
T	42.344351000	-111.192942000	6406.1		111.7	-7.7	6.281	27.64								
T	42.344192000	-111.192400000	6402.7		111.6	-2.2	6.310	157.57								
T	42.343816000	-111.191654000	6405.9		124.3	1.3	6.357	243.83								
T	42.343311000	-111.191072000	6402.4		139.6	-1.4	6.402	242.13								
T	42.342592000	-111.190225000	6402.4		139.0	0.0	6.468	347.99								
T	42.341450000	-111.189023000	6445.3		142.1	8.1	6.568	528.03								
T	42.341130000	-111.188605000	6448.0		136.0	1.7	6.599	162.39								
T	42.340875000	-111.188188000	6454.5		129.6	4.4	6.627	146.11								
T	42.340689000	-111.187839000	6454.0		125.8	-0.4	6.649	116.18								
T	42.340565000	-111.187514000	6453.9		117.3	-0.1	6.667	98.81								
T	42.340473000	-111.187261000	6456.2		116.2	3.0	6.682	76.18								
T	42.340377000	-111.186957000	6457.0		113.1	0.8	6.699	89.33								
T	42.340289000	-111.186569000	6451.4		107.1	-5.0	6.720	109.70								
T	42.340223000	-111.186112000	6448.9		101.1	-2.0	6.743	125.88								
T	42.340183000	-111.185581000	6464.6		95.8	10.9	6.771	144.30								
T	42.340187000	-111.185091000	6471.5		89.4	5.2	6.796	132.49								
T	42.340232000	-111.184524000	6461.2		83.9	-6.7	6.825	154.17								
T	42.340279000	-111.184236000	6456.0		77.5	-6.5	6.840	79.73								
T	42.340354000	-111.183867000	6457.0		74.6	0.9	6.860	103.44								
T	42.340511000	-111.183325000	6455.9		68.6	-0.7	6.890	157.31								
T	42.340667000	-111.182944000	6448.7		61.0	-6.1	6.912	117.66								
T	42.341387000	-111.181358000	6445.3		58.4	-0.7	7.007	502.71								
T	42.341919000	-111.180231000	6452.0		57.4	1.9	7.075	361.15								
T	42.342101000	-111.179834000	6446.8		58.2	-4.1	7.099	126.17								
T	42.342288000	-111.179390000	6440.5		60.3	-4.6	7.125	138.04								
T	42.342432000	-111.179021000	6445.2		62.2	4.1	7.147	112.72								
T	42.342526000	-111.178739000	6450.6		65.7	6.5	7.163	83.58								
T	42.342600000	-111.178489000	6459.6		68.2	12.3	7.176	72.77								
T	42.342669000	-111.177699000	6466.1		83.3	3.0	7.217	215.06								
T	42.342675000	-111.177390000	6461.7		88.5	-5.2	7.233	83.57								
T	42.342671000	-111.177285000	6459.9		93.0	-6.6	7.238	28.42								
T	42.342667000	-111.177183000	6457.9		93.0	-7.0	7.244	27.61								
T	42.342638000	-111.176936000	6451.5		99.0	-9.6	7.256	67.61								
T	42.342603000	-111.176716000	6444.7		102.1	-11.2	7.268	60.83								
