type	latitude	longitude	altitude (ft)	vmg (mph)	course	slope (%)	distance (mi)	distance_interval (ft)	color	opacity	width	scale	sym	name	desc	kml_folder
T	42.903019000	-112.502726000	4426.8		299.7	0.2	3.923	335.62								
T	42.903270000	-112.503366000	4410.0		298.2	-8.6	3.960	194.36								
T	42.903327000	-112.503511000	4409.4		298.2	-1.3	3.968	44.06								
T	42.903465000	-112.503863000	4412.6		298.2	2.9	3.988	106.89								
T	42.903522000	-112.503998000	4413.9		300.0	3.2	3.996	41.71								
T	42.903698000	-112.504418000	4421.1		299.8	5.6	4.021	129.53								
T	42.904104000	-112.505455000	4404.5		298.1	-5.3	4.080	314.80								
T	42.905094000	-112.507874000	4406.2		299.2	0.2	4.221	741.81								
T	42.905294000	-112.508351000	4409.4		299.8	2.2	4.249	147.13								
T	42.905465000	-112.508760000	4408.3		299.7	-0.9	4.273	126.07								
T	42.905746000	-112.509516000	4407.0		296.9	-0.6	4.316	226.98								
T	42.906309000	-112.510927000	4400.7		298.6	-1.5	4.397	430.15								
T	42.906701000	-112.511873000	4403.6		299.5	1.0	4.452	290.95								
T	42.906854000	-112.512256000	4401.3		298.6	-2.0	4.474	116.79								
T	42.907269000	-112.513276000	4410.9		299.1	3.1	4.533	312.35								
T	42.907728000	-112.514413000	4409.1		298.9	-0.5	4.599	347.54								
T	42.907898000	-112.514857000	4411.9		297.6	2.1	4.625	134.13								
T	42.908077000	-112.515335000	4415.1		297.1	2.2	4.652	143.73								
T	42.908249000	-112.515834000	4411.7		295.2	-2.3	4.680	147.66								
T	42.908442000	-112.516452000	4417.5		293.1	3.2	4.714	179.90								
T	42.908601000	-112.516992000	4409.2		291.9	-5.3	4.743	155.85								
T	42.908766000	-112.517601000	4402.3		290.3	-4.0	4.776	173.89								
T	42.908966000	-112.518433000	4419.9		288.2	7.5	4.821	234.52								
T	42.909294000	-112.519794000	4425.6		288.2	1.5	4.894	383.73								
T	42.909664000	-112.521349000	4436.4		288.0	2.5	4.976	437.89								
T	42.909844000	-112.522097000	4435.5		288.2	-0.4	5.016	210.87								
T	42.910253000	-112.523827000	4430.0		287.9	-1.1	5.109	486.87								
T	42.910413000	-112.524492000	4439.3		288.2	4.9	5.144	187.46								
T	42.910509000	-112.524892000	4439.9		288.1	0.5	5.165	112.73								
T	42.910644000	-112.525457000	4430.8		288.1	-5.7	5.196	159.17								
T	42.910770000	-112.526192000	4434.9		283.2	2.0	5.234	202.20								
T	42.910904000	-112.527040000	4433.7		282.2	-0.5	5.278	232.38								
T	42.910944000	-112.527229000	4431.1		286.1	-5.0	5.288	52.69								
T	42.911012000	-112.527442000	4430.3		293.6	-1.3	5.300	62.21								
T	42.911087000	-112.527636000	4432.5		297.8	3.7	5.311	58.72								
T	42.911184000	-112.527854000	4435.3		301.3	4.2	5.324	68.27								
T	42.911300000	-112.528037000	4438.5		310.9	4.8	5.336	64.74								
T	42.911435000	-112.528203000	4440.5		318.0	3.0	5.349	66.32								
T	42.911561000	-112.528334000	4442.3		322.7	3.1	5.359	57.80								
T	42.911790000	-112.528538000	4439.3		326.9	-2.9	5.378	99.77								
T	42.912176000	-112.528831000	4432.4		330.9	-4.3	5.409	161.10								
