type	latitude	longitude	altitude (ft)	vmg (mph)	course	slope (%)	distance (mi)	distance_interval (ft)	color	opacity	width	scale	sym	name	desc	kml_folder
T	41.865579000	-103.735839000	3927.2		359.8	0.0	3.306	96.57								
T	41.865680000	-103.735839000	3927.2		0.0	0.0	3.313	36.80								
T	41.865703000	-103.734226000	3925.3		88.9	-0.4	3.396	439.45								
T	41.865708000	-103.733871000	3917.2		88.9	-8.4	3.414	96.72								
T	41.865708000	-103.733841000	3917.0		90.0	-2.4	3.416	8.17								
T	41.865710000	-103.733749000	3916.4		88.3	-2.4	3.421	25.07								
T	41.865737000	-103.733423000	3916.6		83.7	0.3	3.437	89.34								
T	41.865780000	-103.729334000	3923.9		89.2	0.7	3.648	1113.92								
T	41.865821000	-103.726701000	3898.4		88.8	-3.5	3.784	717.36								
T	41.865865000	-103.723913000	3892.1		88.8	-0.8	3.928	759.59								
T	41.865886000	-103.722601000	3886.1		88.8	-1.7	3.996	357.46								
T	41.865911000	-103.720756000	3897.9		89.0	2.3	4.091	502.64								
T	41.865937000	-103.719304000	3900.3		88.6	0.6	4.166	395.62								
T	41.865969000	-103.716601000	3893.5		89.1	-0.9	4.305	736.36								
T	41.865978000	-103.714272000	3890.5		89.7	-0.5	4.426	634.40								
T	41.866025000	-103.711590000	3888.4		88.7	-0.3	4.564	730.75								
T	41.866044000	-103.709371000	3892.5		89.3	0.7	4.678	604.47								
T	41.866052000	-103.708355000	3897.8		89.4	1.9	4.731	276.76								
T	41.866096000	-103.704575000	3892.8		89.1	-0.5	4.926	1029.76								
T	41.866099000	-103.704192000	3894.2		89.4	1.4	4.946	104.33								
T	41.866124000	-103.701337000	3890.5		89.3	-0.5	5.093	777.72								
T	41.866178000	-103.695363000	3891.1		89.3	0.0	5.401	1627.37								
T	41.866181000	-103.695011000	3888.7		89.3	-2.5	5.419	95.89								
T	41.868562000	-103.694898000	3886.8		2.0	-0.2	5.584	868.19								
T	41.870068000	-103.694848000	3888.9		1.4	0.4	5.688	548.96								
T	41.870612000	-103.694827000	3887.8		1.6	-0.6	5.725	198.32								
T	41.872922000	-103.694775000	3891.4		1.0	0.4	5.885	841.90								
T	41.874005000	-103.694742000	3899.1		1.3	1.9	5.960	394.75								
T	41.874098000	-103.694742000	3898.0		0.0	-3.2	5.966	33.89								
T	41.874254000	-103.694741000	3895.2		0.3	-4.9	5.977	56.85								
T	41.874393000	-103.694741000	3892.0		0.0	-6.3	5.986	50.65								
T	41.874454000	-103.694739000	3890.9		1.4	-5.1	5.991	22.24								
T	41.875349000	-103.694770000	3894.4		358.5	1.1	6.052	326.25								
T	41.876108000	-103.694772000	3900.9		359.9	2.4	6.105	276.58								
T	41.876586000	-103.694751000	3897.6		1.9	-1.9	6.138	174.28								
T	41.877097000	-103.694717000	3897.6		2.8	0.0	6.173	186.44								
T	41.877476000	-103.694686000	3897.6		3.5	0.0	6.199	138.37								
T	41.877915000	-103.694626000	3900.9		5.8	2.0	6.230	160.81								
T	41.878522000	-103.694527000	3898.7		6.9	-1.0	6.272	222.83								
T	41.879026000	-103.694436000	3894.3		7.7	-2.4	6.307	185.33								
T	41.879554000	-103.694321000	3894.4		9.2	0.0	6.344	194.94								
T	41.880185000	-103.694161000	3899.8		10.7	2.3	6.388	234.03								
T	41.880811000	-103.693981000	3895.6		12.1	-1.8	6.432	233.33								
T	41.881452000	-103.693793000	3895.6		12.3	0.0	6.478	239.13								
T	41.882355000	-103.693511000	3898.2		13.1	0.8	6.542	337.90								
T	41.883537000	-103.693162000	3898.0		12.4	-0.0	6.625	441.09								
T	41.883805000	-103.693082000	3900.2		12.5	2.2	6.644	100.06								
T	41.884013000	-103.693004000	3900.6		15.6	0.4	6.659	78.72								
T	41.884145000	-103.692936000	3900.8		21.0	0.4	6.669	51.54								
T	41.884285000	-103.692849000	3900.9		24.8	0.2	6.680	56.25								
T	41.884418000	-103.692740000	3900.5		31.4	-0.8	6.690	56.83								
T	41.884554000	-103.692607000	3898.4		36.1	-3.4	6.702	61.38								
T	41.884688000	-103.692453000	3897.6		40.6	-1.2	6.714	64.37								
T	41.884814000	-103.692285000	3898.5		44.8	1.3	6.726	64.82								
T	41.884930000	-103.692100000	3899.0		49.9	0.8	6.739	65.76								
T	41.885032000	-103.691896000	3897.6		56.1	-2.1	6.751	66.84								
T	41.885135000	-103.691655000	3897.7		60.1	0.1	6.766	75.60								
T	41.885206000	-103.691425000	3899.8		67.5	3.0	6.779	67.76								
T	41.885262000	-103.691178000	3900.9		73.1	1.6	6.792	70.29								
T	41.885303000	-103.690927000	3901.0		77.6	0.2	6.805	69.96								
T	41.885327000	-103.690675000	3900.6		82.7	-0.6	6.818	69.18								
T	41.885338000	-103.690465000	3900.2		86.0	-0.7	6.829	57.32								
T	41.885332000	-103.690233000	3900.3		92.0	0.1	6.841	63.21								
T	41.885305000	-103.689976000	3900.3		98.0	0.1	6.855	70.67								
T	41.885262000	-103.689735000	3898.0		103.5	-3.5	6.867	67.47								
T	41.885202000	-103.689500000	3897.8		108.9	-0.2	6.880	67.62								
T	41.885122000	-103.689264000	3897.6		114.5	-0.3	6.893	70.57								
T	41.885035000	-103.689057000	3897.6		119.4	0.0	6.906	64.67								
T	41.884922000	-103.688843000	3897.2		125.3	-0.5	6.919	71.35								
T	41.884789000	-103.688640000	3896.9		131.3	-0.4	6.933	73.52								
T	41.884637000	-103.688454000	3898.1		137.7	1.5	6.947	75.06								
T	41.884466000	-103.688284000	3897.6		143.5	-0.6	6.962	77.63								
T	41.884316000	-103.688156000	3897.6		147.6	0.1	6.974	64.83								
T	41.884118000	-103.688025000	3897.1		153.8	-0.6	6.990	80.49								
T	41.883911000	-103.687926000	3896.0		160.4	-1.4	7.005	80.10								
T	41.883717000	-103.687857000	3894.7		165.2	-1.9	7.019	73.15								
T	41.883488000	-103.687819000	3893.9		173.0	-1.0	7.035	84.09								
T	41.883230000	-103.687807000	3895.4		178.0	1.6	7.052	94.07								
T	41.883044000	-103.687798000	3897.6		177.9	3.4	7.065	67.82								
T	41.882039000	-103.687781000	3894.4		179.3	-0.9	7.135	366.26								
T	41.881951000	-103.687780000	3894.4		179.5	-0.0	7.141	32.07								
T	41.881712000	-103.687812000	3894.8		185.7	0.4	7.157	87.53								
T	41.881609000	-103.687835000	3895.0		189.4	0.7	7.164	38.05								
T	41.881518000	-103.687871000	3895.5		196.4	1.2	7.171	34.58								
T	41.881431000	-103.687927000	3896.1		205.6	1.9	7.178	35.18								
T	41.881362000	-103.687996000	3896.8		216.7	2.0	7.184	31.39								
T	41.881310000	-103.688070000	3896.7		226.7	-0.2	7.189	27.66								
T	41.881264000	-103.688180000	3896.2		240.7	-1.6	7.195	34.33								
T	41.881236000	-103.688268000	3895.8		246.9	-1.3	7.200	26.05								
T	41.881169000	-103.688654000	3894.9		256.9	-0.8	7.221	107.92								
T	41.881162000	-103.689354000	3891.1		269.2	-2.0	7.257	190.64								
T	41.881175000	-103.689798000	3891.8		272.3	0.6	7.280	121.01								
T	41.881201000	-103.690175000	3894.0		275.3	2.1	7.299	103.10								
T	41.881237000	-103.690522000	3897.2		277.9	3.4	7.317	95.40								
T	41.881288000	-103.690873000	3898.7		281.0	1.5	7.336	97.38								
T	41.881351000	-103.691239000	3900.7		283.0	1.9	7.355	102.28								
T	41.881433000	-103.691603000	3903.0		286.8	2.3	7.375	103.53								
T	41.881524000	-103.691942000	3904.3		289.8	1.3	7.393	98.09								
T	41.881634000	-103.692313000	3900.2		291.7	-3.7	7.414	108.69								
T	41.881753000	-103.692651000	3896.4		295.3	-3.8	7.433	101.75								
T	41.881912000	-103.693052000	3896.9		298.0	0.4	7.457	123.62								
T	41.882065000	-103.693382000	3895.8		301.9	-1.0	7.477	105.76								
T	41.882239000	-103.693710000	3897.6		305.5	1.7	7.497	109.54								
T	41.882382000	-103.693951000	3898.1		308.6	0.5	7.513	83.80								
T	41.882575000	-103.694241000	3900.9		311.8	2.7	7.533	105.75								
T	41.882740000	-103.694469000	3901.2		314.2	0.3	7.550	86.43								
T	41.883064000	-103.694919000	3901.0		314.0	-0.1	7.582	170.17								
T	41.883938000	-103.696175000	3901.7		313.1	0.1	7.670	467.35								
T	41.884339000	-103.696737000	3903.8		313.8	1.0	7.710	211.60								
T	41.884725000	-103.697302000	3906.5		312.5	1.3	7.750	208.46								
T	41.885345000	-103.698186000	3901.7		313.3	-1.5	7.812	330.14								
T	41.886206000	-103.699482000	3905.3		311.7	0.8	7.902	472.21								
T	41.886804000	-103.700355000	3911.9		312.6	2.1	7.963	322.49								
T	41.887412000	-103.701255000	3907.4		312.2	-1.4	8.026	330.38								
T	41.887801000	-103.701779000	3902.6		314.9	-2.4	8.064	201.13								
T	41.887994000	-103.702042000	3898.1		314.6	-4.5	8.083	100.37								
T	41.888686000	-103.703052000	3900.9		312.6	0.8	8.153	373.13								
T	41.889746000	-103.704562000	3906.1		313.3	0.9	8.260	564.14								
T	41.890364000	-103.705442000	3900.6		313.3	-1.7	8.322	328.83								
T	41.891458000	-103.706986000	3904.4		313.6	0.7	8.432	579.37								
T	41.891732000	-103.707372000	3900.5		313.6	-2.7	8.460	144.97								
T	41.893940000	-103.710529000	3901.8		313.2	0.1	8.683	1177.40								
T	41.894034000	-103.710662000	3903.2		313.5	2.9	8.692	49.85								
T	41.895430000	-103.712644000	3917.5		313.4	1.9	8.833	741.62								
T	41.896127000	-103.713671000	3907.5		312.4	-2.7	8.904	377.75								
T	41.896197000	-103.713768000	3908.1		314.1	1.5	8.911	36.72								
T	41.896240000	-103.713827000	3908.7		314.4	2.7	8.915	22.44								
T	41.896835000	-103.714644000	3916.4		314.4	2.5	8.974	310.63								
