Distance [m],Altitude [m],Slope [rad],Interval [m],Latitude [deg],Longitude [deg],Altitude [ft],Slope [%],Distance [mi],Interval [ft]
2613.574656,290.84016,-0.0179980563778262,11.469624,39.054746,-95.678357,954.2,-1.8,1.624,37.63
2753.587584,288.58464,-0.0159986348763435,140.713968,39.055949,-95.677845,946.8,-1.6,1.711,461.66
2764.852992,288.24936,-0.0309900753885694,10.415016,39.056038,-95.677807,945.7,-3.1,1.718,34.17
2776.1184,288.00552,-0.0239953935918699,11.058144,39.05613,-95.677758,944.9,-2.4,1.725,36.28
2864.63232,288.12744,0.000999999666666867,89.629488,39.056895,-95.677427,945.3,0.1,1.78,294.06
2875.897728,287.70072,-0.0389802450252585,10.991088,39.056993,-95.677409,943.9,-3.9,1.787,36.06
2895.209856,286.90824,-0.0409770494767878,19.376136,39.057158,-95.677336,941.3,-4.1,1.799,63.57
2916.131328,286.11576,-0.0389802450252585,20.403312,39.057333,-95.677264,938.7,-3.9,1.812,66.94
2927.396736,285.65856,-0.0429735270295798,10.899648,39.057418,-95.677201,937.2,-4.3,1.819,35.76
2937.0528,285.2928,-0.0309900753885694,10.951464,39.057504,-95.677139,936,-3.1,1.825,35.93
2978.895744,285.1404,-0.00399997866687146,41.891712,39.057862,-95.676986,935.5,-0.4,1.851,137.44
2990.161152,285.10992,-0.00499995833395832,10.83564,39.057959,-95.676972,935.4,-0.5,1.858,35.55
3067.409664,281.97048,-0.03997868712329,77.528928,39.05862,-95.676683,925.1,-4,1.906,254.36
3104.424576,280.69032,-0.0359844600820516,35.969448,39.058932,-95.676571,920.9,-3.6,1.929,118.01
3213.859968,275.72208,-0.0449696618523276,110.191296,39.059873,-95.676166,904.6,-4.5,1.997,361.52
3229.953408,275.9964,0.0179980563778262,15.556992,39.06,-95.67609,905.5,1.8,2.007,51.04
3246.046848,275.66112,-0.0219964516970369,15.779496,39.060135,-95.676033,904.4,-2.2,2.017,51.77
3299.1552,277.12416,0.0279926861068139,53.34,39.06059,-95.675835,909.2,2.8,2.05,175
3334.560768,277.30704,0.00499995833395832,35.734752,39.060895,-95.675703,909.8,0.5,2.072,117.24
3378.013056,275.3868,-0.0439716382710356,43.424856,39.061266,-95.675544,903.5,-4.4,2.099,142.47
3458.480256,273.8628,-0.0189977141617588,80.561688,39.061954,-95.675248,898.5,-1.9,2.149,264.31
3699.881856,268.01064,-0.0239953935918699,240.865152,39.064011,-95.674363,879.3,-2.4,2.299,790.24
4340.400768,271.66824,0.00599992800155516,640.525008,39.069481,-95.672009,891.3,0.6,2.697,2101.46
4367.759616,271.15008,-0.0189977141617588,27.669744,39.069718,-95.67191,889.6,-1.9,2.714,90.78
4387.071744,271.94256,0.0429735270295798,18.693384,39.069882,-95.671861,892.2,4.3,2.726,61.33
4443.398784,271.85112,-0.00199999733333973,56.796432,39.070364,-95.671641,891.9,-0.2,2.761,186.34
4451.445504,271.69872,-0.0159986348763435,8.299704,39.070435,-95.671611,891.4,-1.6,2.766,27.23
4457.88288,271.63776,-0.00999966668666524,6.422136,39.07049,-95.671588,891.2,-1,2.77,21.07
4473.97632,271.60728,-0.0029999910000486,15.831312,39.070623,-95.671522,891.1,-0.3,2.78,51.94
4520.647296,271.24152,-0.00799982933988663,46.491144,39.07102,-95.671351,889.9,-0.8,2.809,152.53
4535.131392,270.87576,-0.0249947936189202,14.749272,39.071146,-95.671297,888.7,-2.5,2.818,48.39
4551.224832,270.3576,-0.0309900753885694,16.206216,39.071286,-95.671244,887,-3.1,2.828,53.17
4568.927616,269.99184,-0.0199973339731505,18.123408,39.071439,-95.671171,885.8,-2,2.839,59.46
4580.193024,269.99184,0,10.360152,39.071528,-95.671135,885.8,0,2.846,33.99
4586.6304,270.02232,0.00199999733333973,6.300216,39.071581,-95.671109,885.9,0.2,2.85,20.67
4613.989248,272.00352,0.070881055884974,28.303728,39.071824,-95.67101,892.4,7.1,2.867,92.86
4628.473344,273.00936,0.066900014828884,14.852904,39.071951,-95.670956,895.7,6.7,2.876,48.73
4655.832192,273.07032,0.00199999733333973,26.511504,39.072177,-95.670857,895.9,0.2,2.893,86.98
4668.706944,272.85696,-0.0159986348763435,13.581888,39.072291,-95.6708,895.2,-1.6,2.901,44.56
4683.19104,272.4912,-0.0259941437084617,13.691616,39.072408,-95.67075,894,-2.6,2.91,44.92
4728.252672,272.034,-0.00999966668666524,45.494448,39.072791,-95.670563,892.5,-1,2.938,149.26
4755.61152,272.24736,0.00799982933988663,26.993088,39.073026,-95.670483,893.2,0.8,2.955,88.56
4824.813312,270.63192,-0.0229959456201157,69.704712,39.07362,-95.670222,887.9,-2.3,2.998,228.69
4832.860032,271.02816,0.0519532065609139,7.89432,39.073689,-95.6702,889.2,5.2,3.003,25.9
4847.344128,271.79016,0.0529504578049819,14.328648,39.073811,-95.670146,891.7,5.3,3.012,47.01
4998.622464,272.15592,0.00199999733333973,150.702264,39.075099,-95.669596,892.9,0.2,3.106,494.43
5148.291456,272.61312,0.0029999910000486,149.644608,39.076378,-95.66905,894.4,0.3,3.199,490.96
5162.775552,272.21688,-0.0259941437084617,15.337536,39.076508,-95.66899,893.1,-2.6,3.208,50.32
5183.697024,272.15592,-0.00199999733333973,21.409152,39.076691,-95.668912,892.9,-0.2,3.221,70.24
5446.020096,269.77848,-0.00899975701180912,262.00608,39.078928,-95.667947,885.1,-0.9,3.384,859.6
5553.846144,270.6624,0.00799982933988663,106.911648,39.079841,-95.667554,888,0.8,3.451,350.76
5597.298432,269.83944,-0.0179980563778262,44.747688,39.080223,-95.667389,885.3,-1.8,3.478,146.81
5615.001216,269.65656,-0.0119994240497613,16.52016,39.080364,-95.667328,884.7,-1.2,3.489,54.2
5671.328256,271.4244,0.0309900753885694,57.171336,39.080852,-95.667117,890.5,3.1,3.524,187.57
5684.203008,272.27784,0.0698860016346425,12.185904,39.080956,-95.667072,893.3,7,3.532,39.98
5706.733824,274.0152,0.0738653674061214,23.207472,39.081154,-95.666986,899,7.4,3.546,76.14
5732.483328,274.32,0.0129992677409163,24.950928,39.081367,-95.666894,900,1.3,3.562,81.86
5737.31136,274.38096,0.0129992677409163,5.498592,39.081414,-95.666874,900.2,1.3,3.565,18.04
5806.513152,273.00936,-0.0199973339731505,68.192904,39.081996,-95.666622,895.7,-2,3.608,223.73
5829.043968,273.00936,0,22.731984,39.08219,-95.666538,895.7,0,3.622,74.58
5898.24576,272.034,-0.0139990854408831,69.50964,39.082784,-95.666284,892.5,-1.4,3.665,228.05
5912.729856,272.76552,0.048960840065008,15.328392,39.082915,-95.666228,894.9,4.9,3.674,50.29
5949.744768,273.89328,0.0299910048568779,36.975288,39.083231,-95.666093,898.6,3,3.697,121.31
5967.447552,273.558,-0.0199973339731505,16.386048,39.083371,-95.666033,897.5,-2,3.708,53.76
5980.322304,273.61896,0.0029999910000486,12.957048,39.083481,-95.665983,897.7,0.3,3.716,42.51
5986.75968,273.61896,0.0029999910000486,6.821424,39.083539,-95.665957,897.7,0.3,3.72,22.38
6006.071808,273.67992,0.0029999910000486,19.162776,39.083704,-95.665892,897.9,0.3,3.732,62.87
6041.477376,273.16176,-0.0149988751518506,35.579304,39.084007,-95.665758,896.2,-1.5,3.754,116.73
6065.617536,272.21688,-0.0379817251640402,24.691848,39.084217,-95.665664,893.1,-3.8,3.769,81.01
6067.22688,272.12544,-0.0439716382710356,1.639824,39.084231,-95.665658,892.8,-4.4,3.77,5.38
6073.664256,271.85112,-0.0439716382710356,6.422136,39.084286,-95.665635,891.9,-4.4,3.774,21.07
6088.148352,271.30248,-0.03997868712329,13.682472,39.084407,-95.665605,890.1,-4,3.783,44.89
6096.195072,271.21104,-0.0129992677409163,8.985504,39.084484,-95.665573,889.8,-1.3,3.788,29.48
6129.991296,272.46072,0.0389802450252585,33.11652,39.084767,-95.665452,893.9,3.9,3.809,108.65
6146.084736,272.85696,0.0249947936189202,15.995904,39.084898,-95.665375,895.2,2.5,3.819,52.48
6162.178176,273.00936,0.00799982933988663,16.617696,39.085033,-95.665292,895.7,0.8,3.829,54.52
6197.583744,272.55216,-0.0129992677409163,34.597848,39.085331,-95.665175,894.2,-1.3,3.851,113.51
6218.505216,272.00352,-0.0259941437084617,20.921472,39.085516,-95.665129,892.4,-2.6,3.864,68.64
6249.082752,271.24152,-0.0249947936189202,31.555944,39.08579,-95.665032,889.9,-2.5,3.883,103.53
