type	latitude	longitude	altitude (ft)	vmg (mph)	course	slope (%)	distance (mi)	distance_interval (ft)	color	opacity	width	scale	sym	name	desc	kml_folder
T	42.841885000	-106.433356000	5213.0		271.0	-2.6	5.686	351.94								
T	42.841941000	-106.437146000	5225.3		271.2	1.2	5.878	1016.71								
T	42.841853000	-106.438170000	5248.8		263.3	8.5	5.931	276.51								
T	42.841645000	-106.439369000	5259.2		256.7	3.2	5.993	330.40								
T	42.841318000	-106.440505000	5256.1		248.6	-1.0	6.055	327.17								
T	42.840974000	-106.441345000	5249.6		240.8	-2.5	6.104	257.83								
T	42.840558000	-106.442144000	5259.1		234.6	3.7	6.154	262.51								
T	42.838719000	-106.445854000	5248.8		235.9	-0.9	6.381	1199.77								
T	42.838007000	-106.447081000	5236.5		231.6	-2.9	6.460	419.11								
T	42.837463000	-106.447758000	5226.8		222.4	-3.6	6.511	268.86								
T	42.836920000	-106.448280000	5230.6		215.2	1.6	6.557	242.43								
T	42.836619000	-106.448540000	5235.5		212.4	3.8	6.582	130.00								
T	42.836304000	-106.448757000	5236.9		206.8	1.1	6.606	128.72								
T	42.835560000	-106.449174000	5246.2		202.3	3.2	6.662	293.33								
T	42.834432000	-106.449653000	5263.7		197.3	4.1	6.743	430.73								
T	42.833049000	-106.450320000	5284.9		199.5	4.0	6.844	534.87								
T	42.832497000	-106.450677000	5280.7		205.4	-1.9	6.887	222.81								
T	42.831646000	-106.451300000	5266.0		208.2	-4.2	6.953	352.32								
T	42.831105000	-106.451695000	5268.6		208.2	1.2	6.996	223.84								
T	42.830684000	-106.451986000	5258.5		206.9	-5.9	7.028	172.16								
T	42.830258000	-106.452235000	5259.2		203.2	0.4	7.060	169.02								
T	42.829917000	-106.452394000	5261.6		198.9	1.8	7.085	131.40								
T	42.829576000	-106.452534000	5263.1		196.8	1.1	7.110	129.83								
T	42.829152000	-106.452671000	5267.8		193.3	3.0	7.140	158.84								
T	42.828712000	-106.452781000	5269.1		190.4	0.8	7.171	163.06								
T	42.828306000	-106.452836000	5269.6		185.7	0.4	7.199	148.71								
T	42.827894000	-106.452851000	5270.4		181.5	0.5	7.227	150.21								
T	42.827111000	-106.452854000	5269.4		180.2	-0.3	7.282	285.38								
T	42.821399000	-106.452865000	5313.7		180.1	2.1	7.676	2081.83								
T	42.817487000	-106.452857000	5359.3		179.9	3.2	7.946	1425.79								
T	42.816895000	-106.452869000	5361.4		180.9	1.0	7.987	215.79								
T	42.816304000	-106.452940000	5361.6		185.0	0.1	8.028	216.24								
T	42.815622000	-106.453121000	5380.2		191.0	7.3	8.076	253.27								
T	42.815406000	-106.453198000	5384.9		194.7	5.8	8.091	81.39								
T	42.815343000	-106.453220000	5386.1		194.4	4.9	8.096	23.71								
T	42.815205000	-106.453269000	5387.1		194.6	2.1	8.105	51.99								
T	42.814945000	-106.453390000	5384.6		198.8	-2.5	8.124	100.17								
T	42.814640000	-106.453561000	5380.1		202.4	-3.8	8.147	120.26								
T	42.813817000	-106.454068000	5398.2		204.3	5.5	8.210	329.36								
T	42.813049000	-106.454731000	5386.9		212.3	-3.4	8.272	331.66								
T	42.811993000	-106.455675000	5387.3		213.3	0.1	8.360	460.75								
T	42.810154000	-106.457250000	5352.4		212.1	-4.4	8.510	792.38								
T	42.809099000	-106.458106000	5287.8		210.8	-14.4	8.595	447.90								
T	42.808419000	-106.458482000	5266.3		202.1	-8.0	8.645	267.59								
T	42.807291000	-106.458834000	5226.7		192.9	-9.4	8.725	421.83								
T	42.806404000	-106.459137000	5178.2		194.1	-14.5	8.788	333.35								
T	42.805950000	-106.459272000	5158.1		192.3	-11.9	8.820	169.39								
T	42.804900000	-106.459585000	5159.8		192.3	0.4	8.894	391.80								
