type	latitude	longitude	altitude (ft)	vmg (mph)	course	slope (%)	distance (mi)	distance_interval (ft)	color	opacity	width	scale	sym	name	desc	kml_folder
T	42.958050000	-108.819814000	5531.5		312.9	0.9	9.500	1470.58								
T	42.958829000	-108.820983000	5542.7		312.3	2.7	9.580	422.55								
T	42.958932000	-108.821137000	5544.7		312.4	3.5	9.590	55.76								
T	42.959781000	-108.822509000	5548.7		310.2	0.8	9.681	480.26								
T	42.961140000	-108.825001000	5548.6		306.7	-0.0	9.838	830.88								
T	42.962268000	-108.827282000	5554.7		304.0	0.8	9.978	736.11								
T	42.962803000	-108.828458000	5552.1		301.9	-0.7	10.048	370.30								
T	42.963143000	-108.829353000	5554.3		297.4	0.8	10.099	269.73								
T	42.963373000	-108.830100000	5562.0		292.8	3.5	10.140	216.82								
T	42.963597000	-108.831097000	5557.7		287.1	-1.5	10.193	279.09								
T	42.965281000	-108.839991000	5570.7		284.5	0.5	10.659	2458.57								
T	42.966037000	-108.843999000	5583.3		284.5	1.1	10.868	1107.65								
T	42.966930000	-108.848728000	5605.4		284.5	1.7	11.116	1306.98								
T	42.967500000	-108.851729000	5589.1		284.6	-2.0	11.273	829.69								
T	42.967736000	-108.852909000	5590.8		285.3	0.5	11.335	327.35								
T	42.967931000	-108.853702000	5580.4		288.6	-4.7	11.377	223.84								
T	42.968014000	-108.854000000	5579.5		290.8	-1.0	11.394	85.31								
T	42.968482000	-108.855293000	5577.5		296.3	-0.5	11.467	385.84								
T	42.969009000	-108.856383000	5579.2		303.5	0.5	11.533	349.30								
T	42.969684000	-108.857446000	5576.8		311.0	-0.6	11.604	376.13								
T	42.970391000	-108.858278000	5567.3		319.3	-2.8	11.669	340.57								
T	42.971143000	-108.859008000	5560.6		324.6	-2.0	11.732	336.60								
T	42.972291000	-108.859823000	5564.3		332.6	0.8	11.822	471.86								
T	42.975460000	-108.861935000	5573.0		334.0	0.7	12.065	1285.92								
T	42.978507000	-108.863960000	5547.4		334.1	-2.1	12.299	1235.73								
T	42.981959000	-108.866251000	5547.8		334.1	0.0	12.564	1399.60								
T	42.982220000	-108.866424000	5547.9		334.1	0.1	12.584	105.80								
T	42.983638000	-108.867368000	5543.5		334.0	-0.8	12.693	575.26								
T	42.987559000	-108.869955000	5562.4		334.2	1.2	12.994	1587.94								
T	42.991291000	-108.872442000	5556.5		334.0	-0.4	13.281	1514.28								
T	42.991549000	-108.872614000	5554.5		334.0	-2.0	13.301	104.69								
T	42.993363000	-108.868463000	5547.4		59.1	-0.5	13.546	1292.52								
T	42.995791000	-108.863123000	5534.9		58.1	-0.7	13.864	1680.57								
T	42.996437000	-108.861620000	5532.0		59.6	-0.6	13.952	465.97								
T	42.996837000	-108.860703000	5527.6		59.2	-1.5	14.006	285.38								
T	42.997100000	-108.859950000	5526.4		64.5	-0.6	14.048	223.10								
T	42.997259000	-108.859338000	5521.5		70.4	-2.8	14.081	173.68								
T	42.997368000	-108.858781000	5520.6		75.0	-0.6	14.110	154.22								
T	42.997534000	-108.857387000	5518.5		80.8	-0.5	14.182	377.82								
T	42.997612000	-108.856644000	5526.5		81.8	4.0	14.220	200.80								
T	42.997735000	-108.855548000	5521.0		81.3	-1.9	14.276	296.62								
T	42.997821000	-108.855075000	5516.3		76.0	-3.6	14.301	130.37								
T	42.997954000	-108.854435000	5518.3		74.1	1.2	14.335	177.95								
T	42.998168000	-108.853746000	5520.7		67.0	1.2	14.373	200.15								
T	42.998537000	-108.852864000	5513.8		60.2	-2.5	14.424	271.60								
T	42.998925000	-108.852091000	5502.4		55.5	-4.6	14.471	250.53								
T	43.000016000	-108.849867000	5502.0		56.1	-0.1	14.607	715.62								
T	43.000275000	-108.849362000	5502.0		55.0	0.0	14.638	164.81								
T	43.000367000	-108.849181000	5502.0		55.2	-0.0	14.649	58.90								
T	43.002435000	-108.844915000	5492.1		56.5	-0.7	14.908	1367.67								
T	43.007585000	-108.834401000	5477.6		56.2	-0.4	15.549	3381.35								
T	43.014002000	-108.821280000	5446.6		56.2	-0.7	16.348	4217.49								
T	43.014102000	-108.821042000	5441.5		60.1	-7.0	16.361	73.35								
T	43.014208000	-108.820812000	5439.7		57.8	-2.6	16.375	72.64								
T	43.014303000	-108.820629000	5440.8		54.6	1.9	16.387	59.95								
T	43.014908000	-108.819391000	5442.2		56.2	0.4	16.462	397.82								
T	43.017416000	-108.814292000	5432.0		56.1	-0.6	16.773	1641.76								
T	43.021889000	-108.805043000	5406.4		56.5	-0.9	17.334	2962.48								
T	43.022127000	-108.804538000	5410.8		57.2	2.7	17.364	160.51								
T	43.023399000	-108.801962000	5404.1		56.0	-0.8	17.522	830.36								
T	43.024482000	-108.799802000	5401.8		55.6	-0.3	17.654	699.62								
T	43.024803000	-108.799044000	5387.1		59.9	-6.3	17.698	234.04								
T	43.025088000	-108.798289000	5392.9		62.7	2.5	17.741	227.05								
T	43.025305000	-108.797609000	5395.2		66.4	1.2	17.779	198.30								
T	43.025582000	-108.796524000	5388.6		70.7	-2.2	17.837	307.21								
T	43.025769000	-108.795472000	5390.6		76.3	0.7	17.892	289.46								
T	43.025871000	-108.794676000	5393.8		80.1	1.4	17.933	216.08								
T	43.025911000	-108.794232000	5396.4		83.0	2.2	17.956	119.62								
T	43.025931000	-108.793841000	5397.9		86.0	1.4	17.975	104.81								
T	43.025936000	-108.793487000	5396.4		88.9	-1.6	17.993	94.68								
T	43.025950000	-108.791992000	5390.4		89.3	-1.5	18.069	399.81								
T	43.025945000	-108.789611000	5384.6		90.2	-0.9	18.190	636.71								
T	43.025951000	-108.787096000	5379.2		89.8	-0.8	18.317	672.54								
T	43.025945000	-108.779974000	5371.9		90.1	-0.4	18.678	1904.50								
T	43.025943000	-108.779914000	5371.6		92.6	-1.9	18.681	16.06								
T	43.025946000	-108.779554000	5369.6		89.3	-2.2	18.699	96.27								
T	43.025952000	-108.775567000	5367.9		89.9	-0.2	18.901	1066.17								
T	43.025953000	-108.774989000	5362.7		89.9	-3.4	18.930	154.56								
T	43.024957000	-108.774995000	5364.7		180.3	0.5	18.999	363.02								
T	43.023564000	-108.774987000	5364.3		179.8	-0.1	19.095	507.72								
T	43.018762000	-108.774994000	5362.4		180.1	-0.1	19.427	1750.23								
T	43.017703000	-108.774999000	5360.9		180.2	-0.4	19.500	385.99								
T	43.016183000	-108.775014000	5367.6		180.4	1.2	19.605	554.02								
T	43.015184000	-108.775029000	5384.7		180.6	4.7	19.674	364.14								
T	43.013757000	-108.775005000	5403.4		179.3	3.6	19.772	520.15								
T	43.010962000	-108.774988000	5441.4		179.7	3.7	19.965	1018.73								
T	43.010828000	-108.774991000	5446.0		180.9	9.5	19.974	48.85								
T	43.010566000	-108.774990000	5448.9		179.8	3.0	19.992	95.49								
T	43.009721000	-108.774985000	5452.6		179.8	1.2	20.051	307.99								
T	43.007840000	-108.775066000	5471.8		181.8	2.8	20.181	685.93								
T	43.006083000	-108.775045000	5492.2		179.5	3.2	20.302	640.41								
T	43.005556000	-108.775030000	5492.5		178.8	0.2	20.338	192.12								
T	43.005555665	-108.775069612	5492.9		269.3	4.4	20.340	10.60								
T	43.005285902	-108.775063902	5492.9		179.1	-0.1	20.359	98.33								
T	43.005016138	-108.775058193	5495.9		179.1	3.1	20.378	98.33								
T	43.004746374	-108.775052483	5502.0		179.1	6.2	20.396	98.33								
T	43.004476610	-108.775046774	5508.8		179.1	6.9	20.415	98.33								
T	43.004206846	-108.775041064	5515.1		179.1	6.4	20.433	98.33								
T	43.003937083	-108.775035355	5518.3		179.1	3.2	20.452	98.33								
T	43.003777731	-108.775031982	5518.6		179.1	0.5	20.463	58.09								
T	43.003509367	-108.774994022	5520.8		174.1	2.2	20.482	98.34								
T	43.003241003	-108.774956062	5528.0		174.1	7.4	20.500	98.34								
T	43.003206616	-108.774951198	5529.2		174.1	9.0	20.503	12.60								
T	43.002941087	-108.774885843	5536.7		169.8	7.7	20.521	98.35								
T	43.002714273	-108.774830017	5540.9		169.8	5.0	20.537	84.01								
T	43.002454101	-108.774732360	5538.2		164.7	-2.7	20.556	98.36								
T	43.002212079	-108.774641517	5536.4		164.7	-1.9	20.573	91.50								
T	43.001955711	-108.774526582	5541.9		161.8	5.6	20.592	98.37								
T	43.001699343	-108.774411648	5552.2		161.8	10.4	20.610	98.37								
T	43.001611410	-108.774372226	5553.4		161.8	3.6	20.617	33.74								
T	43.001363429	-108.774226904	5552.6		156.8	-0.8	20.635	98.39								
T	43.001115447	-108.774081584	5550.2		156.8	-2.5	20.654	98.39								
T	43.001059969	-108.774049073	5550.7		156.8	2.2	20.658	22.01								
T	43.000820955	-108.773877951	5554.5		152.4	3.9	20.677	98.41								
T	43.000581941	-108.773706830	5557.2		152.4	2.8	20.696	98.41								
T	43.000342927	-108.773535710	5560.0		152.4	2.9	20.714	98.41								
T	43.000103912	-108.773364592	5561.3		152.4	1.2	20.733	98.41								
T	42.999864897	-108.773193475	5559.4		152.4	-1.9	20.751	98.41								
T	42.999625882	-108.773022359	5558.6		152.4	-0.8	20.770	98.41								
T	42.999386867	-108.772851245	5556.9		152.4	-1.8	20.789	98.41								
T	42.999147851	-108.772680132	5556.7		152.4	-0.1	20.807	98.41								
T	42.998908835	-108.772509020	5554.7		152.4	-2.1	20.826	98.41								
T	42.998669819	-108.772337910	5551.0		152.4	-3.7	20.845	98.41								
T	42.998430802	-108.772166800	5549.0		152.4	-2.1	20.863	98.41								
T	42.998191785	-108.771995693	5552.2		152.4	3.3	20.882	98.41								
T	42.997952769	-108.771824586	5559.6		152.4	7.6	20.901	98.41								
T	42.997713751	-108.771653481	5561.9		152.4	2.3	20.919	98.41								
T	42.997474734	-108.771482378	5564.9		152.4	3.1	20.938	98.41								
T	42.997235716	-108.771311275	5570.5		152.4	5.7	20.956	98.41								
T	42.996996698	-108.771140174	5571.1		152.4	0.6	20.975	98.41								
T	42.996884627	-108.771059949	5569.6		152.4	-3.4	20.984	46.14								
T	42.996645439	-108.770889293	5565.2		152.4	-4.4	21.002	98.41								
T	42.996406251	-108.770718639	5564.8		152.4	-0.5	21.021	98.41								
T	42.996167063	-108.770547986	5563.5		152.4	-1.3	21.040	98.41								
T	42.995927874	-108.770377334	5559.3		152.4	-4.2	21.058	98.41								
T	42.995688685	-108.770206684	5554.4		152.4	-5.0	21.077	98.41								
T	42.995449496	-108.770036035	5551.3		152.4	-3.1	21.096	98.41								
T	42.995210307	-108.769865387	5552.9		152.4	1.7	21.114	98.41								
T	42.994971117	-108.769694741	5551.9		152.4	-1.0	21.133	98.41								
T	42.994731927	-108.769524096	5558.3		152.4	6.6	21.152	98.41								
T	42.994492737	-108.769353453	5562.3		152.4	4.0	21.170	98.41								
T	42.994253546	-108.769182810	5561.2		152.4	-1.1	21.189	98.41								
T	42.994014355	-108.769012169	5561.8		152.4	0.6	21.208	98.41								
T	42.993775165	-108.768841530	5561.9		152.4	0.1	21.226	98.41								
T	42.993535973	-108.768670891	5559.9		152.4	-2.1	21.245	98.41								
T	42.993296782	-108.768500254	5558.0		152.4	-1.9	21.263	98.41								
T	42.993057590	-108.768329619	5551.2		152.4	-6.9	21.282	98.41								
T	42.992818398	-108.768158984	5548.1		152.4	-3.1	21.301	98.41								
T	42.992579206	-108.767988351	5546.1		152.4	-2.0	21.319	98.41								
T	42.992340013	-108.767817720	5545.8		152.4	-0.3	21.338	98.41								
T	42.992100821	-108.767647089	5541.6		152.4	-4.2	21.357	98.41								
T	42.991861628	-108.767476460	5539.7		152.4	-1.9	21.375	98.41								
T	42.991622434	-108.767305832	5544.1		152.4	4.4	21.394	98.41								
T	42.991383241	-108.767135206	5550.3		152.4	6.3	21.413	98.41								
T	42.991144047	-108.766964581	5551.2		152.4	1.0	21.431	98.41								
T	42.990904853	-108.766793957	5547.2		152.4	-4.1	21.450	98.41								
T	42.990665659	-108.766623335	5544.4		152.4	-2.8	21.468	98.41								
T	42.990426464	-108.766452714	5543.1		152.4	-1.3	21.487	98.41								
T	42.990187270	-108.766282094	5538.8		152.4	-4.4	21.506	98.41								
T	42.989948075	-108.766111476	5536.2		152.4	-2.6	21.524	98.41								
T	42.989708879	-108.765940859	5528.0		152.4	-8.4	21.543	98.41								
T	42.989605716	-108.765867273	5526.7		152.4	-3.1	21.551	42.44								
T	42.989346205	-108.765766405	5524.6		164.1	-2.1	21.570	98.36								
T	42.989086694	-108.765665538	5521.2		164.1	-3.4	21.588	98.36								
T	42.988827183	-108.765564672	5515.1		164.1	-6.2	21.607	98.36								
T	42.988797695	-108.765553210	5515.1		164.1	-0.1	21.609	11.18								
T	42.988530413	-108.765502969	5514.5		172.2	-0.6	21.628	98.34								
