Var1,accelerator_pedal,speed,mcc_state,fr_telem,crz_pwr_mode,crz_spd_mode,crz_pwr_setpt,crz_spd_setpt,eco,main_telem,foot_brake,regen_brake,motor_current,motor_power,mc_status,driver_eStop,external_eStop,crash,discharge_enable,discharge_enabled,charge_enable,charge_enabled,isolation,mcu_hv_en,mcu_stat_fdbk,mppt_contactor,motor_controller_contactor,low_contactor,dcdc_current,dcdc_deg,use_dcdc,supplemental_current,supplemental_voltage,supplemental_deg,use_supp,est_supplemental_soc,bms_mpio1,park_brake,air_temp,brake_temp,dcdc_temp,mainIO_temp,motor_controller_temp,motor_temp,road_temp,l_turn_led_en,r_turn_led_en,brake_led_en,headlights_led_en,hazards,main_5V_bus,main_12V_bus,main_24V_bus,main_5V_current,main_12V_current,main_24V_current,bms_can_heartbeat,hv_can_heartbeat,mainIO_heartbeat,mcc_can_heartbeat,mppt_can_heartbeat,mppt_mode,mppt_current_out,string1_temp,string2_temp,string3_temp,string1_V_in,string2_V_in,string3_V_in,string1_I_in,string2_I_in,string3_I_in,pack_temp,pack_internal_temp,pack_current,pack_voltage,pack_power,populated_cells,soc,soh,pack_amphours,adaptive_total_capacity,fan_speed,pack_resistance,bms_input_voltage,bps_fault,voltage_failsafe,current_failsafe,relay_failsafe,cell_balancing_active,charge_interlock_failsafe,thermistor_b_value_table_invalid,input_power_supply_failsafe,discharge_limit_enforcement_fault,charger_safety_relay_fault,internal_hardware_fault,internal_heatsink_fault,internal_software_fault,highest_cell_voltage_too_high_fault,lowest_cell_voltage_too_low_fault,pack_too_hot_fault,high_voltage_interlock_signal_fault,precharge_circuit_malfunction,abnormal_state_of_charge_behavior,internal_communication_fault,cell_balancing_stuck_off_fault,weak_cell_fault,low_cell_voltage_fault,open_wiring_fault,current_sensor_fault,highest_cell_voltage_over_5V_fault,cell_asic_fault,weak_pack_fault,fan_monitor_fault,thermistor_fault,external_communication_fault,redundant_power_supply_fault,high_voltage_isolation_fault,input_power_supply_fault,charge_limit_enforcement_fault,cell_group1_voltage,cell_group2_voltage,cell_group3_voltage,cell_group4_voltage,cell_group5_voltage,cell_group6_voltage,cell_group7_voltage,cell_group8_voltage,cell_group9_voltage,cell_group10_voltage,cell_group11_voltage,cell_group12_voltage,cell_group13_voltage,cell_group14_voltage,cell_group15_voltage,cell_group16_voltage,cell_group17_voltage,cell_group18_voltage,cell_group19_voltage,cell_group20_voltage,cell_group21_voltage,cell_group22_voltage,cell_group23_voltage,cell_group24_voltage,cell_group25_voltage,cell_group26_voltage,cell_group27_voltage,cell_group28_voltage,cell_group29_voltage,cell_group30_voltage,cell_group31_voltage,lat,lon,elev
1713131072024,0,31.2458953857422,3,0,0,0,0.0664224699139595,0,1,1,0,0.644444465637207,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.27736282348633,0,1,0.13054946064949,3.22183156013489,0,0,0,0,0,-10000,-10000,-10000,51.0110931396484,-10000,-10000,-10000,0,0,0,0,0,4.9652247428894,12.3957986831665,24.6964111328125,0.0241758264601231,0.51575094461441,0.0644688680768013,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,34,34,0.400000005960464,98.8000030517578,39.5200004577637,31,62,57,30.2000007629394,48.7000007629395,2,324,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.20799994468689,3.20689988136292,2.89949989318848,3.19269990921021,3.20269989967346,3.20740008354187,3.20029997825623,3.02550005912781,3.21029996871948,3.20609998703003,3.19589996337891,3.21250009536743,2.96169996261597,3.2063000202179,2.91429996490479,2.87159991264343,2.88070011138916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.9064903259277,-89.3253173828125,278.299987792969
1713131072074,0,31.2458953857422,3,0,0,0,0.0664224699139595,0,1,1,0,0.644444465637207,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.5964834690094,0,1,0.116043962538242,3.2194139957428,0,0,0,0,0,-10000,-10000,-10000,51.1113891601562,-10000,-10000,-10000,0,0,0,0,0,4.9699969291687,12.3902530670166,24.8382415771484,0.153113558888435,2.06300377845764,0.0725274831056595,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,34,34,0.400000005960464,98.8000030517578,39.5200004577637,31,62,57,30.2000007629394,48.7000007629395,2,324,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.20799994468689,3.20689988136292,2.89949989318848,3.19269990921021,3.20269989967346,3.20740008354187,3.20029997825623,3.02550005912781,3.21029996871948,3.20609998703003,3.19589996337891,3.21250009536743,2.96169996261597,3.2063000202179,2.91429996490479,2.87159991264343,2.88070011138916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.9064903259277,-89.3253173828125,278.299987792969
1713131072125,0,31.2458953857422,3,0,0,0,0.0664224699139595,0,1,1,0,0.644444465637207,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.5964834690094,0,1,0.116043962538242,3.2194139957428,0,0,0,0,0,-10000,-10000,-10000,51.1448516845703,-10000,-10000,-10000,0,0,0,0,0,4.9699969291687,12.3847064971924,24.7584629058838,0,0.386813223361969,0.0564102604985237,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,34,34,0.400000005960464,98.8000030517578,39.5200004577637,31,62,57,30.2000007629394,48.7000007629395,2,324,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.20799994468689,3.20689988136292,2.89949989318848,3.19269990921021,3.20269989967346,3.20740008354187,3.20029997825623,3.02550005912781,3.21029996871948,3.20609998703003,3.19589996337891,3.21250009536743,2.96169996261597,3.2063000202179,2.91429996490479,2.87159991264343,2.88070011138916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.9064903259277,-89.3253173828125,278.299987792969
1713131072175,0,31.2458953857422,3,0,0,0,0.0666666701436043,0,1,1,0,0.565567791461945,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.5964834690094,0,1,0.116043962538242,3.2194139957428,0,0,0,0,0,-10000,-10000,-10000,51.1783447265625,-10000,-10000,-200.769668579102,0,0,0,0,0,4.96761083602905,12.3458833694458,24.8293781280518,0.0241758264601231,0.145054966211319,0.0322344340384007,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,34,34,0.400000005960464,98.8000030517578,39.5200004577637,31,62,57,30.2000007629394,48.7000007629395,2,324,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.20799994468689,3.20689988136292,2.89949989318848,3.19269990921021,3.20269989967346,3.20740008354187,3.20029997825623,3.02550005912781,3.21029996871948,3.20609998703003,3.19589996337891,3.21250009536743,2.96169996261597,3.2063000202179,2.91429996490479,2.87159991264343,2.88070011138916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.9064903259277,-89.3253173828125,278.299987792969
1713131072226,0,31.2458953857422,3,0,0,0,0.0666666701436043,0,1,1,0,0.565567791461945,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.32087922096252,0,1,0.145054951310158,3.2194139957428,0,0,0,0,0,-10000,-10000,-10000,51.0110931396484,-10000,-10000,-10000,0,0,0,0,0,4.9699969291687,12.423529624939,24.5900363922119,0.233699649572372,0.410989016294479,0.862271189689636,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,34,34,0.400000005960464,99,39.6000022888184,31,62,57,30.2000007629394,48.7000007629395,2,324,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.20799994468689,3.20689988136292,2.89949989318848,3.19269990921021,3.20269989967346,3.20740008354187,3.20029997825623,3.02550005912781,3.21029996871948,3.20609998703003,3.19589996337891,3.21250009536743,2.96169996261597,3.2063000202179,2.91429996490479,2.87159991264343,2.88070011138916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.9064903259277,-89.3253173828125,278.299987792969
1713131072277,0,31.2458953857422,3,0,0,0,0.0666666701436043,0,1,1,0,0.565567791461945,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.32087922096252,0,1,0.145054951310158,3.2194139957428,0,0,0,0,0,-10000,-10000,-10000,51.1448516845703,-10000,-181.999862670898,-10000,0,0,0,0,0,4.96761083602905,12.4124374389648,24.5900363922119,0.0725274831056595,0.290109932422638,0.0402930416166782,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,34,34,0.400000005960464,99,39.6000022888184,31,62,57,30.2000007629394,48.7000007629395,2,324,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.20799994468689,3.20689988136292,2.89949989318848,3.19269990921021,3.20269989967346,3.20740008354187,3.20029997825623,3.02550005912781,3.21029996871948,3.20609998703003,3.19589996337891,3.21250009536743,2.96169996261597,3.2063000202179,2.91429996490479,2.87159991264343,2.88070011138916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.9064903259277,-89.3253173828125,278.299987792969
1713131072327,0,31.2458953857422,3,0,0,0,0.0676434710621834,0,1,1,0,0.565567791461945,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.62549448013306,0,1,0.13054946064949,3.22102570533752,0,0,0,0,0,-10000,-10000,-10000,51.1783447265625,-10000,-10000,-181.999862670898,0,0,0,0,0,4.9699969291687,12.4568071365356,24.6077671051025,0.0644688680768013,0.71721613407135,0.531868159770966,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,34,34,0.400000005960464,99,39.6000022888184,31,62,57,30.2000007629394,48.7000007629395,2,322,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.20799994468689,3.20689988136292,2.89949989318848,3.19269990921021,3.20269989967346,3.20740008354187,3.20029997825623,3.02550005912781,3.21029996871948,3.20609998703003,3.19589996337891,3.21250009536743,2.96169996261597,3.2063000202179,2.91429996490479,2.87159991264343,2.88070011138916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.9064903259277,-89.3253173828125,278.299987792969
1713131072378,0,31.2458953857422,3,0,0,0,0.0676434710621834,0,1,1,0,0.565567791461945,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.5964834690094,0,1,0.13054946064949,3.22102570533752,0,0,0,0,0,-10000,-10000,-10000,51.1448516845703,-10000,-10000,-10000,0,0,0,0,0,4.9699969291687,12.3957986831665,24.7052745819092,0.177289381623268,1.57142877578735,0.0967033058404922,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,34,34,0.400000005960464,99,39.6000022888184,31,62,57,30.2000007629394,48.7000007629395,2,322,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.20799994468689,3.20689988136292,2.89949989318848,3.19269990921021,3.20269989967346,3.20740008354187,3.20029997825623,3.02550005912781,3.21029996871948,3.20609998703003,3.19589996337891,3.21250009536743,2.96169996261597,3.2063000202179,2.91429996490479,2.87159991264343,2.88070011138916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.9064903259277,-89.3253173828125,278.299987792969
1713131072428,0,31.2458953857422,3,0,0,0,0.0669108703732491,0,1,1,0,0.565567791461945,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.5964834690094,0,1,0.13054946064949,3.22183156013489,0,0,0,0,0,-10000,-10000,-10000,51.1448516845703,-10000,-10000,-10000,0,0,0,0,0,4.97476863861084,12.3957986831665,24.6964111328125,0.185347974300384,1.03150188922882,0.10476192086935,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,34,34,0.400000005960464,99,39.6000022888184,31,62,57,30.2000007629394,48.7000007629395,2,322,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.20799994468689,3.20689988136292,2.89949989318848,3.19269990921021,3.20269989967346,3.20740008354187,3.20029997825623,3.02550005912781,3.21029996871948,3.20609998703003,3.19589996337891,3.21250009536743,2.96169996261597,3.2063000202179,2.91429996490479,2.87159991264343,2.88070011138916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.9064903259277,-89.3253173828125,278.299987792969
1713131072479,0,31.2458953857422,3,0,0,0,0.0669108703732491,0,1,1,0,0.565567791461945,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.5964834690094,0,1,0.13054946064949,3.22183156013489,0,0,0,0,0,-10000,-10000,-10000,51.2789306640625,-10000,-10000,-10000,0,0,0,0,0,4.9699969291687,12.423529624939,24.6077671051025,0.0483516529202461,0,0.0725274831056595,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,34,34,0.400000005960464,99,39.6000022888184,31,62,57,30.2000007629394,48.7000007629395,2,322,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.20799994468689,3.20689988136292,2.89949989318848,3.19269990921021,3.20269989967346,3.20740008354187,3.20029997825623,3.02550005912781,3.21029996871948,3.20609998703003,3.19589996337891,3.21250009536743,2.96169996261597,3.2063000202179,2.91429996490479,2.87159991264343,2.88070011138916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.9064903259277,-89.3253173828125,278.299987792969
