acceleration,average_velocity
0.0,29.3103065490723
0.0,29.3103065490723
0.0,29.3103065490723
0.0,29.3103065490723
0.0,29.3103065490723
0.0,29.3103065490723
0.0,29.3103065490723
0.0,29.3103065490723
0.0,29.3103065490723
0.010843613568472523,29.586818695068352
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
0.0,29.8633308410644
-0.03318149566650199,29.03379344940185
0.0,28.2042560577393
0.0,28.2042560577393
0.0,28.2042560577393
0.0,28.2042560577393
0.0,28.2042560577393
0.0,28.2042560577393
0.0,28.2042560577393
0.0,28.2042560577393
0.0,28.2042560577393
0.0,28.2042560577393
0.0,28.2042560577393
0.0,28.2042560577393
0.0,28.2042560577393
0.0,28.2042560577393
0.0,28.2042560577393
0.0,28.2042560577393
0.0,28.2042560577393
0.0,28.2042560577393
0.0,28.2042560577393
0.0,28.2042560577393
0.0,28.2042560577393
0.0,28.2042560577393
0.0,28.2042560577393
0.0,28.2042560577393
0.0,28.2042560577393
0.0,28.2042560577393
0.0,28.2042560577393
-0.020738410949708026,27.6857957839966
0.0,27.1673355102539
0.0,27.1673355102539
0.0,27.1673355102539
0.0,27.1673355102539
0.0,27.1673355102539
0.0,27.1673355102539
0.0,27.1673355102539
0.0,27.1673355102539
0.0,27.1673355102539
0.0,27.1673355102539
0.0,27.1673355102539
0.0,27.1673355102539
0.0,27.1673355102539
0.0,27.1673355102539
0.0,27.1673355102539
0.0,27.1673355102539
0.0,27.1673355102539
0.0,27.1673355102539
0.0,27.1673355102539
0.0,27.1673355102539
0.0,27.1673355102539
0.0,27.1673355102539
0.0,27.1673355102539
0.0,27.1673355102539
0.0,27.1673355102539
0.0,27.1673355102539
0.0,27.1673355102539
0.0,27.1673355102539
0.0,27.1673355102539
0.0,27.1673355102539
0.0,27.1673355102539
0.0,27.1673355102539
0.0,27.1673355102539
0.0,27.1673355102539
