Current,Torque,RPM
0.78,0,893
1.37632653061224,0.607876009591596,887.951025022541
1.97265306122449,1.36737276835307,884.128774685718
2.56897959183673,1.99656514030881,882.124719854009
3.16530612244898,2.55760569322482,880.458263857358
3.76163265306122,3.1527559051513,878.036694961078
4.35795918367347,3.77978436418545,875.50785313187
4.95428571428571,4.44655951092571,873.173814028495
5.55061224489796,5.16305893647446,870.890537073024
6.1469387755102,5.86842397272691,868.319315303391
6.74326530612245,6.51524687823284,865.304953081586
7.33959183673469,7.12658835506189,862.166869331281
7.93591836734694,7.73370392052557,859.27967226624
8.53224489795918,8.36329146706171,856.933372155492
9.12857142857143,9.01682924367402,854.949856054596
9.72489795918367,9.6871208618786,852.989993707866
10.3212244897959,10.3670861424345,850.728224767536
10.9175510204082,11.0520419883361,848.103817788036
11.5138775510204,11.7394722616642,845.295446291827
12.1102040816327,12.4269424885522,842.490106745896
12.7065306122449,13.1129711493162,839.798607725978
13.3028571428571,13.7982957233759,837.154350682123
13.8991836734694,14.4839688704489,834.465538662735
14.4955102040816,15.1707731057865,831.666354488707
15.0918367346939,15.8576814324568,828.86500162806
15.6881632653061,16.5429236328205,826.24115902698
16.2844897959184,17.2248685447126,823.965864241459
16.8808163265306,17.9055143028152,821.982629637571
17.4771428571429,18.5907120881575,819.993415253482
18.0734693877551,19.2864953135024,817.688691080325
18.6697959183673,19.9959585547437,814.89363948672
19.2661224489796,20.7140347109754,811.807563262026
19.8624489795918,21.4342512945902,808.694186254768
20.4587755102041,22.1507698766765,805.792982220937
21.0551020408163,22.8629285953448,803.145442884002
21.6514285714286,23.5725926040007,800.696412204121
22.2477551020408,24.2816441451909,798.390080553298
22.8440816326531,24.9919654614621,796.170638303541
23.4404081632653,25.7054387953608,793.982275826857
24.0367346938776,26.4239463894337,791.769183495251
24.6330612244898,27.1493704862274,789.475551680731
25.229387755102,27.8835933282885,787.045570755304
25.8257142857143,28.6284971581636,784.423431090975
26.4220408163265,29.3859642183995,781.553323059752
27.0183673469388,30.1578767515427,778.379437033641
27.614693877551,30.9461170001398,774.845963384649
28.2110204081633,31.7525672067374,770.897092484782
28.8073469387755,32.5791096138822,766.477014706047
29.4036734693878,33.4276264641209,761.529920420451
30,34.3,756
