type	latitude	longitude	altitude (ft)	vmg (mph)	course	slope (%)	distance (mi)	distance_interval (ft)	color	opacity	width	scale	sym	name	desc	kml_folder
T	39.076691000	-95.668912000	892.9		18.3	-0.2	3.210	70.24								
T	39.078928000	-95.667947000	885.1		18.5	-0.9	3.373	859.60								
T	39.079841000	-95.667554000	888.0		18.5	0.8	3.440	350.76								
T	39.080223000	-95.667389000	885.3		18.5	-1.8	3.468	146.81								
T	39.080364000	-95.667328000	884.7		18.6	-1.2	3.478	54.20								
T	39.080852000	-95.667117000	890.5		18.6	3.1	3.513	187.57								
T	39.080956000	-95.667072000	893.3		18.6	7.0	3.521	39.98								
T	39.081154000	-95.666986000	899.0		18.6	7.4	3.535	76.14								
T	39.081367000	-95.666894000	900.0		18.5	1.3	3.551	81.86								
T	39.081414000	-95.666874000	900.2		18.3	1.3	3.554	18.04								
T	39.081996000	-95.666622000	895.7		18.6	-2.0	3.597	223.73								
T	39.082190000	-95.666538000	895.7		18.6	0.0	3.611	74.58								
T	39.082784000	-95.666284000	892.5		18.4	-1.4	3.654	228.05								
T	39.082915000	-95.666228000	894.9		18.4	4.9	3.663	50.29								
T	39.083231000	-95.666093000	898.6		18.3	3.0	3.686	121.31								
T	39.083371000	-95.666033000	897.5		18.4	-2.0	3.697	53.76								
T	39.083481000	-95.665983000	897.7		19.4	0.3	3.705	42.51								
T	39.083539000	-95.665957000	897.7		19.2	0.3	3.709	22.38								
T	39.083704000	-95.665892000	897.9		17.0	0.3	3.721	62.87								
T	39.084007000	-95.665758000	896.2		18.9	-1.5	3.743	116.73								
T	39.084217000	-95.665664000	893.1		19.2	-3.8	3.758	81.01								
T	39.084231000	-95.665658000	892.8		18.4	-4.4	3.759	5.38								
T	39.084286000	-95.665635000	891.9		18.0	-4.4	3.763	21.07								
T	39.084407000	-95.665605000	890.1		10.9	-4.0	3.772	44.89								
T	39.084484000	-95.665573000	889.8		17.9	-1.3	3.777	29.48								
T	39.084767000	-95.665452000	893.9		18.4	3.9	3.798	108.65								
T	39.084898000	-95.665375000	895.2		24.5	2.5	3.808	52.48								
T	39.085033000	-95.665292000	895.7		25.5	0.8	3.818	54.52								
T	39.085331000	-95.665175000	894.2		16.9	-1.3	3.840	113.51								
T	39.085516000	-95.665129000	892.4		10.9	-2.6	3.853	68.64								
T	39.085790000	-95.665032000	889.9		15.4	-2.5	3.872	103.53								
T	39.085837000	-95.665016000	889.5		14.8	-1.9	3.876	17.71								
T	39.086108000	-95.664938000	892.4		12.6	2.8	3.895	101.16								
T	39.086257000	-95.664895000	893.0		12.6	1.2	3.905	55.63								
T	39.086490000	-95.664844000	894.8		9.6	2.0	3.922	86.09								
T	39.086547000	-95.664831000	895.1		10.0	1.7	3.926	21.09								
T	39.086587000	-95.664822000	895.3		9.9	1.5	3.928	14.79								
T	39.086702000	-95.664796000	895.4		10.0	0.1	3.936	42.53								
T	39.086774000	-95.664780000	894.7		9.8	-2.6	3.942	26.61								
T	39.086792000	-95.664776000	894.5		9.8	-2.9	3.943	6.65								
T	39.086932000	-95.664777000	893.2		359.7	-2.6	3.952	50.99								
T	39.087045000	-95.664752000	893.8		9.7	1.5	3.960	41.77								
T	39.087098000	-95.664740000	894.3		10.0	2.5	3.964	19.60								
T	39.087480000	-95.664692000	898.4		5.6	2.9	3.991	139.80								
T	39.087635000	-95.664659000	896.6		9.4	-3.1	4.001	57.23								
T	39.087802000	-95.664621000	894.3		10.0	-3.8	4.013	61.78								
T	39.088260000	-95.664608000	892.4		1.3	-1.1	4.045	166.86								
T	39.088330000	-95.664616000	892.4		354.9	0.0	4.050	25.60								
T	39.088350000	-95.664618000	892.4		355.6	0.0	4.051	7.31								
T	39.088435000	-95.664626000	892.4		355.8	0.0	4.057	31.04								
T	39.088591000	-95.664628000	892.4		359.4	0.0	4.068	56.82								
T	39.088735000	-95.664629000	892.9		359.7	0.9	4.078	52.45								
T	39.088839000	-95.664630000	893.3		359.6	1.1	4.085	37.88								
T	39.089039000	-95.664623000	892.4		1.6	-1.2	4.098	72.87								
T	39.089096000	-95.664625000	891.9		358.4	-2.3	4.102	20.77								
T	39.089200000	-95.664629000	891.2		358.3	-2.0	4.110	37.90								
T	39.090999000	-95.664631000	898.3		360.0	1.1	4.234	655.25								
T	39.091184000	-95.664631000	894.5		0.0	-5.6	4.246	67.38								
T	39.091415000	-95.664543000	890.1		16.5	-5.1	4.263	87.77								
T	39.091450000	-95.664530000	889.7		16.1	-2.9	4.266	13.27								
T	39.091638000	-95.664454000	889.0		17.4	-0.9	4.279	71.79								
T	39.091706000	-95.664410000	889.0		26.7	0.1	4.284	27.74								
T	39.091757000	-95.664364000	889.0		35.0	-0.3	4.289	22.71								
T	39.091809000	-95.664289000	889.3		48.2	1.0	4.294	28.49								
T	39.091845000	-95.664197000	889.9		63.2	2.3	4.300	29.22								
T	39.091870000	-95.664086000	890.9		73.8	3.1	4.306	32.80								
T	39.091869000	-95.663983000	892.2		90.7	4.2	4.311	29.24								
T	39.091850000	-95.663898000	893.4		106.1	4.9	4.316	25.10								
T	39.091829000	-95.663821000	893.3		109.4	-0.5	4.321	23.16								
T	39.091780000	-95.663736000	893.6		126.6	1.0	4.326	30.01								
T	39.091725000	-95.663677000	894.5		140.2	3.3	4.331	26.11								
T	39.091678000	-95.663643000	895.4		150.7	4.9	4.335	19.65								
T	39.091599000	-95.663607000	898.2		160.5	9.0	4.341	30.53								
T	39.091520000	-95.663595000	901.2		173.3	10.6	4.346	28.98								
T	39.091421000	-95.663613000	904.3		188.0	8.4	4.353	36.42								
T	39.091343000	-95.663657000	903.5		203.6	-2.5	4.359	31.03								
T	39.091284000	-95.663723000	901.2		221.0	-8.1	4.364	28.51								
T	39.091229000	-95.663806000	899.0		229.5	-7.3	4.370	30.92								
T	39.091193000	-95.663907000	896.7		245.3	-7.3	4.376	31.52								
T	39.091162000	-95.664013000	895.1		249.4	-4.9	4.382	32.14								
T	39.091092000	-95.664218000	893.4		246.3	-2.6	4.394	63.53								
T	39.091089000	-95.665041000	903.0		269.7	4.1	4.439	233.61								
T	39.091078000	-95.667182000	897.3		269.6	-0.9	4.554	607.72								
T	39.091077000	-95.667394000	899.9		269.7	4.3	4.565	60.18								
T	39.091073000	-95.668238000	893.7		269.7	-2.6	4.610	239.57								
T	39.091107000	-95.668417000	892.4		283.8	-2.6	4.620	52.30								
T	39.091122000	-95.669275000	888.7		271.3	-1.5	4.666	243.60								
T	39.091148000	-95.670027000	895.8		272.6	3.3	4.707	213.66								
T	39.091165000	-95.671136000	898.6		271.1	0.9	4.767	314.84								
T	39.091164000	-95.671551000	900.1		269.8	1.2	4.789	117.80								
T	39.091161000	-95.671988000	895.7		269.5	-3.5	4.812	124.04								
T	39.091153000	-95.673148000	898.3		269.5	0.8	4.875	329.27								
T	39.091153000	-95.673222000	898.2		270.0	-0.6	4.879	21.00								
T	39.091124000	-95.678268000	894.9		269.6	-0.2	5.150	1432.31								
T	39.091024000	-95.685309000	898.1		269.0	0.2	5.529	1998.87								
T	39.091025000	-95.686051000	913.7		270.1	7.4	5.568	210.61								
T	39.091050000	-95.691437000	903.2		270.3	-0.7	5.858	1528.80								
T	39.091044000	-95.692138000	894.9		269.4	-4.2	5.896	198.99								
T	39.091009000	-95.696478000	894.5		269.4	-0.0	6.129	1231.94								
T	39.091005000	-95.697040000	882.8		269.5	-7.4	6.159	159.53								
T	39.090985000	-95.701389000	897.5		269.7	1.2	6.393	1234.45								
T	39.090979000	-95.702055000	896.1		269.3	-0.7	6.429	189.05								
T	39.090863000	-95.714724000	901.5		269.3	0.2	7.110	3596.26								
T	39.090840000	-95.717628000	902.2		269.4	0.1	7.266	824.32								
T	39.090833000	-95.718838000	901.0		269.6	-0.3	7.331	343.46								
T	39.090809000	-95.721271000	903.5		269.3	0.4	7.462	690.65								
T	39.090785000	-95.725156000	898.8		269.5	-0.4	7.671	1102.77								
T	39.090773000	-95.726678000	907.4		269.4	2.0	7.753	432.03								
T	39.090764000	-95.727824000	910.8		269.4	1.0	7.814	325.30								
T	39.090724000	-95.732709000	894.7		269.4	-1.2	8.077	1386.65								
T	39.090704000	-95.734933000	898.4		269.3	0.6	8.196	631.31								
T	39.090690000	-95.736312000	913.7		269.3	3.9	8.271	391.45								
T	39.090672000	-95.739439000	908.9		269.6	-0.5	8.439	887.61								
T	39.090655000	-95.742037000	908.3		269.5	-0.1	8.578	737.45								
T	39.090642000	-95.743498000	901.3		269.3	-1.7	8.657	414.72								
T	39.090676000	-95.744185000	907.6		273.6	3.2	8.694	195.39								
T	39.090715000	-95.744714000	910.2		275.4	1.7	8.722	150.82								
T	39.090763000	-95.745166000	910.6		277.8	0.3	8.747	129.48								
T	39.090819000	-95.745571000	908.8		280.1	-1.6	8.769	116.75								
T	39.090931000	-95.746206000	909.8		282.8	0.5	8.804	184.80								
T	39.091324000	-95.747862000	899.7		287.0	-2.0	8.897	491.36								
T	39.091517000	-95.748713000	905.2		286.3	2.2	8.945	251.57								
T	39.091594000	-95.749103000	908.2		284.3	2.7	8.966	114.20								
T	39.091657000	-95.749471000	905.6		282.4	-2.4	8.987	106.94								
T	39.091704000	-95.749821000	906.1		279.8	0.5	9.006	100.81								
T	39.091739000	-95.750127000	908.7		278.4	3.0	9.022	87.79								
T	39.091785000	-95.750611000	909.3		277.0	0.4	9.049	138.40								
T	39.091806000	-95.751004000	903.5		273.9	-5.2	9.070	111.81								
T	39.091820000	-95.751378000	899.1		272.8	-4.2	9.090	106.28								
T	39.091823000	-95.751896000	900.4		270.4	0.9	9.118	147.03								
T	39.091814000	-95.752255000	898.8		268.2	-1.6	9.137	101.95								
T	39.091783000	-95.752743000	901.8		265.3	2.2	9.163	138.97								
T	39.091743000	-95.753210000	899.8		263.7	-1.6	9.189	133.35								
T	39.091688000	-95.753638000	898.9		260.6	-0.7	9.212	123.12								
T	39.091608000	-95.754104000	895.1		257.5	-2.8	9.238	135.44								
T	39.091526000	-95.754545000	894.6		256.5	-0.4	9.262	128.69								
T	39.091345000	-95.755400000	903.7		254.7	3.6	9.310	251.48								
T	39.090878000	-95.757580000	904.2		254.6	0.1	9.431	641.73								
T	39.090773000	-95.758096000	906.1		255.3	1.3	9.460	151.37								
T	39.090662000	-95.758830000	906.9		259.0	0.4	9.500	212.23								
T	39.090611000	-95.759404000	898.3		263.5	-5.2	9.531	163.98								
T	39.090578000	-95.759962000	899.3		265.6	0.6	9.561	158.84								
T	39.090573000	-95.760576000	904.9		269.4	3.2	9.594	174.29								
T	39.090583000	-95.760956000	897.5		271.9	-6.8	9.615	107.92								
T	39.090600000	-95.761331000	892.4		273.3	-4.8	9.635	106.62								
T	39.090631000	-95.761752000	897.1		275.4	4.0	9.657	120.03								
T	39.090671000	-95.762152000	899.5		277.3	2.1	9.679	114.47								
T	39.090763000	-95.762817000	891.1		280.1	-4.4	9.715	191.71								
T	39.090867000	-95.763375000	892.3		283.5	0.7	9.746	162.85								
T	39.090978000	-95.763905000	887.6		285.1	-3.0	9.776	155.77								
T	39.091700000	-95.767061000	899.5		286.4	1.3	9.953	933.61								
T	39.092246000	-95.769461000	905.6		286.3	0.9	10.087	709.65								
T	39.092737000	-95.771525000	899.4		287.0	-1.0	10.203	612.53								
T	39.092899000	-95.772539000	892.1		281.6	-2.5	10.259	293.80								
T	39.093106000	-95.773621000	896.9		283.8	1.5	10.319	316.23								
T	39.093320000	-95.774799000	901.0		283.2	1.2	10.384	343.32								
T	39.093411000	-95.775351000	899.0		282.0	-1.2	10.414	160.14								
T	39.093503000	-95.775984000	906.2		280.6	3.9	10.449	182.76								
T	39.093581000	-95.776565000	908.7		279.8	1.4	10.480	167.34								
T	39.093652000	-95.777061000	911.9		280.5	2.2	10.507	143.14								
T	39.093733000	-95.777718000	908.1		279.0	-2.0	10.543	188.80								
T	39.093810000	-95.778393000	908.3		278.4	0.1	10.580	193.63								
T	39.093879000	-95.778997000	902.3		278.4	-3.4	10.613	173.27								
T	39.094016000	-95.780760000	913.4		275.7	2.2	10.708	502.88								
T	39.094023000	-95.780848000	911.7		275.9	-6.7	10.713	25.11								
T	39.094083000	-95.781763000	903.0		274.8	-3.3	10.762	260.62								
T	39.094137000	-95.782883000	911.5		273.6	2.7	10.822	318.50								
T	39.094174000	-95.783946000	902.3		272.6	-3.0	10.879	302.01								
T	39.094175000	-95.784236000	901.5		270.3	-1.0	10.895	82.31								
T	39.094180000	-95.785297000	908.5		270.3	2.3	10.952	301.15								
T	39.094211000	-95.792299000	909.5		270.3	0.0	11.328	1987.41								
T	39.094228000	-95.797938000	912.1		270.2	0.2	11.632	1600.53								
T	39.094193000	-95.799599000	913.1		268.4	0.2	11.721	471.61								
T	39.094083000	-95.805088000	905.5		268.5	-0.5	12.016	1558.46								
T	39.093988000	-95.810547000	915.3		268.7	0.6	12.310	1549.82								
T	39.093890000	-95.815883000	911.5		268.6	-0.2	12.597	1514.94								
T	39.093888000	-95.816765000	908.8		269.8	-1.1	12.644	250.34								
T	39.093904000	-95.820263000	905.9		270.3	-0.3	12.832	992.86								
T	39.093910000	-95.821036000	912.1		270.6	2.8	12.874	219.41								
T	39.093967000	-95.828179000	925.7		270.6	0.7	13.258	2027.51								
T	39.093982000	-95.830078000	912.7		270.6	-2.4	13.360	539.02								
T	39.093996000	-95.830722000	907.6		271.6	-2.8	13.394	182.86								
T	39.094004000	-95.831075000	908.1		271.7	0.5	13.413	100.23								
T	39.094056000	-95.832622000	906.6		272.5	-0.3	13.497	439.49								
T	39.094176000	-95.835409000	904.0		273.2	-0.3	13.647	792.24								
T	39.094239000	-95.837511000	915.3		272.2	1.9	13.760	597.05								
T	39.094361000	-95.841941000	914.4		272.0	-0.1	13.998	1258.15								
T	39.094366000	-95.843394000	913.0		270.3	-0.3	14.076	412.41								
T	39.094299000	-95.848711000	922.5		269.1	0.6	14.362	1509.32								
T	39.094314000	-95.851135000	920.5		270.5	-0.3	14.492	688.02								
T	39.094335000	-95.851780000	925.2		272.4	2.6	14.527	183.23								
T	39.094344000	-95.852210000	923.3		271.5	-1.6	14.550	122.09								
T	39.094380000	-95.853953000	923.9		271.5	0.1	14.644	494.89								
T	39.094409000	-95.855212000	909.1		271.7	-4.1	14.711	357.50								
T	39.094437000	-95.856157000	918.5		272.2	3.5	14.762	268.41								
T	39.094459000	-95.856429000	919.4		275.9	1.2	14.777	77.62								
T	39.094521000	-95.856739000	923.1		284.5	4.0	14.794	90.84								
T	39.094599000	-95.856963000	925.5		294.2	3.6	14.807	69.64								
T	39.094678000	-95.857132000	925.9		301.1	0.7	14.818	55.94								
T	39.094804000	-95.857349000	926.2		306.8	0.3	14.833	76.81								
T	39.094902000	-95.857477000	927.3		314.6	2.3	14.842	50.93								
T	39.094937000	-95.857522000	927.5		315.1	0.9	14.846	18.05								
T	39.095000000	-95.857605000	927.2		314.4	-0.7	14.852	32.89								
T	39.095376000	-95.858082000	923.6		315.4	-1.9	14.888	192.57								
T	39.095521000	-95.858242000	927.3		319.4	5.3	14.901	69.65								
T	39.095606000	-95.858322000	928.9		323.9	4.4	14.909	38.39								
T	39.095686000	-95.858398000	928.9		323.6	-0.1	14.916	36.25								
T	39.095837000	-95.858491000	928.1		334.5	-1.3	14.927	61.00								
T	39.095959000	-95.858547000	929.3		340.4	2.6	14.936	47.19								
T	39.096094000	-95.858590000	931.6		346.1	4.5	14.946	50.66								
T	39.096254000	-95.858628000	931.5		349.6	-0.3	14.957	59.27								
T	39.096457000	-95.858637000	929.5		358.0	-2.6	14.971	73.98								
T	39.097021000	-95.858634000	918.2		0.2	-5.5	15.010	205.43								
T	39.097994000	-95.858638000	923.6		359.8	1.5	15.077	354.40								
T	39.098980000	-95.858648000	927.0		359.5	0.9	15.145	359.14								
T	39.099322000	-95.858649000	929.2		359.9	1.7	15.169	124.57								
T	39.100733000	-95.858653000	925.5		359.9	-0.7	15.266	513.93								
T	39.100870000	-95.858653000	926.1		0.0	1.2	15.275	49.90								
T	39.101682000	-95.858656000	925.5		359.8	-0.2	15.331	295.76								
T	39.103077000	-95.858640000	925.3		0.5	-0.1	15.428	508.12								
T	39.104111000	-95.858625000	932.4		0.6	1.9	15.499	376.64								
T	39.104204000	-95.858626000	935.5		359.5	9.1	15.505	33.87								
T	39.104714000	-95.858618000	932.0		0.7	-1.9	15.541	185.77								
T	39.105055000	-95.858614000	924.6		0.5	-6.0	15.564	124.21								
T	39.105211000	-95.858624000	922.9		357.2	-3.0	15.575	56.89								
T	39.105336000	-95.858673000	923.3		343.1	1.0	15.584	47.61								
T	39.105417000	-95.858735000	925.0		329.3	4.9	15.590	34.35								
T	39.105466000	-95.858850000	927.0		298.8	5.2	15.597	37.20								
T	39.105513000	-95.858961000	929.4		298.6	6.9	15.604	35.85								
T	39.105530000	-95.859059000	931.8		282.6	8.4	15.610	28.49								
T	39.105541000	-95.859209000	934.1		275.4	5.3	15.618	42.76								
T	39.105546000	-95.859421000	931.9		271.7	-3.6	15.629	60.19								
T	39.105559000	-95.860918000	935.0		270.6	0.7	15.710	424.85								
T	39.105569000	-95.862213000	925.1		270.6	-2.7	15.779	367.52								
T	39.105576000	-95.862505000	928.5		271.8	4.2	15.795	82.90								
T	39.105596000	-95.862725000	931.1		276.7	4.1	15.807	62.86								
T	39.105629000	-95.862915000	933.0		282.6	3.3	15.817	55.24								
T	39.105665000	-95.863055000	933.7		288.3	1.9	15.825	41.84								
T	39.105705000	-95.863169000	932.6		294.3	-3.4	15.832	35.48								
T	39.105753000	-95.863290000	930.7		297.1	-4.7	15.839	38.53								
T	39.105828000	-95.863458000	930.1		299.9	-1.2	15.850	54.95								
T	39.106173000	-95.864225000	918.6		300.1	-4.6	15.897	251.33								
T	39.106296000	-95.864483000	918.5		301.6	-0.2	15.913	85.83								
T	39.106428000	-95.864787000	917.6		299.2	-0.9	15.932	98.76								
T	39.106522000	-95.865025000	916.8		297.0	-1.1	15.946	75.72								
T	39.106611000	-95.865291000	917.3		293.3	0.7	15.962	82.15								
T	39.106730000	-95.865728000	917.8		289.3	0.4	15.987	131.37								
T	39.107206000	-95.867603000	920.4		288.1	0.5	16.093	559.62								
T	39.107424000	-95.868475000	914.9		287.9	-2.1	16.142	259.88								
T	39.107778000	-95.869890000	921.9		287.9	1.7	16.222	421.74								
T	39.108444000	-95.872525000	915.2		288.0	-0.8	16.371	786.11								
T	39.108920000	-95.874402000	931.5		288.1	2.9	16.477	560.15								
T	39.109075000	-95.875023000	918.3		287.8	-7.1	16.512	185.04								
T	39.110052000	-95.878924000	925.6		287.9	0.6	16.732	1162.77								
T	39.110653000	-95.881326000	914.9		287.9	-1.5	16.868	715.89								
T	39.111304000	-95.883881000	924.0		288.2	1.2	17.012	762.80								
T	39.111812000	-95.885910000	920.3		287.9	-0.6	17.127	604.75								
T	39.112262000	-95.887688000	925.7		288.1	1.0	17.227	530.48								
T	39.112708000	-95.889476000	923.9		287.8	-0.3	17.328	532.73								
T	39.113129000	-95.891155000	928.6		287.9	0.9	17.423	500.49								
T	39.113715000	-95.893440000	925.2		288.3	-0.5	17.552	682.60								
T	39.114541000	-95.896738000	921.1		287.9	-0.4	17.738	982.98								
T	39.114974000	-95.898467000	918.5		287.9	-0.5	17.836	515.33								
T	39.116093000	-95.902916000	920.3		288.0	0.1	18.087	1326.54								
T	39.116207000	-95.903384000	919.2		287.4	-0.8	18.114	139.13								
T	39.117504000	-95.908535000	918.7		288.0	-0.0	18.405	1535.99								
T	39.117582000	-95.908851000	919.6		287.6	1.0	18.422	94.05								
T	39.130945000	-95.942229000	933.0		297.3	0.1	20.439	10647.27								
T	39.131919000	-95.944056000	927.0		304.5	-1.0	20.558	628.07								
T	39.132588000	-95.945335000	929.8		304.0	0.6	20.641	437.05								
T	39.132707000	-95.945563000	929.3		303.9	-0.6	20.655	77.86								
T	39.132850000	-95.945870000	929.7		301.0	0.4	20.675	101.48								
