unix_timestamp,speed_mps,temperature,relative_humidity,surface_pressure,density,viscosity
1713126970642,13.1028794396973,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126970692,13.1028794396973,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126970743,13.1028794396973,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126970796,13.1028794396973,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126970847,13.1028794396973,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126970897,13.1028794396973,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126970948,13.1028794396973,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126970998,13.1028794396973,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126971049,13.1028794396973,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126971099,13.1028794396973,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126971150,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126971200,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126971251,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126971301,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126971352,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126971402,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126971453,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126971503,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126971554,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126971604,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126971655,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126971705,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126971756,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126971806,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126971857,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126971907,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126971958,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126972008,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126972059,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126972109,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126972160,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126972210,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126972261,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126972311,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126972362,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126972412,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126972463,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126972513,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126972564,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126972614,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126972665,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126972715,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126972766,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126972817,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126972867,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126972917,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126972968,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126973018,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126973069,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126973119,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126973170,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126973220,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126973271,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126973321,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126973372,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126973422,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126973473,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126973523,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126973574,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126973624,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126973675,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126973725,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126973776,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126973826,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126973877,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126973927,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126973978,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126974028,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126974079,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126974129,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126974180,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126974230,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126974281,13.3501034191894,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126974331,12.6084306280518,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126974382,12.6084306280518,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126974432,12.6084306280518,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126974483,12.6084306280518,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126974533,12.6084306280518,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126974584,12.6084306280518,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126974634,12.6084306280518,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126974685,12.6084306280518,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126974735,12.6084306280518,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126974786,12.6084306280518,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126974836,12.6084306280518,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126974887,12.6084306280518,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126974937,12.6084306280518,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126974988,12.6084306280518,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
1713126975038,12.6084306280518,22,0.507,972.3,1141.62066751711,1.82980698917428e-05
