unix_timestamp,speed_mps,temperature,relative_humidity,surface_pressure
1713126970642.0,13.102879439697281,22,0.507,972.3
1713126970692.0,13.102879439697281,22,0.507,972.3
1713126970743.0,13.102879439697281,22,0.507,972.3
1713126970796.0,13.102879439697281,22,0.507,972.3
1713126970847.0,13.102879439697281,22,0.507,972.3
1713126970897.0,13.102879439697281,22,0.507,972.3
1713126970948.0,13.102879439697281,22,0.507,972.3
1713126970998.0,13.102879439697281,22,0.507,972.3
1713126971049.0,13.102879439697281,22,0.507,972.3
1713126971099.0,13.102879439697281,22,0.507,972.3
1713126971150.0,13.350103419189429,22,0.507,972.3
1713126971200.0,13.350103419189429,22,0.507,972.3
1713126971251.0,13.350103419189429,22,0.507,972.3
1713126971301.0,13.350103419189429,22,0.507,972.3
1713126971352.0,13.350103419189429,22,0.507,972.3
1713126971402.0,13.350103419189429,22,0.507,972.3
1713126971453.0,13.350103419189429,22,0.507,972.3
1713126971503.0,13.350103419189429,22,0.507,972.3
1713126971554.0,13.350103419189429,22,0.507,972.3
1713126971604.0,13.350103419189429,22,0.507,972.3
1713126971655.0,13.350103419189429,22,0.507,972.3
1713126971705.0,13.350103419189429,22,0.507,972.3
1713126971756.0,13.350103419189429,22,0.507,972.3
1713126971806.0,13.350103419189429,22,0.507,972.3
1713126971857.0,13.350103419189429,22,0.507,972.3
1713126971907.0,13.350103419189429,22,0.507,972.3
1713126971958.0,13.350103419189429,22,0.507,972.3
1713126972008.0,13.350103419189429,22,0.507,972.3
1713126972059.0,13.350103419189429,22,0.507,972.3
1713126972109.0,13.350103419189429,22,0.507,972.3
1713126972160.0,13.350103419189429,22,0.507,972.3
1713126972210.0,13.350103419189429,22,0.507,972.3
1713126972261.0,13.350103419189429,22,0.507,972.3
1713126972311.0,13.350103419189429,22,0.507,972.3
1713126972362.0,13.350103419189429,22,0.507,972.3
1713126972412.0,13.350103419189429,22,0.507,972.3
1713126972463.0,13.350103419189429,22,0.507,972.3
1713126972513.0,13.350103419189429,22,0.507,972.3
1713126972564.0,13.350103419189429,22,0.507,972.3
1713126972614.0,13.350103419189429,22,0.507,972.3
1713126972665.0,13.350103419189429,22,0.507,972.3
1713126972715.0,13.350103419189429,22,0.507,972.3
1713126972766.0,13.350103419189429,22,0.507,972.3
1713126972817.0,13.350103419189429,22,0.507,972.3
1713126972867.0,13.350103419189429,22,0.507,972.3
1713126972917.0,13.350103419189429,22,0.507,972.3
1713126972968.0,13.350103419189429,22,0.507,972.3
1713126973018.0,13.350103419189429,22,0.507,972.3
1713126973069.0,13.350103419189429,22,0.507,972.3
1713126973119.0,13.350103419189429,22,0.507,972.3
1713126973170.0,13.350103419189429,22,0.507,972.3
1713126973220.0,13.350103419189429,22,0.507,972.3
1713126973271.0,13.350103419189429,22,0.507,972.3
1713126973321.0,13.350103419189429,22,0.507,972.3
1713126973372.0,13.350103419189429,22,0.507,972.3
1713126973422.0,13.350103419189429,22,0.507,972.3
1713126973473.0,13.350103419189429,22,0.507,972.3
1713126973523.0,13.350103419189429,22,0.507,972.3
1713126973574.0,13.350103419189429,22,0.507,972.3
1713126973624.0,13.350103419189429,22,0.507,972.3
1713126973675.0,13.350103419189429,22,0.507,972.3
