Reynolds_Number,Drag_Coefficient
1192510.294,1.221955388
1350111.415,1.014986042
1345005.03,1.009429652
1354371.951,0.998614343
1392371.555,0.957080801
1392371.555,0.957080801
1392371.555,0.957080801
1392371.555,0.957080801
1392371.555,0.957080801
1392371.555,0.957080801
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1402392.253,0.946835111
1411599.033,0.937399649
1411599.033,0.937399649
1411599.033,0.937399649
1411599.033,0.937399649
1411599.033,0.937399649
1411599.033,0.937399649
1411599.033,0.937399649
1411599.033,0.937399649
1411599.033,0.937399649
1411599.033,0.937399649
1411599.033,0.937399649
1411599.033,0.937399649
1411599.033,0.937399649
1411599.033,0.937399649
1411599.033,0.937399649
1411599.033,0.937399649
1411599.033,0.937399649
1411599.033,0.937399649
1411599.033,0.937399649
1411599.033,0.937399649
1411599.033,0.937399649
1411599.033,0.937399649
1411599.033,0.937399649
1411599.033,0.937399649
1411599.033,0.937399649
1411599.033,0.937399649
1411599.033,0.937399649
1411599.033,0.937399649
1411599.033,0.937399649
1411599.033,0.937399649
1411599.033,0.937399649
1411599.033,0.937399649
1411599.033,0.937399649
1411599.033,0.937399649
1411599.033,0.937399649
1411599.033,0.937399649
1411599.033,0.937399649
1411599.033,0.937399649
1411599.033,0.937399649
1411599.033,0.937399649
