timestamp,speed,pack_voltage,headlights_led_en,motor_current,fan_speed,air_temp,pack_power,soc
1559932000,0.0,100.800003051758,0,0,3,-10000.0,40.3200035095215,60.5
1559932001,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932002,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932003,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932004,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932005,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932006,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932007,0.0,100.800003051758,0,0,3,-200.769668579102,30.2400016784668,60.5
1559932008,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932009,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932010,0.0,100.800003051758,0,0,3,-10000.0,40.3200035095215,60.5
1559932011,0.0,100.800003051758,0,0,3,-10000.0,40.3200035095215,60.5
1559932012,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932013,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932014,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932015,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932016,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932017,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932018,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932019,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932020,0.0,100.800003051758,0,0,3,-10000.0,40.3200035095215,60.5
1559932021,0.0,100.800003051758,0,0,3,-10000.0,40.3200035095215,60.5
1559932022,0.0,100.800003051758,0,0,3,-10000.0,40.3200035095215,60.5
1559932023,0.0,100.800003051758,0,0,3,-10000.0,40.3200035095215,60.5
1559932024,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932025,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932026,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932027,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932028,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932029,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932030,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932031,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932032,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932033,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932034,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932035,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932036,0.0,100.800003051758,0,0,3,-10000.0,40.3200035095215,60.5
1559932037,0.0,100.800003051758,0,0,3,-10000.0,40.3200035095215,60.5
1559932038,0.0,100.800003051758,0,0,3,-10000.0,40.3200035095215,60.5
1559932039,0.0,100.800003051758,0,0,3,-10000.0,40.3200035095215,60.5
1559932040,0.0,100.800003051758,0,0,3,-10000.0,40.3200035095215,60.5
1559932041,0.0,100.800003051758,0,0,3,-10000.0,40.3200035095215,60.5
1559932042,0.0,100.800003051758,0,0,3,-10000.0,40.3200035095215,60.5
1559932043,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932044,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932045,0.0,100.800003051758,0,0,3,-10000.0,40.3200035095215,60.5
1559932046,0.0,100.800003051758,0,0,3,-10000.0,40.3200035095215,60.5
1559932047,0.0,100.800003051758,0,0,3,-10000.0,40.3200035095215,60.5
1559932048,0.0,100.800003051758,0,0,3,-10000.0,40.3200035095215,60.5
1559932049,0.0,100.800003051758,0,0,3,-10000.0,40.3200035095215,60.5
1559932050,0.0,100.800003051758,0,0,3,-10000.0,40.3200035095215,60.5
1559932051,0.0,100.800003051758,0,0,3,-10000.0,40.3200035095215,60.5
1559932052,0.0,100.800003051758,0,0,3,-10000.0,40.3200035095215,60.5
1559932053,0.0,100.800003051758,0,0,3,-10000.0,40.3200035095215,60.5
1559932054,0.0,100.800003051758,0,0,3,-10000.0,40.3200035095215,60.5
1559932055,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932056,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932057,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932058,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932059,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932060,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932061,0.0,100.800003051758,0,0,3,-10000.0,40.3200035095215,60.5
1559932062,0.0,100.800003051758,0,0,3,-10000.0,40.3200035095215,60.5
1559932063,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932064,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932065,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932066,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932067,0.0,100.800003051758,0,0,3,-10000.0,40.3200035095215,60.5
1559932068,0.0,100.800003051758,0,0,3,-10000.0,40.3200035095215,60.5
1559932069,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932070,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932071,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932072,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932073,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932074,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932075,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932076,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932077,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932078,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932079,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932080,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932081,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932082,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932083,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932084,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932085,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932086,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932087,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932088,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932089,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932090,0.0,100.800003051758,0,0,3,-10000.0,40.3200035095215,60.5
1559932091,0.0,100.800003051758,0,0,3,-10000.0,40.3200035095215,60.5
1559932092,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932093,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932094,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932095,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932096,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932097,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932098,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932099,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932100,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932101,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932102,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932103,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932104,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932105,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932106,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932107,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932108,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932109,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932110,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932111,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932112,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932113,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932114,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932115,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932116,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932117,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932118,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932119,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932120,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932121,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932122,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932123,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932124,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932125,0.0,100.800003051758,0,0,3,-10000.0,40.3200035095215,60.5
1559932126,0.0,100.800003051758,0,0,3,-10000.0,40.3200035095215,60.5
1559932127,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932128,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
1559932129,0.0,100.800003051758,0,0,3,-10000.0,30.2400016784668,60.5
